Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,43.439999,43.560001,42.93,43.34,806800,43.34
2016-10-06,43.77,43.860001,43.130001,43.459999,569400,43.459999
2016-10-05,43.00,44.130001,42.84,43.650002,699100,43.650002
2016-10-04,42.139999,42.669998,41.950001,42.66,1046200,42.66
2016-10-03,42.610001,42.919998,42.27,42.439999,528300,42.439999
2016-09-30,42.580002,43.169998,42.259998,42.91,570200,42.91
2016-09-29,43.16,43.310001,42.110001,42.419998,482000,42.419998
2016-09-28,42.709999,43.110001,42.299999,43.09,434500,43.09
2016-09-27,41.720001,42.459999,41.25,42.43,529500,42.43
2016-09-26,42.59,42.59,41.869999,41.91,472200,41.91
2016-09-23,42.700001,43.310001,42.700001,42.93,726500,42.93
2016-09-22,43.040001,43.049999,42.759998,42.950001,660700,42.950001
2016-09-21,42.709999,43.029999,42.27,42.709999,423400,42.709999
2016-09-20,42.830002,42.860001,42.380001,42.380001,752700,42.380001
2016-09-19,42.900002,43.32,42.169998,42.41,600300,42.41
2016-09-16,42.560001,42.849998,42.41,42.610001,1906900,42.610001
2016-09-15,41.869999,42.77,41.700001,42.75,780700,42.75
2016-09-14,42.259998,42.48,41.77,41.849998,458800,41.849998
2016-09-13,42.450001,42.50,41.73,42.290001,674300,42.290001
2016-09-12,42.48,42.990002,41.959999,42.93,747100,42.93
2016-09-09,43.130001,43.68,42.650002,42.75,1127700,42.75
2016-09-08,43.09,43.389999,42.860001,43.25,609700,43.25
2016-09-07,42.59,43.169998,42.509998,43.049999,1016900,43.049999
2016-09-06,43.709999,43.740002,42.48,42.66,702500,42.66
2016-09-02,43.34,43.650002,42.959999,43.599998,640500,43.599998
2016-09-01,43.57,43.860001,42.889999,43.130001,962300,43.130001
2016-08-31,43.07,43.599998,42.77,43.310001,1370700,43.310001
2016-08-30,42.439999,42.939999,42.290001,42.939999,1058900,42.939999
2016-08-29,41.939999,42.630001,41.720001,42.349998,1051600,42.349998
2016-08-26,42.259998,42.580002,41.59,41.849998,1438300,41.849998
2016-08-25,42.049999,42.290001,41.860001,42.09,1162500,42.09
2016-08-24,42.16,42.360001,42.080002,42.130001,395500,42.130001
2016-08-23,42.240002,42.470001,42.080002,42.09,750200,42.09
2016-08-22,41.939999,42.009998,41.490002,42.00,1071600,42.00
2016-08-19,42.060001,42.369999,41.720001,42.139999,426300,42.139999
2016-08-18,41.98,42.25,41.57,42.18,419600,42.18
2016-08-17,41.880001,42.34,41.860001,41.950001,478300,41.950001
2016-08-16,41.77,42.279999,41.50,41.880001,368200,41.880001
2016-08-15,41.23,42.139999,41.220001,42.049999,359800,42.049999
2016-08-12,40.84,41.099998,40.599998,41.07,297100,41.07
2016-08-11,41.23,41.439999,40.860001,41.130001,439200,41.130001
2016-08-10,42.50,42.669998,41.59,41.669998,568200,41.169999
2016-08-09,42.459999,42.709999,42.34,42.52,447500,42.009803
2016-08-08,42.759998,42.880001,42.169998,42.509998,570600,41.99992
2016-08-05,41.400002,42.57,41.400002,42.57,732200,42.059202
2016-08-04,40.75,41.43,40.740002,40.880001,293100,40.389481
2016-08-03,40.279999,40.990002,40.139999,40.990002,373100,40.498162
2016-08-02,40.52,40.900002,40.009998,40.110001,490400,39.62872
2016-08-01,41.529999,41.639999,40.389999,40.59,770400,40.10296
2016-07-29,41.290001,41.860001,41.119999,41.349998,806900,40.853839
2016-07-28,41.380001,41.509998,40.950001,41.360001,507900,40.863722
2016-07-27,41.299999,41.950001,41.27,41.459999,887600,40.96252
2016-07-26,40.759998,41.380001,40.549999,41.209999,496600,40.71552
2016-07-25,40.98,41.209999,40.669998,40.84,506000,40.349961
2016-07-22,40.66,41.259998,40.259998,41.139999,513000,40.64636
2016-07-21,41.009998,41.009998,40.400002,40.529999,683500,40.043679
2016-07-20,40.93,40.98,40.299999,40.900002,582100,40.409242
2016-07-19,40.040001,40.970001,40.00,40.580002,971200,40.093082
2016-07-18,40.73,40.73,40.27,40.330002,1281800,39.846082
2016-07-15,41.98,41.98,41.16,41.220001,901100,40.725402
2016-07-14,41.970001,42.099998,41.48,41.700001,644900,41.199642
2016-07-13,41.200001,41.48,40.720001,41.09,591800,40.596961
