Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,6.50,6.50,6.50,6.50,300,6.50
2016-10-06,8.00,8.00,8.00,8.00,000,8.00
2016-10-05,8.00,8.00,8.00,8.00,000,8.00
2016-10-04,8.00,8.00,8.00,8.00,000,8.00
2016-10-03,8.00,8.00,8.00,8.00,000,8.00
2016-09-30,8.00,8.00,8.00,8.00,000,8.00
2016-09-29,8.00,8.00,8.00,8.00,000,8.00
2016-09-28,8.00,8.00,8.00,8.00,000,8.00
2016-09-27,8.00,8.00,8.00,8.00,000,8.00
2016-09-26,8.00,8.00,8.00,8.00,000,8.00
2016-09-23,8.00,8.00,8.00,8.00,000,8.00
2016-09-22,8.00,8.00,8.00,8.00,000,8.00
2016-09-21,8.00,8.00,8.00,8.00,000,8.00
2016-09-20,8.00,8.00,8.00,8.00,000,8.00
2016-09-19,8.00,8.00,8.00,8.00,000,8.00
2016-09-16,8.00,8.00,8.00,8.00,000,8.00
2016-09-15,8.00,8.00,8.00,8.00,000,8.00
2016-09-14,8.00,8.00,8.00,8.00,200,8.00
2016-09-13,6.00,7.652,6.00,7.00,800,7.00
2016-09-12,7.99,7.99,7.99,7.99,000,7.99
2016-09-09,7.99,7.99,7.99,7.99,000,7.99
2016-09-08,7.99,7.99,7.99,7.99,200,7.99
2016-09-07,7.99,7.99,7.99,7.99,000,7.99
2016-09-06,7.99,7.99,7.99,7.99,000,7.99
2016-09-02,7.99,7.99,7.99,7.99,000,7.99
2016-09-01,7.99,7.99,7.98,7.99,1800,7.99
2016-08-31,7.50,7.543,7.50,7.543,300,7.543
2016-08-30,7.50,7.50,7.50,7.50,1500,7.50
2016-08-29,6.90,6.90,6.90,6.90,000,6.90
2016-08-26,6.90,6.90,6.90,6.90,000,6.90
2016-08-25,6.90,6.90,6.90,6.90,000,6.90
2016-08-24,6.72,6.90,6.72,6.90,500,6.90
2016-08-23,5.715,6.35,5.711,6.35,1000,6.35
2016-08-22,6.54,6.56,6.30,6.35,1000,6.35
2016-08-19,7.00,7.00,7.00,7.00,000,7.00
2016-08-18,7.00,7.00,7.00,7.00,000,7.00
2016-08-17,7.00,7.00,7.00,7.00,000,7.00
2016-08-16,6.93,7.00,6.80,7.00,500,7.00
2016-08-15,7.59,7.59,6.30,6.30,700,6.30
2016-08-12,7.975,7.975,7.975,7.975,000,7.975
2016-08-11,7.975,7.975,7.975,7.975,000,7.975
2016-08-10,7.849,8.00,7.849,7.975,800,7.975
2016-08-09,8.00,8.00,8.00,8.00,500,8.00
2016-08-08,8.00,8.00,8.00,8.00,100,8.00
2016-08-05,8.00,8.00,8.00,8.00,000,8.00
2016-08-04,8.00,8.00,8.00,8.00,000,8.00
2016-08-03,8.00,8.00,8.00,8.00,000,8.00
2016-08-02,8.00,8.00,8.00,8.00,000,8.00
2016-08-01,8.00,8.00,8.00,8.00,100,8.00
2016-07-29,4.00,4.00,4.00,4.00,000,4.00
2016-07-28,4.00,4.00,4.00,4.00,000,4.00
