Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.75,8.78,8.75,8.78,3600,8.78
2016-10-06,8.74,8.78,8.73,8.78,2700,8.78
2016-10-05,8.67,8.75,8.67,8.75,46100,8.75
2016-10-04,8.60,8.68,8.59,8.68,2400,8.68
2016-10-03,8.68,8.68,8.68,8.68,3700,8.68
2016-09-30,8.68,8.68,8.66,8.68,11000,8.68
2016-09-29,8.68,8.68,8.67,8.68,10500,8.68
2016-09-28,8.68,8.68,8.65,8.65,13100,8.65
2016-09-27,8.65,8.68,8.61,8.66,3900,8.66
2016-09-26,8.60,8.60,8.60,8.60,000,8.60
2016-09-23,8.64,8.67,8.57,8.60,15500,8.60
2016-09-22,8.58,8.67,8.58,8.62,5900,8.62
2016-09-21,8.51,8.63,8.47,8.63,10800,8.63
2016-09-20,8.59,8.59,8.59,8.59,000,8.59
2016-09-19,8.64,8.64,8.54,8.59,9600,8.59
2016-09-16,8.65,8.65,8.48,8.48,15700,8.48
2016-09-15,8.66,8.66,8.65,8.65,3800,8.65
2016-09-14,8.68,8.68,8.66,8.66,1000,8.66
2016-09-13,8.47,8.68,8.47,8.68,10700,8.68
2016-09-12,8.50,8.68,8.46,8.59,1500,8.59
2016-09-09,8.60,8.60,8.59,8.60,3000,8.60
2016-09-08,8.68,8.68,8.66,8.67,1600,8.67
2016-09-07,8.70,8.76,8.59,8.59,13100,8.59
2016-09-06,8.65,8.70,8.63,8.69,4600,8.69
2016-09-02,8.62,8.65,8.62,8.65,1000,8.65
2016-09-01,8.64,8.64,8.64,8.64,100,8.64
2016-08-31,8.60,8.60,8.60,8.60,000,8.60
2016-08-30,8.60,8.61,8.60,8.60,3700,8.60
2016-08-29,8.62,8.63,8.62,8.63,3100,8.63
2016-08-26,8.65,8.65,8.63,8.63,400,8.63
2016-08-25,8.58,8.64,8.55,8.62,28400,8.62
2016-08-24,8.58,8.60,8.54,8.54,3400,8.54
2016-08-23,8.58,8.58,8.58,8.58,2600,8.58
2016-08-22,8.57,8.58,8.56,8.58,10200,8.58
2016-08-19,8.56,8.56,8.56,8.56,800,8.56
2016-08-18,8.56,8.56,8.55,8.55,1000,8.55
2016-08-17,8.60,8.60,8.53,8.53,700,8.53
2016-08-16,8.59,8.60,8.54,8.60,14800,8.60
2016-08-15,8.51,8.58,8.50,8.51,4600,8.51
2016-08-12,8.45,8.48,8.45,8.48,6600,8.48
2016-08-11,8.46,8.53,8.45,8.53,14400,8.53
2016-08-10,8.53,8.53,8.53,8.53,000,8.53
2016-08-09,8.45,8.57,8.43,8.53,1800,8.53
2016-08-08,8.51,8.54,8.46,8.46,3300,8.46
2016-08-05,8.54,8.54,8.51,8.52,2500,8.52
2016-08-04,8.50,8.53,8.50,8.53,2100,8.53
2016-08-03,8.44,8.53,8.42,8.46,3600,8.46
2016-08-02,8.48,8.54,8.42,8.42,4200,8.42
2016-08-01,8.52,8.54,8.49,8.54,1300,8.54
2016-07-29,8.56,8.56,8.42,8.48,6000,8.48
2016-07-28,8.45,8.45,8.45,8.45,000,8.45
2016-07-27,8.50,8.50,8.45,8.45,11100,8.45
2016-07-26,8.57,8.57,8.53,8.53,1800,8.53
2016-07-25,8.44,8.59,8.44,8.45,4400,8.45
2016-07-22,8.53,8.54,8.45,8.46,5500,8.46
2016-07-21,8.58,8.58,8.58,8.58,2000,8.58
2016-07-20,8.45,8.57,8.45,8.57,5700,8.57
2016-07-19,8.50,8.55,8.41,8.42,4100,8.42
2016-07-18,8.60,8.60,8.58,8.59,2600,8.59
2016-07-15,8.41,8.52,8.38,8.52,32200,8.49
2016-07-14,8.40,8.42,8.40,8.40,6500,8.370422
2016-07-13,8.40,8.58,8.40,8.44,3200,8.410281
2016-07-12,8.41,8.44,8.36,8.40,27200,8.370422
2016-07-11,8.52,8.52,8.40,8.43,5400,8.400317
2016-07-08,8.55,8.55,8.55,8.55,300,8.519894
2016-07-07,8.60,8.60,8.54,8.55,800,8.519894
2016-07-06,8.40,8.40,8.40,8.40,000,8.370422
2016-07-05,8.39,8.40,8.39,8.40,1900,8.370422
2016-07-01,8.44,8.44,8.40,8.40,18400,8.370422
2016-06-30,8.42,8.44,8.41,8.42,5800,8.390352
2016-06-29,8.42,8.42,8.42,8.42,900,8.390352
2016-06-28,8.40,8.45,8.40,8.40,13000,8.370422
2016-06-27,8.52,8.53,8.40,8.43,11100,8.400317
2016-06-24,8.57,8.58,8.52,8.52,3500,8.49
2016-06-23,8.61,8.62,8.61,8.62,2200,8.589648
2016-06-22,8.61,8.64,8.55,8.55,12200,8.519894
2016-06-21,8.60,8.60,8.60,8.60,000,8.569719
2016-06-20,8.60,8.64,8.60,8.60,1300,8.569719
2016-06-17,8.64,8.64,8.55,8.55,1100,8.519894
2016-06-16,8.59,8.59,8.59,8.59,800,8.559754
2016-06-15,8.63,8.63,8.63,8.63,000,8.599613
2016-06-14,8.63,8.63,8.63,8.63,000,8.599613
2016-06-13,8.63,8.63,8.63,8.63,200,8.599613
2016-06-10,8.60,8.60,8.60,8.60,000,8.569719
2016-06-09,8.60,8.60,8.60,8.60,000,8.569719
2016-06-08,8.64,8.64,8.60,8.60,800,8.569719
2016-06-07,8.58,8.64,8.58,8.64,600,8.609578
2016-06-06,8.60,8.63,8.60,8.63,20900,8.599613
2016-06-03,8.59,8.59,8.57,8.57,1600,8.539823
2016-06-02,8.62,8.62,8.58,8.58,8500,8.549789
2016-06-01,8.63,8.63,8.60,8.60,5000,8.569719
2016-05-31,8.59,8.63,8.58,8.63,1300,8.599613
2016-05-27,8.58,8.62,8.58,8.62,5300,8.589648
2016-05-26,8.61,8.63,8.59,8.63,9600,8.599613
2016-05-25,8.60,8.60,8.60,8.60,1600,8.569719
2016-05-24,8.65,8.65,8.57,8.57,9200,8.539823
2016-05-23,8.52,8.64,8.52,8.63,14300,8.599613
2016-05-20,8.55,8.64,8.50,8.50,13000,8.47007
2016-05-19,8.58,8.63,8.53,8.62,12700,8.589648
2016-05-18,8.65,8.65,8.53,8.55,3900,8.519894
2016-05-17,8.55,8.61,8.54,8.56,3000,8.529859
2016-05-16,8.51,8.53,8.51,8.53,4400,8.499964
2016-05-13,8.50,8.54,8.50,8.54,30400,8.509929
2016-05-12,8.59,8.59,8.59,8.59,000,8.559754
2016-05-11,8.59,8.59,8.59,8.59,000,8.559754
2016-05-10,8.59,8.59,8.50,8.59,18500,8.559754
2016-05-09,8.53,8.65,8.50,8.60,44000,8.569719
2016-05-06,8.48,8.52,8.48,8.52,200,8.49
2016-05-05,8.49,8.53,8.49,8.53,6500,8.499964
2016-05-04,8.50,8.50,8.47,8.50,1400,8.47007
2016-05-03,8.46,8.50,8.46,8.50,16800,8.47007
2016-05-02,8.47,8.51,8.47,8.50,9700,8.47007
2016-04-29,8.50,8.50,8.47,8.50,2600,8.47007
2016-04-28,8.52,8.52,8.52,8.52,000,8.49
