Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,9.65,9.74,9.10,9.36,650900,9.36
2016-10-06,10.07,10.08,9.47,9.66,868000,9.66
2016-10-05,10.39,10.50,9.82,10.04,1006000,10.04
2016-10-04,10.43,10.58,10.11,10.30,1075700,10.30
2016-10-03,9.36,10.73,9.31,10.39,2663800,10.39
2016-09-30,9.00,9.39,8.90,9.36,843000,9.36
2016-09-29,9.35,9.40,8.90,8.91,670800,8.91
2016-09-28,9.08,9.48,9.04,9.39,732000,9.39
2016-09-27,8.94,9.21,8.92,9.10,617300,9.10
2016-09-26,9.28,9.33,8.90,8.93,601100,8.93
2016-09-23,9.40,9.71,9.22,9.28,763400,9.28
2016-09-22,9.22,9.49,9.13,9.41,827000,9.41
2016-09-21,9.14,9.22,8.83,9.13,541100,9.13
2016-09-20,9.21,9.33,9.07,9.12,325900,9.12
2016-09-19,9.24,9.42,9.07,9.17,433000,9.17
2016-09-16,9.08,9.35,9.07,9.19,511900,9.19
2016-09-15,8.94,9.16,8.89,9.16,588700,9.16
2016-09-14,8.87,9.10,8.81,8.99,561200,8.99
2016-09-13,9.15,9.20,8.67,8.80,655900,8.80
2016-09-12,8.91,9.22,8.60,9.21,697100,9.21
2016-09-09,9.79,9.86,9.10,9.13,748300,9.13
2016-09-08,9.27,9.90,9.22,9.80,1121200,9.80
2016-09-07,9.33,9.33,9.04,9.28,770700,9.28
2016-09-06,9.00,9.25,8.96,9.25,679900,9.25
2016-09-02,9.04,9.04,8.71,8.81,377800,8.81
2016-09-01,8.92,9.03,8.73,8.92,503500,8.92
2016-08-31,9.17,9.19,8.62,8.87,807400,8.87
2016-08-30,9.40,9.44,9.14,9.23,630100,9.23
2016-08-29,9.08,9.43,9.01,9.36,845400,9.36
2016-08-26,9.09,9.19,8.90,9.07,601900,9.07
2016-08-25,9.00,9.28,8.94,9.04,861600,9.04
2016-08-24,9.41,9.44,8.94,9.07,1155400,9.07
2016-08-23,9.25,9.55,9.14,9.41,689400,9.41
2016-08-22,9.16,9.29,8.96,9.25,776500,9.25
2016-08-19,9.13,9.25,8.81,9.11,1123500,9.11
2016-08-18,8.91,9.22,8.79,9.05,906700,9.05
2016-08-17,8.99,9.06,8.68,8.96,847900,8.96
2016-08-16,9.75,9.75,8.96,8.98,2090300,8.98
2016-08-15,9.52,9.65,9.30,9.41,736900,9.41
2016-08-12,8.99,9.65,8.99,9.49,1160200,9.49
2016-08-11,9.37,9.39,8.93,8.96,1754900,8.96
2016-08-10,9.27,9.45,9.13,9.30,1101500,9.30
2016-08-09,8.50,9.49,8.50,9.22,1682100,9.22
2016-08-08,8.54,8.65,8.42,8.55,1047100,8.55
2016-08-05,8.70,8.94,8.33,8.46,2037700,8.46
2016-08-04,8.15,8.20,7.79,7.97,1013900,7.97
2016-08-03,7.70,8.50,7.57,8.00,1506100,8.00
2016-08-02,7.44,7.74,7.43,7.62,578700,7.62
2016-08-01,7.61,7.72,7.36,7.50,544100,7.50
2016-07-29,7.33,7.72,7.20,7.59,909200,7.59
2016-07-28,6.81,7.37,6.79,7.34,608500,7.34
2016-07-27,6.50,6.85,6.46,6.85,688200,6.85
2016-07-26,6.44,6.54,6.35,6.48,421200,6.48
2016-07-25,6.54,6.57,6.35,6.45,341200,6.45
2016-07-22,6.55,6.59,6.34,6.52,376700,6.52
2016-07-21,6.75,6.82,6.51,6.57,349700,6.57
2016-07-20,6.49,6.85,6.40,6.76,524700,6.76
2016-07-19,6.70,6.76,6.36,6.47,446300,6.47
2016-07-18,6.76,6.84,6.67,6.70,301500,6.70
2016-07-15,6.80,6.89,6.68,6.74,273400,6.74
2016-07-14,6.98,6.98,6.71,6.79,215700,6.79
2016-07-13,7.12,7.15,6.81,6.91,278300,6.91
2016-07-12,6.98,7.13,6.87,7.03,237600,7.03
2016-07-11,7.06,7.08,6.87,6.89,246900,6.89
2016-07-08,6.73,7.05,6.70,7.00,422700,7.00
2016-07-07,6.62,6.80,6.43,6.69,323200,6.69
2016-07-06,6.41,6.70,6.37,6.58,430700,6.58
2016-07-05,6.41,6.56,6.29,6.45,255100,6.45
2016-07-01,6.33,6.71,6.29,6.46,398400,6.46
2016-06-30,6.50,6.61,6.18,6.32,582800,6.32
2016-06-29,6.16,6.52,6.02,6.49,514600,6.49
2016-06-28,5.96,6.26,5.95,6.07,544700,6.07
2016-06-27,5.98,6.12,5.76,5.86,657000,5.86
2016-06-24,6.00,6.13,5.75,6.12,1255000,6.12
2016-06-23,6.06,6.28,5.93,6.24,619900,6.24
2016-06-22,6.15,6.30,5.93,5.97,407800,5.97
2016-06-21,6.16,6.18,5.88,6.13,391600,6.13
2016-06-20,6.10,6.39,5.92,6.14,302300,6.14
2016-06-17,6.40,6.48,5.98,6.01,538600,6.01
2016-06-16,6.50,6.59,6.06,6.44,503900,6.44
2016-06-15,6.52,6.91,6.48,6.56,320300,6.56
2016-06-14,6.50,6.72,6.23,6.46,392100,6.46
2016-06-13,6.61,6.99,6.52,6.52,358700,6.52
2016-06-10,7.02,7.02,6.60,6.70,475300,6.70
2016-06-09,7.38,7.45,7.06,7.10,425900,7.10
2016-06-08,7.30,7.50,7.19,7.40,370700,7.40
2016-06-07,7.35,7.45,7.26,7.30,299500,7.30
2016-06-06,7.40,7.50,7.16,7.46,374900,7.46
2016-06-03,7.58,7.58,7.21,7.39,551200,7.39
2016-06-02,7.17,7.66,7.07,7.56,824000,7.56
2016-06-01,7.12,7.30,6.88,7.20,568500,7.20
2016-05-31,7.00,7.35,7.00,7.13,1342200,7.13
2016-05-27,6.26,6.89,6.21,6.83,939200,6.83
2016-05-26,6.34,6.35,6.12,6.21,381100,6.21
2016-05-25,6.45,6.53,6.23,6.31,764400,6.31
2016-05-24,6.30,6.50,6.13,6.38,370800,6.38
2016-05-23,6.23,6.40,6.20,6.26,413500,6.26
2016-05-20,5.94,6.26,5.88,6.16,573700,6.16
2016-05-19,6.12,6.15,5.70,5.91,618200,5.91
2016-05-18,6.29,6.56,6.05,6.17,1296900,6.17
2016-05-17,6.07,6.33,5.99,6.05,670800,6.05
2016-05-16,5.74,6.12,5.65,6.09,481200,6.09
2016-05-13,5.50,5.79,5.46,5.66,359700,5.66
2016-05-12,6.12,6.18,5.47,5.49,657900,5.49
2016-05-11,5.61,6.45,5.61,6.09,1181100,6.09
2016-05-10,5.56,5.82,5.50,5.81,788600,5.81
2016-05-09,5.32,5.63,5.32,5.52,450000,5.52
2016-05-06,5.47,5.85,5.16,5.41,920000,5.41
2016-05-05,5.69,5.92,5.61,5.68,513400,5.68
2016-05-04,5.85,6.11,5.54,5.67,664600,5.67
2016-05-03,6.09,6.19,5.95,5.97,492300,5.97
2016-05-02,6.05,6.18,5.68,6.15,953000,6.15
2016-04-29,6.32,6.53,5.86,6.01,1057700,6.01
2016-04-28,6.57,6.85,6.33,6.36,695000,6.36
2016-04-27,6.99,7.07,6.38,6.61,1130800,6.61
2016-04-26,7.68,7.75,6.84,7.00,4348700,7.00
2016-04-25,7.20,7.32,6.80,6.91,1012800,6.91
2016-04-22,6.79,7.29,6.75,7.22,580600,7.22
2016-04-21,6.71,6.88,6.61,6.79,386600,6.79
2016-04-20,6.81,7.01,6.61,6.70,441400,6.70
2016-04-19,6.78,6.92,6.58,6.76,491200,6.76
2016-04-18,6.50,6.84,6.44,6.74,365900,6.74
2016-04-15,6.42,6.72,6.37,6.57,305500,6.57
2016-04-14,6.60,6.63,6.33,6.42,299900,6.42
2016-04-13,6.48,6.62,6.27,6.55,457200,6.55
2016-04-12,6.46,6.82,6.36,6.42,624000,6.42
2016-04-11,6.40,6.63,6.27,6.45,578500,6.45
2016-04-08,6.93,6.99,6.20,6.34,1192700,6.34
2016-04-07,7.21,7.75,6.60,6.82,1078300,6.82
2016-04-06,6.70,7.52,6.70,7.23,1445900,7.23
2016-04-05,6.40,7.06,6.25,6.66,1107100,6.66
2016-04-04,6.20,6.93,6.10,6.52,1520100,6.52
2016-04-01,5.40,6.18,5.33,6.14,1105200,6.14
2016-03-31,5.21,6.02,5.21,5.52,1613500,5.52
2016-03-30,5.40,5.48,5.13,5.21,455500,5.21
2016-03-29,4.99,5.38,4.85,5.31,584800,5.31
2016-03-28,5.25,5.34,4.96,5.03,724400,5.03
2016-03-24,5.04,5.28,4.76,5.15,844100,5.15
2016-03-23,5.01,5.28,4.88,5.10,1602900,5.10
2016-03-22,5.48,5.58,4.74,4.86,2770700,4.86
2016-03-21,4.45,6.17,4.43,5.19,2971500,5.19
2016-03-18,4.36,4.59,4.16,4.51,693000,4.51
2016-03-17,4.19,4.30,4.01,4.26,571000,4.26
2016-03-16,4.16,4.40,4.00,4.18,476300,4.18
2016-03-15,4.30,4.55,3.90,4.17,1040500,4.17
2016-03-14,4.27,4.69,4.17,4.60,659200,4.60
2016-03-11,3.91,4.45,3.88,4.30,656400,4.30
2016-03-10,3.93,4.04,3.72,3.84,319400,3.84
2016-03-09,4.30,4.41,3.81,3.93,723500,3.93
2016-03-08,4.52,4.90,4.22,4.27,1146500,4.27
2016-03-07,4.04,4.83,4.00,4.60,1217800,4.60
2016-03-04,3.98,4.50,3.97,4.04,689300,4.04
2016-03-03,3.63,3.98,3.61,3.96,720500,3.96
2016-03-02,3.33,3.64,3.25,3.60,455400,3.60
2016-03-01,3.33,3.40,3.15,3.34,313200,3.34
2016-02-29,3.40,3.43,3.25,3.27,318100,3.27
2016-02-26,3.38,3.50,3.32,3.35,241800,3.35
2016-02-25,3.40,3.42,3.18,3.34,356400,3.34
2016-02-24,3.50,3.50,3.20,3.38,458600,3.38
2016-02-23,3.33,3.68,3.31,3.54,608900,3.54
2016-02-22,3.18,3.41,3.13,3.36,475900,3.36
2016-02-19,3.26,3.26,3.04,3.13,515400,3.13
2016-02-18,3.50,3.50,3.14,3.29,693600,3.29
2016-02-17,3.14,3.43,3.10,3.36,505500,3.36
2016-02-16,2.79,3.16,2.73,3.09,508000,3.09
2016-02-12,2.72,2.73,2.56,2.70,422200,2.70
2016-02-11,2.68,2.77,2.64,2.65,452100,2.65
2016-02-10,2.70,2.98,2.60,2.75,452400,2.75
2016-02-09,2.90,3.02,2.67,2.68,978800,2.68
2016-02-08,3.20,3.25,2.89,2.96,640700,2.96
2016-02-05,3.56,3.56,3.25,3.29,750400,3.29
2016-02-04,3.54,4.19,3.42,3.59,1789700,3.59
2016-02-03,3.24,3.35,3.10,3.30,324300,3.30
2016-02-02,3.31,3.37,3.13,3.20,374400,3.20
2016-02-01,3.33,3.46,3.21,3.35,438300,3.35
2016-01-29,3.14,3.38,3.14,3.37,484100,3.37
2016-01-28,3.24,3.25,3.04,3.15,554300,3.15
2016-01-27,3.24,3.32,2.99,3.12,794100,3.12
2016-01-26,3.53,3.60,3.13,3.24,2182100,3.24
2016-01-25,3.16,3.29,3.09,3.19,628700,3.19
2016-01-22,3.20,3.30,3.08,3.14,488900,3.14
2016-01-21,3.12,3.43,3.07,3.13,794900,3.13
2016-01-20,2.88,3.20,2.65,3.11,629500,3.11
2016-01-19,3.13,3.18,2.88,2.95,396100,2.95
2016-01-15,3.03,3.12,2.81,3.07,565100,3.07
2016-01-14,3.01,3.31,2.91,3.19,1002600,3.19
2016-01-13,3.33,3.50,2.96,2.98,846800,2.98
2016-01-12,3.61,3.77,3.22,3.32,530000,3.32
2016-01-11,3.82,3.93,3.44,3.54,515400,3.54
2016-01-08,4.20,4.50,3.57,3.82,806400,3.82
2016-01-07,4.44,4.47,4.10,4.11,594800,4.11
2016-01-06,4.73,4.73,4.37,4.56,687900,4.56
2016-01-05,4.88,5.15,4.74,4.78,432000,4.78
2016-01-04,5.43,5.50,4.99,5.03,424200,5.03
2015-12-31,5.78,5.78,5.47,5.58,279700,5.58
2015-12-30,5.85,6.02,5.76,5.78,331000,5.78
2015-12-29,6.17,6.19,5.83,5.92,415400,5.92
2015-12-28,6.42,6.52,6.05,6.09,475900,6.09
2015-12-24,6.50,6.51,6.31,6.47,89900,6.47
2015-12-23,6.30,6.59,6.23,6.46,371500,6.46
2015-12-22,6.28,6.45,6.13,6.26,445100,6.26
2015-12-21,5.82,6.31,5.62,6.24,435500,6.24
2015-12-18,5.53,5.92,5.52,5.79,1691000,5.79
2015-12-17,5.69,5.77,5.44,5.53,476500,5.53
2015-12-16,5.55,5.93,5.49,5.65,732200,5.65
2015-12-15,5.60,6.00,5.47,5.55,660100,5.55
