Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,18.209999,18.25,17.75,17.860001,24100,17.860001
2016-10-06,18.120001,18.25,17.950001,18.120001,22300,18.120001
2016-10-05,18.27,18.41,17.40,18.309999,24600,18.309999
2016-10-04,18.370001,18.41,18.00,18.10,35800,18.10
2016-10-03,18.049999,18.40,17.950001,18.389999,22300,18.389999
2016-09-30,18.290001,18.41,17.90,18.17,55200,18.17
2016-09-29,18.33,18.59,18.15,18.209999,34100,18.209999
2016-09-28,18.23,18.65,18.049999,18.40,38300,18.40
2016-09-27,18.35,18.450001,18.030001,18.23,39100,18.23
2016-09-26,18.58,18.85,18.26,18.389999,37300,18.389999
2016-09-23,18.700001,19.00,18.18,18.67,37700,18.67
2016-09-22,18.76,19.01,18.73,18.889999,29400,18.889999
2016-09-21,18.65,18.82,18.35,18.66,40500,18.66
2016-09-20,18.049999,18.66,18.00,18.43,42200,18.43
2016-09-19,17.92,18.23,17.77,17.93,43800,17.93
2016-09-16,17.68,18.24,17.57,17.809999,106200,17.809999
2016-09-15,17.540001,18.459999,17.110001,17.66,85900,17.66
2016-09-14,17.35,17.83,17.200001,17.49,82100,17.49
2016-09-13,17.879999,17.879999,17.370001,17.66,25700,17.66
2016-09-12,17.98,18.209999,17.85,18.09,39300,18.09
2016-09-09,18.379999,18.52,17.82,18.00,43300,18.00
2016-09-08,18.940001,18.98,18.51,18.75,35200,18.75
2016-09-07,18.75,19.00,18.549999,18.889999,59100,18.889999
2016-09-06,19.00,19.08,18.67,18.93,46400,18.93
2016-09-02,18.879999,19.559999,18.719999,19.00,42700,19.00
2016-09-01,18.50,18.969999,18.190001,18.93,52700,18.93
2016-08-31,19.59,19.59,18.620001,18.629999,92500,18.629999
2016-08-30,20.049999,20.299999,19.50,19.559999,20300,19.559999
2016-08-29,19.950001,20.35,19.879999,20.02,48000,20.02
2016-08-26,20.00,20.42,19.799999,19.950001,49400,19.950001
2016-08-25,20.25,20.25,19.719999,20.01,40700,20.01
2016-08-24,20.01,20.219999,19.74,19.93,44500,19.93
2016-08-23,19.540001,20.10,19.540001,20.00,55400,20.00
2016-08-22,19.15,19.23,18.90,19.139999,42900,19.139999
2016-08-19,18.940001,19.16,18.83,18.99,36500,18.99
2016-08-18,18.889999,19.200001,18.780001,19.07,27300,19.07
2016-08-17,18.870001,19.23,18.639999,18.84,23500,18.84
2016-08-16,19.190001,19.190001,18.50,18.91,47600,18.91
2016-08-15,18.51,19.290001,18.280001,19.280001,45400,19.280001
2016-08-12,18.57,18.68,18.030001,18.50,46800,18.50
2016-08-11,18.34,18.73,18.209999,18.549999,50400,18.549999
2016-08-10,19.200001,19.23,18.24,18.33,60900,18.33
2016-08-09,19.190001,19.309999,18.620001,19.25,31900,19.25
2016-08-08,19.209999,19.530001,19.129999,19.200001,23500,19.200001
2016-08-05,19.049999,19.389999,18.969999,19.139999,33900,19.139999
2016-08-04,18.959999,19.35,18.790001,18.940001,27700,18.940001
2016-08-03,18.950001,19.290001,18.93,19.26,18600,19.26
2016-08-02,19.49,19.49,18.889999,19.040001,26600,19.040001
2016-08-01,19.360001,19.629999,18.809999,19.51,47700,19.51
2016-07-29,19.030001,19.51,18.91,19.32,43500,19.32
2016-07-28,19.709999,19.82,19.290001,19.41,10300,19.41
2016-07-27,19.709999,19.98,19.610001,19.700001,24900,19.700001
2016-07-26,19.700001,19.85,19.42,19.690001,12000,19.690001
2016-07-25,19.559999,19.690001,19.360001,19.639999,14300,19.639999
2016-07-22,19.780001,19.969999,19.51,19.91,18200,19.91
2016-07-21,20.049999,20.34,19.67,19.77,20400,19.77
2016-07-20,19.90,20.42,19.59,20.129999,19100,20.129999
2016-07-19,20.24,20.35,19.51,19.799999,39600,19.799999
2016-07-18,19.77,20.40,19.469999,20.299999,19100,20.299999
2016-07-15,20.219999,20.219999,19.780001,19.879999,49300,19.879999
2016-07-14,20.42,21.00,19.450001,19.93,25800,19.93
2016-07-13,20.030001,20.389999,19.75,20.34,38700,20.34
2016-07-12,19.200001,20.190001,19.200001,20.08,35700,20.08
2016-07-11,19.059999,19.280001,18.690001,19.17,30800,19.17
2016-07-08,18.360001,19.26,18.209999,19.059999,30500,19.059999
2016-07-07,18.360001,18.719999,17.91,17.959999,36200,17.959999
2016-07-06,18.190001,18.48,18.16,18.360001,27200,18.360001
2016-07-05,18.459999,19.16,17.98,18.299999,55100,18.299999
2016-07-01,17.76,18.84,17.610001,18.709999,33000,18.709999
2016-06-30,18.09,18.09,17.219999,17.879999,67700,17.879999
2016-06-29,18.23,18.24,17.780001,17.99,26300,17.99
2016-06-28,17.790001,18.25,17.65,18.00,74500,18.00
2016-06-27,17.98,18.049999,17.25,17.459999,79800,17.459999
2016-06-24,17.84,18.559999,17.50,18.23,114000,18.23
2016-06-23,18.59,18.93,18.26,18.860001,25100,18.860001
2016-06-22,18.120001,18.690001,18.09,18.34,41500,18.34
2016-06-21,18.74,19.02,18.030001,18.129999,92900,18.129999
2016-06-20,18.75,19.15,18.530001,18.809999,86600,18.809999
2016-06-17,18.08,18.690001,18.08,18.50,96000,18.50
2016-06-16,17.68,18.07,17.290001,18.02,31100,18.02
2016-06-15,18.360001,18.52,17.379999,18.110001,26000,18.110001
2016-06-14,18.52,18.93,18.030001,18.32,35100,18.32
2016-06-13,18.57,18.92,18.360001,18.700001,41000,18.700001
2016-06-10,18.370001,18.860001,18.299999,18.719999,94200,18.719999
2016-06-09,19.00,19.00,18.440001,18.559999,38400,18.559999
2016-06-08,18.32,19.27,18.32,19.23,112900,19.23
