Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,15.11,15.15,14.75,15.15,2100,15.15
2016-10-06,15.13,15.13,15.08,15.08,800,15.08
2016-10-05,15.15,15.15,14.89,15.11,700,15.11
2016-10-04,15.09,15.15,14.75,15.14,9800,15.14
2016-10-03,15.00,15.29,15.00,15.28,4300,15.28
2016-09-30,15.53,15.53,15.08,15.08,3600,15.08
2016-09-29,15.30,15.78,15.30,15.66,1800,15.66
2016-09-28,15.29,15.46,15.25,15.25,2400,15.25
2016-09-27,15.77,15.77,15.40,15.40,2000,15.40
2016-09-26,15.54,15.67,15.39,15.60,2200,15.60
2016-09-23,15.42,15.69,15.35,15.36,1400,15.36
2016-09-22,15.96,15.96,15.56,15.56,2300,15.56
2016-09-21,15.53,15.86,15.26,15.36,2400,15.36
2016-09-20,15.97,15.97,15.28,15.28,4700,15.28
2016-09-19,15.49,15.96,15.49,15.85,20400,15.85
2016-09-16,15.54,15.85,14.91,15.49,19100,15.49
2016-09-15,14.99,15.61,14.73,15.49,18600,15.49
2016-09-14,14.91,15.08,14.90,14.91,1400,14.91
2016-09-13,15.03,15.03,14.71,14.86,2200,14.86
2016-09-12,15.25,15.36,14.64,14.97,6600,14.97
2016-09-09,15.19,15.19,15.00,15.12,4100,15.12
2016-09-08,15.02,15.02,14.90,14.94,5600,14.94
2016-09-07,14.87,15.26,14.87,15.05,28300,15.05
2016-09-06,14.58,16.68,14.42,14.85,25900,14.85
2016-09-02,14.45,14.52,14.42,14.52,14400,14.52
2016-09-01,13.80,14.20,13.80,14.19,13900,14.19
2016-08-31,13.83,14.19,13.81,14.11,7900,14.11
2016-08-30,13.73,14.19,13.73,14.00,7600,14.00
2016-08-29,13.77,13.77,13.69,13.75,14500,13.75
2016-08-26,13.74,13.80,13.67,13.77,11700,13.77
2016-08-25,14.01,14.18,13.76,13.80,17000,13.80
2016-08-24,14.09,14.60,13.93,13.98,21800,13.98
2016-08-23,13.99,14.14,13.95,14.13,20500,14.13
2016-08-22,14.00,14.00,13.93,13.97,23300,13.97
2016-08-19,13.85,14.00,13.85,13.99,2900,13.99
2016-08-18,13.64,13.90,13.64,13.88,28100,13.88
2016-08-17,13.70,13.70,13.70,13.70,100,13.70
2016-08-16,13.60,13.73,13.60,13.71,1600,13.71
2016-08-15,13.70,13.70,13.65,13.66,1700,13.66
2016-08-12,13.67,13.68,13.61,13.63,4300,13.63
2016-08-11,13.65,13.75,13.65,13.67,15300,13.67
2016-08-10,13.66,13.67,13.62,13.65,3300,13.65
2016-08-09,13.72,13.72,13.66,13.67,900,13.67
2016-08-08,13.65,13.75,13.50,13.72,23000,13.72
2016-08-05,13.60,13.62,13.51,13.56,4200,13.56
2016-08-04,13.60,13.60,13.60,13.60,3100,13.60
2016-08-03,13.65,13.65,13.63,13.63,900,13.63
2016-08-02,13.62,13.65,13.61,13.62,3100,13.62
2016-08-01,13.60,13.65,13.60,13.61,6400,13.61
2016-07-29,13.55,13.65,13.50,13.50,3300,13.50
2016-07-28,13.55,13.55,13.55,13.55,000,13.55
2016-07-27,13.55,13.55,13.55,13.55,300,13.55
2016-07-26,13.70,13.70,13.60,13.60,5400,13.60
2016-07-25,13.66,13.69,13.57,13.67,4500,13.67
2016-07-22,13.62,13.76,13.58,13.65,18300,13.65
2016-07-21,13.44,13.76,13.39,13.55,20000,13.55
2016-07-20,13.29,13.49,13.17,13.45,22800,13.45
2016-07-19,13.37,13.43,13.27,13.27,8500,13.27
2016-07-18,13.15,13.43,13.14,13.38,23000,13.38
2016-07-15,13.18,13.18,13.05,13.05,2200,13.05
2016-07-14,13.20,13.20,12.68,13.18,31700,13.18
2016-07-13,13.18,13.20,12.78,13.20,4900,13.20
2016-07-12,13.20,13.20,12.77,13.18,5200,13.100001
2016-07-11,13.10,13.20,13.10,13.17,6500,13.090061
2016-07-08,12.80,13.20,12.80,13.05,5000,12.97079
2016-07-07,12.84,12.87,12.84,12.85,3000,12.772004
2016-07-06,12.61,12.85,12.61,12.81,2800,12.732247
2016-07-05,12.72,12.72,12.52,12.61,700,12.53346
2016-07-01,12.90,12.92,12.90,12.90,6200,12.821699
2016-06-30,12.92,12.94,12.91,12.92,2800,12.841579
2016-06-29,12.84,12.96,12.76,12.94,4200,12.861457
2016-06-28,12.84,12.84,12.84,12.84,300,12.762064
2016-06-27,13.20,13.20,12.84,12.84,13000,12.762064
2016-06-24,13.22,13.22,13.10,13.19,17800,13.109939
2016-06-23,13.10,13.22,13.10,13.20,12500,13.119879
2016-06-22,13.23,13.25,13.05,13.20,7800,13.119879
2016-06-21,13.19,13.19,13.15,13.19,3800,13.109939
2016-06-20,13.18,13.30,13.05,13.08,8200,13.000607
2016-06-17,13.19,13.22,13.05,13.20,9300,13.119879
2016-06-16,13.19,13.19,13.12,13.16,600,13.080122
2016-06-15,12.99,13.30,12.99,13.06,7400,12.980729
2016-06-14,12.98,13.14,12.98,13.14,800,13.060243
2016-06-13,13.00,13.19,12.91,13.13,6200,13.050304
2016-06-10,13.00,13.00,12.93,12.93,900,12.851518
2016-06-09,12.94,13.15,12.90,12.94,7000,12.861457
2016-06-08,12.99,13.00,12.94,13.00,4600,12.921093
2016-06-07,13.00,13.00,12.90,12.90,10000,12.821699
2016-06-06,13.10,13.10,12.98,12.98,2100,12.901214
2016-06-03,13.01,13.01,13.01,13.01,000,12.931032
2016-06-02,13.09,13.10,13.01,13.01,900,12.931032
2016-06-01,13.16,13.16,13.00,13.00,5000,12.921093
2016-05-31,12.98,13.14,12.92,13.14,3500,13.060243
2016-05-27,13.08,13.08,12.90,12.92,2500,12.841579
2016-05-26,12.93,13.08,12.90,13.05,3800,12.97079
2016-05-25,13.08,13.12,12.94,12.94,6700,12.861457
2016-05-24,12.92,13.12,12.91,12.98,3600,12.901214
2016-05-23,12.90,13.12,12.90,13.04,2900,12.96085
2016-05-20,12.92,13.18,12.90,12.91,3500,12.831639
2016-05-19,12.90,12.91,12.90,12.91,800,12.831639
2016-05-18,13.01,13.01,12.88,12.98,6200,12.901214
2016-05-17,13.04,13.13,12.92,12.92,1000,12.841579
2016-05-16,12.92,13.32,12.88,13.11,6500,13.030425
2016-05-13,13.15,13.15,12.92,12.92,3700,12.841579
2016-05-12,13.18,13.27,13.15,13.15,700,13.070182
2016-05-11,13.11,13.18,13.11,13.18,300,13.100001
2016-05-10,13.18,13.18,13.18,13.18,800,13.100001
