Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,3.50,3.57,3.47,3.51,169600,3.51
2016-10-06,3.49,3.56,3.38,3.54,198900,3.54
2016-10-05,3.49,3.56,3.47,3.49,169100,3.49
2016-10-04,3.69,3.69,3.48,3.49,87000,3.49
2016-10-03,3.67,3.72,3.63,3.63,175400,3.63
2016-09-30,3.63,3.72,3.56,3.71,146400,3.71
2016-09-29,3.65,3.68,3.58,3.61,60800,3.61
2016-09-28,3.65,3.68,3.58,3.67,107800,3.67
2016-09-27,3.66,3.67,3.59,3.64,100500,3.64
2016-09-26,3.74,3.75,3.61,3.66,86600,3.66
2016-09-23,3.85,3.86,3.72,3.77,114900,3.77
2016-09-22,3.76,3.85,3.71,3.85,217900,3.85
2016-09-21,3.77,3.77,3.62,3.74,100000,3.74
2016-09-20,3.80,3.81,3.65,3.75,155500,3.75
2016-09-19,3.69,3.79,3.63,3.74,189700,3.74
2016-09-16,3.59,3.68,3.59,3.65,358600,3.65
2016-09-15,3.55,3.71,3.53,3.57,196100,3.57
2016-09-14,3.47,3.64,3.40,3.60,198300,3.60
2016-09-13,3.44,3.48,3.34,3.43,153800,3.43
2016-09-12,3.38,3.47,3.32,3.46,396500,3.46
2016-09-09,3.62,3.62,3.43,3.43,180100,3.43
2016-09-08,3.67,3.70,3.58,3.64,206600,3.64
2016-09-07,3.61,3.70,3.61,3.66,185200,3.66
2016-09-06,3.78,3.80,3.65,3.66,161500,3.66
2016-09-02,3.59,3.80,3.59,3.79,222500,3.79
2016-09-01,3.53,3.65,3.52,3.63,428800,3.63
2016-08-31,3.78,3.89,3.56,3.59,754500,3.59
2016-08-30,3.63,3.83,3.63,3.75,308500,3.75
2016-08-29,3.92,3.94,3.63,3.64,343700,3.64
2016-08-26,3.81,3.95,3.79,3.93,252800,3.93
2016-08-25,3.76,3.83,3.69,3.81,118400,3.81
2016-08-24,3.74,3.81,3.70,3.77,156300,3.77
2016-08-23,3.79,3.84,3.75,3.76,198400,3.76
2016-08-22,3.57,3.76,3.55,3.75,229200,3.75
2016-08-19,3.67,3.68,3.55,3.61,335500,3.61
2016-08-18,3.58,3.69,3.52,3.67,260900,3.67
2016-08-17,3.67,3.73,3.57,3.61,387000,3.61
2016-08-16,3.78,3.80,3.66,3.67,353700,3.67
2016-08-15,3.73,3.84,3.68,3.83,239400,3.83
2016-08-12,3.75,3.78,3.73,3.74,348100,3.74
2016-08-11,3.76,3.78,3.69,3.75,309400,3.75
2016-08-10,3.77,3.81,3.72,3.72,315400,3.72
2016-08-09,3.74,3.80,3.68,3.77,179600,3.77
2016-08-08,3.60,3.84,3.58,3.71,862200,3.71
2016-08-05,3.80,3.82,3.51,3.63,767400,3.63
2016-08-04,4.59,4.60,3.50,3.82,1852300,3.82
2016-08-03,4.63,4.70,4.56,4.60,338300,4.60
2016-08-02,4.60,4.69,4.57,4.64,198800,4.64
2016-08-01,4.64,4.69,4.54,4.63,306900,4.63
2016-07-29,4.71,4.77,4.58,4.69,172600,4.69
2016-07-28,4.72,4.81,4.66,4.70,157200,4.70
2016-07-27,4.80,4.84,4.66,4.76,364600,4.76
2016-07-26,4.88,4.95,4.75,4.86,327100,4.86
2016-07-25,4.75,4.97,4.71,4.83,491500,4.83
2016-07-22,4.69,4.79,4.57,4.74,367600,4.74
2016-07-21,4.65,4.84,4.54,4.64,921300,4.64
2016-07-20,4.03,4.68,3.95,4.53,2386400,4.53
2016-07-19,4.17,4.19,3.98,3.99,396200,3.99
2016-07-18,4.13,4.18,4.04,4.15,220900,4.15
2016-07-15,4.04,4.18,3.90,4.13,325300,4.13
2016-07-14,4.10,4.11,3.94,4.01,200900,4.01
2016-07-13,4.19,4.21,3.99,4.02,428800,4.02
2016-07-12,4.17,4.26,4.12,4.18,241800,4.18
2016-07-11,4.12,4.30,4.00,4.11,400600,4.11
2016-07-08,3.97,4.10,3.82,4.04,240800,4.04
2016-07-07,4.15,4.15,3.89,3.94,314100,3.94
2016-07-06,4.25,4.26,4.09,4.10,352900,4.10
2016-07-05,4.44,4.46,4.26,4.27,319600,4.27
2016-07-01,4.50,4.50,4.32,4.43,264500,4.43
2016-06-30,4.33,4.49,4.26,4.49,357000,4.49
2016-06-29,4.22,4.37,4.17,4.28,315100,4.28
2016-06-28,3.97,4.23,3.88,4.16,370200,4.16
2016-06-27,4.30,4.31,4.05,4.08,389100,4.08
2016-06-24,4.21,4.40,4.10,4.33,4442700,4.33
2016-06-23,4.45,4.69,4.34,4.47,705100,4.47
2016-06-22,4.27,4.42,4.19,4.40,406800,4.40
2016-06-21,4.12,4.25,4.03,4.25,297000,4.25
2016-06-20,3.88,4.11,3.80,4.09,307000,4.09
2016-06-17,3.91,3.97,3.79,3.90,313800,3.90
2016-06-16,4.08,4.29,3.90,3.91,288100,3.91
2016-06-15,4.05,4.12,3.93,4.06,303800,4.06
2016-06-14,3.99,4.11,3.93,4.05,299000,4.05
2016-06-13,3.99,4.10,3.93,4.03,362800,4.03
2016-06-10,4.18,4.23,3.92,4.05,360200,4.05
