Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.84,4.96,4.84,4.92,87600,4.92
2016-10-06,4.73,4.93,4.73,4.87,5400,4.87
2016-10-05,4.87,4.97,4.83,4.85,8200,4.85
2016-10-04,4.82,4.95,4.80,4.89,8800,4.89
2016-10-03,4.70,4.87,4.70,4.83,122900,4.83
2016-09-30,4.70,4.76,4.62,4.71,134200,4.71
2016-09-29,4.70,4.73,4.68,4.68,7100,4.68
2016-09-28,4.64,4.73,4.63,4.68,13000,4.68
2016-09-27,4.62,4.76,4.59,4.70,16000,4.70
2016-09-26,4.72,4.78,4.72,4.75,5000,4.75
2016-09-23,4.76,4.82,4.75,4.77,6800,4.77
2016-09-22,4.80,4.83,4.75,4.75,11400,4.75
2016-09-21,4.80,4.80,4.75,4.75,9900,4.75
2016-09-20,4.76,4.84,4.75,4.75,3400,4.75
2016-09-19,4.87,4.90,4.76,4.76,13400,4.76
2016-09-16,4.81,4.90,4.71,4.90,59200,4.90
2016-09-15,4.90,4.90,4.83,4.85,9100,4.85
2016-09-14,4.90,4.98,4.77,4.83,36200,4.83
2016-09-13,4.90,4.96,4.86,4.90,19300,4.90
2016-09-12,4.90,4.96,4.82,4.88,43000,4.88
2016-09-09,4.90,4.95,4.71,4.90,24800,4.90
2016-09-08,4.89,4.94,4.85,4.90,23100,4.90
2016-09-07,4.85,4.98,4.83,4.91,33200,4.91
2016-09-06,4.85,4.90,4.81,4.85,113700,4.85
2016-09-02,4.85,4.91,4.65,4.78,18500,4.78
2016-09-01,4.82,4.88,4.80,4.80,48100,4.80
2016-08-31,4.94,4.94,4.78,4.82,7200,4.82
2016-08-30,4.80,4.85,4.79,4.82,23100,4.82
2016-08-29,4.82,4.91,4.80,4.82,7400,4.82
2016-08-26,4.94,4.97,4.84,4.87,9300,4.87
2016-08-25,4.92,4.92,4.76,4.80,19400,4.80
2016-08-24,4.98,4.98,4.87,4.89,7500,4.89
2016-08-23,4.97,4.98,4.91,4.98,253700,4.98
2016-08-22,4.95,4.98,4.89,4.93,4200,4.93
2016-08-19,4.96,4.98,4.88,4.97,5300,4.97
2016-08-18,4.98,4.99,4.90,4.91,5000,4.91
2016-08-17,4.83,5.23,4.83,4.99,60500,4.99
2016-08-16,4.78,4.89,4.76,4.84,466500,4.84
2016-08-15,4.88,4.89,4.74,4.79,17900,4.79
2016-08-12,4.77,4.94,4.75,4.85,44200,4.85
2016-08-11,4.78,4.79,4.73,4.76,4300,4.76
