Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.90,0.92,0.80,0.80,1511500,0.80
2016-10-06,0.98,0.99,0.92,0.92,952300,0.92
2016-10-05,1.02,1.02,0.98,0.99,497800,0.99
2016-10-04,1.02,1.03,0.98,1.00,757600,1.00
2016-10-03,1.00,1.04,0.96,1.03,1164900,1.03
2016-09-30,1.03,1.07,0.99,1.00,2221600,1.00
2016-09-29,1.10,1.13,1.00,1.01,3178600,1.01
2016-09-28,1.16,1.19,1.11,1.13,1382200,1.13
2016-09-27,1.39,1.42,1.13,1.19,5019300,1.19
2016-09-26,0.98,1.37,0.96,1.33,16348400,1.33
2016-09-23,2.93,2.98,2.72,2.73,1222000,2.73
2016-09-22,2.80,2.90,2.78,2.86,592900,2.86
2016-09-21,2.95,2.95,2.75,2.79,839300,2.79
2016-09-20,2.51,3.00,2.45,2.80,2353200,2.80
2016-09-19,2.70,2.76,2.45,2.49,563700,2.49
2016-09-16,2.30,2.57,2.28,2.54,508800,2.54
2016-09-15,2.32,2.38,2.30,2.32,109800,2.32
2016-09-14,2.41,2.51,1.91,2.33,677400,2.33
2016-09-13,2.52,2.53,2.40,2.42,243100,2.42
2016-09-12,2.41,2.67,2.38,2.56,180400,2.56
2016-09-09,2.59,2.65,2.47,2.48,172700,2.48
2016-09-08,2.38,2.70,2.36,2.58,314100,2.58
2016-09-07,2.36,2.40,2.31,2.36,153800,2.36
2016-09-06,2.25,2.34,2.25,2.34,122500,2.34
2016-09-02,2.35,2.35,2.20,2.27,113000,2.27
2016-09-01,2.39,2.39,2.30,2.32,84300,2.32
2016-08-31,2.40,2.43,2.33,2.39,92100,2.39
2016-08-30,2.40,2.50,2.30,2.36,75600,2.36
2016-08-29,2.44,2.45,2.38,2.41,108600,2.41
2016-08-26,2.37,2.43,2.36,2.43,67100,2.43
2016-08-25,2.39,2.44,2.30,2.36,86000,2.36
2016-08-24,2.39,2.44,2.21,2.37,466400,2.37
2016-08-23,2.45,2.47,2.36,2.40,139000,2.40
2016-08-22,2.47,2.51,2.44,2.45,51300,2.45
2016-08-19,2.53,2.57,2.36,2.48,160800,2.48
2016-08-18,2.53,2.60,2.48,2.53,125600,2.53
2016-08-17,2.60,2.60,2.45,2.51,298800,2.51
2016-08-16,2.65,2.69,2.56,2.60,111500,2.60
2016-08-15,2.55,2.72,2.55,2.65,178700,2.65
2016-08-12,2.54,2.58,2.52,2.54,143500,2.54
2016-08-11,2.53,2.59,2.50,2.55,101500,2.55
2016-08-10,2.50,2.57,2.50,2.51,82700,2.51
2016-08-09,2.60,2.63,2.49,2.51,137800,2.51
2016-08-08,2.60,2.72,2.60,2.61,116600,2.61
2016-08-05,2.64,2.65,2.61,2.62,65500,2.62
2016-08-04,2.70,2.71,2.64,2.65,301400,2.65
2016-08-03,2.68,2.74,2.65,2.70,69600,2.70
2016-08-02,2.70,2.75,2.65,2.69,108500,2.69
2016-08-01,2.75,2.75,2.66,2.69,87000,2.69
2016-07-29,2.73,2.73,2.66,2.70,54700,2.70
2016-07-28,2.72,2.75,2.64,2.71,79600,2.71
2016-07-27,2.68,2.72,2.63,2.71,48900,2.71
2016-07-26,2.75,2.75,2.66,2.68,118300,2.68
2016-07-25,2.64,2.77,2.64,2.70,224200,2.70
2016-07-22,2.60,2.72,2.54,2.64,320800,2.64
2016-07-21,2.40,2.58,2.40,2.55,270600,2.55
2016-07-20,2.26,2.45,2.23,2.37,240700,2.37
2016-07-19,2.27,2.29,2.15,2.22,61700,2.22
2016-07-18,2.31,2.31,2.22,2.24,101000,2.24
2016-07-15,2.20,2.27,2.08,2.23,266700,2.23
2016-07-14,2.23,2.25,2.10,2.18,226300,2.18
2016-07-13,2.26,2.26,2.12,2.20,232200,2.20
2016-07-12,2.25,2.28,2.14,2.14,144200,2.14
2016-07-11,2.25,2.26,2.24,2.25,125700,2.25
2016-07-08,2.19,2.25,2.19,2.24,16400,2.24
2016-07-07,2.21,2.25,2.19,2.21,13500,2.21
2016-07-06,2.26,2.28,2.11,2.23,97300,2.23
2016-07-05,2.14,2.26,2.14,2.25,50000,2.25
2016-07-01,2.35,2.39,2.15,2.17,366600,2.17
2016-06-30,2.12,2.25,2.09,2.19,51600,2.19
2016-06-29,2.06,2.10,2.06,2.09,32500,2.09
2016-06-28,1.98,2.07,1.98,2.06,16700,2.06
2016-06-27,2.02,2.03,1.97,1.99,63400,1.99
2016-06-24,2.00,2.06,1.95,2.03,39400,2.03
2016-06-23,2.09,2.10,2.04,2.07,29600,2.07
2016-06-22,2.03,2.09,2.01,2.05,34200,2.05
2016-06-21,2.07,2.10,2.04,2.07,16300,2.07
2016-06-20,2.06,2.13,2.06,2.08,28700,2.08
2016-06-17,2.08,2.10,2.01,2.03,98100,2.03
2016-06-16,2.09,2.13,2.05,2.09,105100,2.09
2016-06-15,2.08,2.10,2.08,2.08,55400,2.08
2016-06-14,2.14,2.15,2.06,2.09,70100,2.09
2016-06-13,2.18,2.20,2.08,2.13,37900,2.13
2016-06-10,2.18,2.22,2.17,2.19,103500,2.19
2016-06-09,2.23,2.26,2.15,2.21,174700,2.21
2016-06-08,2.27,2.27,2.24,2.24,59700,2.24
2016-06-07,2.26,2.31,2.23,2.26,73900,2.26
2016-06-06,2.29,2.32,2.18,2.28,58100,2.28
2016-06-03,2.32,2.33,2.30,2.32,31600,2.32
2016-06-02,2.32,2.35,2.31,2.32,163800,2.32
2016-06-01,2.35,2.35,2.30,2.32,42300,2.32
2016-05-31,2.35,2.35,2.30,2.33,30600,2.33
2016-05-27,2.30,2.35,2.27,2.32,27300,2.32
2016-05-26,2.31,2.34,2.27,2.30,45800,2.30
2016-05-25,2.29,2.34,2.22,2.29,43300,2.29
2016-05-24,2.30,2.33,2.28,2.30,25100,2.30
2016-05-23,2.23,2.32,2.23,2.28,43000,2.28
2016-05-20,2.22,2.30,2.10,2.23,104800,2.23
2016-05-19,2.34,2.38,2.17,2.24,187300,2.24
2016-05-18,2.36,2.37,2.30,2.34,47200,2.34
2016-05-17,2.39,2.44,2.37,2.39,15600,2.39
2016-05-16,2.38,2.46,2.35,2.43,40400,2.43
2016-05-13,2.36,2.44,2.35,2.39,25600,2.39
2016-05-12,2.47,2.48,2.35,2.38,44000,2.38
2016-05-11,2.40,2.50,2.40,2.45,31600,2.45
2016-05-10,2.43,2.48,2.36,2.42,38600,2.42
2016-05-09,2.40,2.49,2.34,2.43,46200,2.43
2016-05-06,2.33,2.42,2.30,2.40,49200,2.40
2016-05-05,2.36,2.40,2.29,2.36,286900,2.36
2016-05-04,2.44,2.48,2.32,2.32,84300,2.32
2016-05-03,2.45,2.50,2.41,2.48,34300,2.48
2016-05-02,2.45,2.49,2.41,2.45,60900,2.45
2016-04-29,2.49,2.54,2.35,2.42,77200,2.42
2016-04-28,2.50,2.55,2.48,2.49,95800,2.49
2016-04-27,2.58,2.62,2.49,2.54,185600,2.54
2016-04-26,2.57,2.60,2.47,2.54,101700,2.54
2016-04-25,2.46,2.63,2.46,2.55,292000,2.55
2016-04-22,2.35,2.50,2.34,2.45,251500,2.45
2016-04-21,2.23,2.40,2.21,2.33,1007300,2.33
2016-04-20,2.33,2.36,2.23,2.23,85700,2.23
2016-04-19,2.31,2.37,2.28,2.30,32500,2.30
2016-04-18,2.40,2.40,2.26,2.31,152900,2.31
2016-04-15,2.31,2.40,2.26,2.39,127000,2.39
2016-04-14,2.32,2.36,2.25,2.29,138300,2.29
2016-04-13,2.35,2.35,2.14,2.25,403200,2.25
2016-04-12,2.13,2.16,2.08,2.10,169400,2.10
2016-04-11,2.16,2.21,2.12,2.13,43300,2.13
2016-04-08,2.16,2.22,2.13,2.16,71700,2.16
2016-04-07,2.15,2.21,2.12,2.15,36600,2.15
2016-04-06,2.14,2.23,2.13,2.14,84400,2.14
2016-04-05,2.20,2.20,2.12,2.13,50800,2.13
2016-04-04,2.20,2.29,2.16,2.17,105700,2.17
2016-04-01,2.24,2.34,2.20,2.21,85200,2.21
2016-03-31,2.17,2.40,2.15,2.23,368300,2.23
2016-03-30,2.16,2.20,2.15,2.16,41800,2.16
2016-03-29,2.10,2.24,2.00,2.15,163300,2.15
2016-03-28,2.04,2.11,2.00,2.09,48700,2.09
2016-03-24,2.10,2.14,2.01,2.05,97800,2.05
2016-03-23,2.15,2.19,2.12,2.13,57400,2.13
2016-03-22,2.19,2.24,2.12,2.15,49500,2.15
2016-03-21,2.08,2.30,2.07,2.19,176500,2.19
2016-03-18,2.00,2.09,2.00,2.09,94100,2.09
2016-03-17,2.03,2.09,2.01,2.01,79800,2.01
2016-03-16,1.99,2.09,1.99,2.06,84800,2.06
2016-03-15,2.01,2.02,1.97,1.98,31600,1.98
2016-03-14,1.98,2.10,1.98,2.01,29700,2.01
2016-03-11,1.98,2.09,1.98,2.02,32500,2.02
2016-03-10,1.97,2.05,1.97,2.01,31900,2.01
2016-03-09,2.00,2.04,1.98,2.00,50200,2.00
2016-03-08,1.91,2.04,1.90,1.99,104400,1.99
2016-03-07,1.92,2.04,1.92,2.01,98400,2.01
2016-03-04,2.10,2.10,1.91,1.99,163100,1.99
2016-03-03,2.02,2.10,2.00,2.06,70200,2.06
2016-03-02,1.94,2.14,1.94,2.01,89600,2.01
2016-03-01,1.88,2.04,1.85,2.01,146500,2.01
2016-02-29,1.87,1.89,1.84,1.84,287400,1.84
2016-02-26,1.84,1.89,1.83,1.88,7200,1.88
2016-02-25,1.83,1.88,1.82,1.86,17300,1.86
2016-02-24,1.82,1.85,1.82,1.84,10900,1.84
2016-02-23,1.83,1.87,1.80,1.80,11500,1.80
2016-02-22,1.80,1.86,1.80,1.85,20100,1.85
2016-02-19,1.79,1.84,1.79,1.79,15800,1.79
2016-02-18,1.79,1.84,1.76,1.84,14700,1.84
2016-02-17,1.80,1.80,1.76,1.80,28100,1.80
2016-02-16,1.78,1.84,1.76,1.80,48300,1.80
2016-02-12,1.77,1.82,1.75,1.80,56700,1.80
2016-02-11,1.78,1.78,1.77,1.78,14600,1.78
2016-02-10,1.75,1.77,1.72,1.77,24800,1.77
2016-02-09,1.71,1.82,1.71,1.73,26200,1.73
2016-02-08,1.71,1.80,1.60,1.75,18500,1.75
2016-02-05,1.74,1.76,1.61,1.74,49100,1.74
2016-02-04,1.60,1.73,1.60,1.67,20800,1.67
2016-02-03,1.66,1.74,1.59,1.61,24500,1.61
2016-02-02,1.70,1.75,1.65,1.68,306500,1.68
2016-02-01,1.60,1.71,1.60,1.70,13800,1.70
2016-01-29,1.62,1.67,1.60,1.62,32300,1.62
2016-01-28,1.67,1.69,1.61,1.61,6100,1.61
2016-01-27,1.65,1.71,1.64,1.66,33200,1.66
2016-01-26,1.62,1.71,1.58,1.64,26500,1.64
2016-01-25,1.62,1.71,1.57,1.61,66800,1.61
2016-01-22,1.62,1.66,1.57,1.60,57500,1.60
2016-01-21,1.65,1.68,1.55,1.61,148800,1.61
2016-01-20,1.63,1.71,1.57,1.71,101900,1.71
2016-01-19,1.67,1.70,1.63,1.64,63800,1.64
2016-01-15,1.63,1.66,1.56,1.66,67000,1.66
2016-01-14,1.65,1.68,1.65,1.66,33100,1.66
2016-01-13,1.68,1.71,1.63,1.66,46900,1.66
2016-01-12,1.69,1.73,1.66,1.67,64800,1.67
2016-01-11,1.75,1.77,1.63,1.67,124400,1.67
2016-01-08,1.75,1.76,1.72,1.75,123300,1.75
2016-01-07,1.75,1.78,1.70,1.75,87500,1.75
2016-01-06,1.77,1.82,1.72,1.77,31000,1.77
2016-01-05,1.76,1.80,1.72,1.79,30400,1.79
2016-01-04,1.72,1.80,1.70,1.75,89000,1.75
2015-12-31,1.76,1.80,1.72,1.75,125900,1.75
2015-12-30,1.79,1.80,1.76,1.77,118000,1.77
2015-12-29,1.82,1.89,1.77,1.80,153800,1.80
2015-12-28,1.80,1.87,1.80,1.83,37900,1.83
2015-12-24,1.81,1.88,1.80,1.80,23500,1.80
2015-12-23,1.81,1.90,1.80,1.83,1095800,1.83
2015-12-22,1.91,1.92,1.83,1.83,31900,1.83
2015-12-21,1.86,1.92,1.83,1.90,121400,1.90
2015-12-18,1.85,1.91,1.84,1.84,125500,1.84
2015-12-17,1.87,1.90,1.83,1.87,95900,1.87
2015-12-16,1.86,1.92,1.86,1.90,129800,1.90
2015-12-15,1.85,1.89,1.82,1.86,65800,1.86
2015-12-14,1.86,1.88,1.81,1.84,119900,1.84
2015-12-11,1.85,1.90,1.84,1.86,87400,1.86
2015-12-10,1.88,1.90,1.86,1.88,49200,1.88
2015-12-09,1.89,1.92,1.86,1.88,60700,1.88
2015-12-08,1.89,1.93,1.83,1.92,68900,1.92
2015-12-07,1.90,1.94,1.88,1.92,43400,1.92
2015-12-04,1.93,1.94,1.90,1.90,67400,1.90
2015-12-03,1.92,1.95,1.90,1.93,41100,1.93
2015-12-02,1.95,1.95,1.90,1.91,65200,1.91
2015-12-01,2.00,2.00,1.90,1.97,64800,1.97
2015-11-30,1.93,2.00,1.91,2.00,133600,2.00
2015-11-27,1.93,1.99,1.93,1.95,8300,1.95
2015-11-25,1.95,1.95,1.87,1.94,104800,1.94
2015-11-24,1.92,1.94,1.90,1.92,49800,1.92
2015-11-23,1.95,1.98,1.92,1.92,54700,1.92
2015-11-20,1.94,2.00,1.94,1.95,52600,1.95
2015-11-19,1.92,1.96,1.91,1.95,110900,1.95
2015-11-18,1.93,1.97,1.90,1.92,52900,1.92
2015-11-17,1.90,1.93,1.90,1.93,24200,1.93
2015-11-16,1.90,1.95,1.88,1.90,78700,1.90
2015-11-13,1.87,1.94,1.80,1.90,116700,1.90
2015-11-12,1.83,1.91,1.83,1.90,97500,1.90
2015-11-11,1.84,1.88,1.83,1.86,37200,1.86
2015-11-10,1.85,1.88,1.84,1.86,80900,1.86
2015-11-09,1.89,1.90,1.85,1.86,16900,1.86
2015-11-06,1.85,1.89,1.82,1.86,41800,1.86
2015-11-05,1.89,1.90,1.84,1.85,112700,1.85
2015-11-04,1.86,1.90,1.84,1.89,56400,1.89
2015-11-03,1.86,1.90,1.83,1.85,88000,1.85
2015-11-02,1.83,1.89,1.80,1.87,129400,1.87
2015-10-30,1.85,1.87,1.82,1.85,72700,1.85
2015-10-29,1.87,1.87,1.83,1.86,113000,1.86
2015-10-28,1.87,1.92,1.82,1.88,27700,1.88
2015-10-27,1.81,1.87,1.78,1.87,97800,1.87
2015-10-26,1.85,1.89,1.78,1.83,117800,1.83
2015-10-23,1.82,1.88,1.77,1.87,71700,1.87
2015-10-22,1.85,1.89,1.75,1.83,166500,1.83
2015-10-21,1.90,1.90,1.85,1.88,43000,1.88
2015-10-20,1.87,1.90,1.85,1.90,32200,1.90
2015-10-19,1.90,1.91,1.86,1.87,57300,1.87
2015-10-16,1.99,2.02,1.93,1.93,124600,1.93
2015-10-15,1.97,2.00,1.95,2.00,102400,2.00
2015-10-14,1.99,1.99,1.93,1.96,43100,1.96
2015-10-13,2.00,2.00,1.96,1.99,26400,1.99
2015-10-12,1.98,1.99,1.93,1.96,38500,1.96
2015-10-09,1.98,2.00,1.96,1.99,24600,1.99
2015-10-08,1.99,2.00,1.94,1.97,61800,1.97
2015-10-07,1.93,2.00,1.89,2.00,103100,2.00
2015-10-06,1.88,1.96,1.86,1.94,699100,1.94
2015-10-05,1.84,1.89,1.83,1.89,77900,1.89
2015-10-02,1.80,1.85,1.79,1.83,45900,1.83
2015-10-01,1.82,1.85,1.78,1.82,57900,1.82
2015-09-30,1.82,1.83,1.73,1.83,168800,1.83
2015-09-29,1.84,1.87,1.77,1.78,85000,1.78
2015-09-28,1.89,1.90,1.83,1.85,117300,1.85
2015-09-25,1.97,1.98,1.89,1.91,98700,1.91
2015-09-24,1.90,1.98,1.90,1.96,92300,1.96
2015-09-23,1.99,1.99,1.90,1.93,117900,1.93
2015-09-22,1.91,1.99,1.90,1.98,98800,1.98
2015-09-21,2.00,2.06,1.93,1.95,95400,1.95
2015-09-18,1.96,2.02,1.93,1.99,139100,1.99
2015-09-17,1.91,2.00,1.91,1.98,139900,1.98
2015-09-16,1.84,1.94,1.84,1.90,79200,1.90
2015-09-15,1.84,1.87,1.82,1.85,35500,1.85
2015-09-14,1.83,1.90,1.80,1.84,75400,1.84
2015-09-11,1.85,1.86,1.82,1.84,22400,1.84
2015-09-10,1.83,1.95,1.81,1.85,45500,1.85
2015-09-09,1.86,1.93,1.81,1.84,90000,1.84
2015-09-08,1.85,1.95,1.83,1.86,27000,1.86
2015-09-04,1.82,1.90,1.82,1.84,33600,1.84
2015-09-03,1.83,1.87,1.82,1.84,39000,1.84
2015-09-02,1.81,1.87,1.80,1.81,41600,1.81
2015-09-01,1.78,1.85,1.77,1.79,91900,1.79
2015-08-31,1.82,1.93,1.80,1.84,95300,1.84
2015-08-28,1.74,1.90,1.74,1.86,205800,1.86
2015-08-27,1.78,1.84,1.75,1.75,118900,1.75
2015-08-26,1.79,1.79,1.71,1.77,56800,1.77
2015-08-25,1.80,1.82,1.64,1.76,193300,1.76
2015-08-24,1.74,1.82,1.55,1.76,189100,1.76
2015-08-21,1.85,1.86,1.77,1.79,83800,1.79
2015-08-20,1.85,1.97,1.82,1.86,148100,1.86
2015-08-19,1.81,1.93,1.78,1.88,89100,1.88
2015-08-18,1.80,1.85,1.77,1.82,68800,1.82
2015-08-17,1.77,1.82,1.75,1.80,40700,1.80
2015-08-14,1.76,1.79,1.75,1.78,42000,1.78
2015-08-13,1.76,1.79,1.72,1.75,67200,1.75
2015-08-12,1.80,1.80,1.74,1.75,80400,1.75
2015-08-11,1.81,1.87,1.76,1.80,77000,1.80
2015-08-10,1.77,1.83,1.75,1.81,83000,1.81
2015-08-07,1.78,1.81,1.74,1.76,98200,1.76
2015-08-06,1.86,1.86,1.53,1.80,268400,1.80
2015-08-05,1.86,1.91,1.83,1.87,147600,1.87
2015-08-04,1.90,1.90,1.85,1.86,58100,1.86
2015-08-03,1.88,1.94,1.86,1.89,145800,1.89
2015-07-31,1.74,1.92,1.74,1.89,238900,1.89
2015-07-30,1.75,1.77,1.72,1.76,163800,1.76
2015-07-29,1.72,1.88,1.72,1.75,205400,1.75
2015-07-28,1.69,1.75,1.69,1.75,116000,1.75
2015-07-27,1.72,1.77,1.67,1.74,116900,1.74
2015-07-24,1.71,1.76,1.71,1.72,116800,1.72
2015-07-23,1.74,1.74,1.70,1.72,121300,1.72
2015-07-22,1.71,1.73,1.67,1.72,100900,1.72
2015-07-21,1.72,1.74,1.68,1.71,98800,1.71
2015-07-20,1.74,1.74,1.67,1.71,308600,1.71
2015-07-17,1.69,1.83,1.69,1.73,319500,1.73
2015-07-16,1.70,1.74,1.70,1.72,80500,1.72
2015-07-15,1.76,1.79,1.69,1.70,183400,1.70
2015-07-14,1.71,1.83,1.68,1.75,176700,1.75
2015-07-13,1.72,1.73,1.69,1.70,160000,1.70
2015-07-10,1.72,1.75,1.67,1.70,167100,1.70
2015-07-09,1.69,1.73,1.68,1.70,113500,1.70
2015-07-08,1.70,1.70,1.65,1.69,184400,1.69
2015-07-07,1.70,1.73,1.67,1.71,299800,1.71
2015-07-06,1.69,1.72,1.64,1.70,212500,1.70
2015-07-02,1.77,1.77,1.64,1.69,201300,1.69
2015-07-01,1.73,1.82,1.72,1.75,320400,1.75
2015-06-30,1.65,1.74,1.60,1.73,413200,1.73
2015-06-29,1.78,1.78,1.64,1.65,698800,1.65
2015-06-26,1.82,1.86,1.76,1.77,5015000,1.77
2015-06-25,1.85,1.87,1.81,1.83,291500,1.83
2015-06-24,1.89,1.95,1.82,1.85,279400,1.85
2015-06-23,1.78,1.90,1.75,1.89,369700,1.89
2015-06-22,1.78,1.85,1.77,1.80,271100,1.80
2015-06-19,1.81,1.83,1.74,1.77,583000,1.77
2015-06-18,1.82,1.85,1.76,1.79,398100,1.79
2015-06-17,1.82,1.85,1.80,1.80,330000,1.80
2015-06-16,1.86,1.86,1.81,1.81,162700,1.81
2015-06-15,1.85,1.89,1.81,1.85,283100,1.85
2015-06-12,1.85,1.86,1.80,1.84,285700,1.84
2015-06-11,1.87,1.89,1.84,1.87,217900,1.87
2015-06-10,1.88,1.90,1.86,1.88,235500,1.88
2015-06-09,1.96,1.97,1.85,1.89,677300,1.89
2015-06-08,2.05,2.07,1.95,1.96,357000,1.96
2015-06-05,2.02,2.06,1.97,2.03,286500,2.03
2015-06-04,2.04,2.09,2.00,2.01,1208200,2.01
2015-06-03,1.96,2.11,1.96,2.06,830300,2.06
2015-06-02,1.97,2.05,1.93,1.94,596900,1.94
2015-06-01,2.01,2.04,1.94,1.95,370000,1.95
2015-05-29,2.02,2.07,1.95,1.97,417400,1.97
2015-05-28,1.97,2.06,1.94,2.02,591400,2.02
2015-05-27,1.99,2.03,1.91,1.97,884700,1.97
2015-05-26,2.06,2.11,1.95,2.00,987800,2.00
2015-05-22,2.01,2.13,2.00,2.04,565200,2.04
2015-05-21,2.09,2.10,2.03,2.03,799300,2.03
2015-05-20,2.19,2.25,2.04,2.11,1131500,2.11
2015-05-19,2.05,2.29,2.04,2.17,1375600,2.17
2015-05-18,2.18,2.27,2.06,2.08,1038600,2.08
2015-05-15,2.23,2.31,2.17,2.20,1154100,2.20
2015-05-14,2.47,2.47,2.20,2.23,4780400,2.23
2015-05-13,2.85,2.93,2.42,2.45,5465300,2.45
2015-05-12,2.50,3.65,2.44,2.62,21222600,2.62
2015-05-11,1.97,1.98,1.93,1.94,81000,1.94
2015-05-08,1.97,1.97,1.95,1.97,87700,1.97
2015-05-07,1.95,1.98,1.94,1.96,83500,1.96
2015-05-06,1.95,1.99,1.95,1.97,95800,1.97
2015-05-05,2.00,2.03,1.92,1.96,142600,1.96
2015-05-04,2.05,2.06,1.97,2.00,122700,2.00
2015-05-01,2.04,2.07,1.98,2.06,109500,2.06
2015-04-30,2.09,2.10,2.04,2.04,137300,2.04
2015-04-29,2.11,2.12,2.11,2.11,110700,2.11
2015-04-28,2.02,2.13,2.00,2.12,163600,2.12
2015-04-27,2.10,2.10,1.93,2.07,237400,2.07
2015-04-24,2.01,2.11,2.01,2.10,313900,2.10
2015-04-23,1.85,2.03,1.84,2.01,340300,2.01
2015-04-22,1.85,1.89,1.84,1.85,214300,1.85
2015-04-21,1.90,1.90,1.82,1.84,153400,1.84
2015-04-20,1.89,1.90,1.82,1.87,91700,1.87
2015-04-17,1.86,1.88,1.82,1.86,80900,1.86
2015-04-16,1.89,1.90,1.87,1.89,116100,1.89
2015-04-15,1.87,1.95,1.86,1.90,171800,1.90
2015-04-14,1.89,1.89,1.83,1.88,218600,1.88
2015-04-13,1.87,1.90,1.85,1.89,151900,1.89
2015-04-10,1.88,1.90,1.86,1.89,114800,1.89
2015-04-09,1.88,1.91,1.86,1.87,172900,1.87
2015-04-08,1.89,1.91,1.85,1.89,94700,1.89
2015-04-07,1.87,1.92,1.86,1.90,225900,1.90
2015-04-06,1.86,1.89,1.84,1.88,169500,1.88
2015-04-02,1.86,1.90,1.84,1.88,137100,1.88
2015-04-01,1.89,1.92,1.82,1.85,122200,1.85
2015-03-31,1.88,1.95,1.87,1.89,60200,1.89
2015-03-30,1.82,1.97,1.81,1.87,193800,1.87
2015-03-27,1.88,1.88,1.79,1.82,107700,1.82
2015-03-26,1.85,1.89,1.85,1.86,58000,1.86
2015-03-25,1.85,1.88,1.83,1.85,96900,1.85
2015-03-24,1.86,1.90,1.86,1.88,151700,1.88
2015-03-23,1.86,1.88,1.84,1.85,71000,1.85
2015-03-20,1.82,1.87,1.81,1.87,182800,1.87
2015-03-19,1.74,1.82,1.74,1.82,105200,1.82
2015-03-18,1.67,1.78,1.67,1.75,94500,1.75
2015-03-17,1.65,1.71,1.65,1.68,99600,1.68
2015-03-16,1.72,1.82,1.65,1.66,90500,1.66
2015-03-13,1.70,1.71,1.68,1.70,61000,1.70
2015-03-12,1.77,1.79,1.67,1.70,227400,1.70
2015-03-11,1.82,1.90,1.74,1.76,122200,1.76
2015-03-10,1.83,1.86,1.77,1.82,113400,1.82
2015-03-09,1.82,1.92,1.82,1.87,71000,1.87
2015-03-06,1.83,1.94,1.82,1.82,155900,1.82
2015-03-05,1.90,1.91,1.83,1.85,83200,1.85
2015-03-04,1.91,1.95,1.89,1.91,73300,1.91
2015-03-03,1.91,1.95,1.89,1.91,105800,1.91
2015-03-02,1.92,1.97,1.88,1.93,89400,1.93
2015-02-27,1.90,1.98,1.90,1.90,100100,1.90
2015-02-26,1.90,1.97,1.90,1.92,103600,1.92
2015-02-25,1.91,1.95,1.91,1.92,58200,1.92
2015-02-24,1.92,1.99,1.91,1.92,139700,1.92
2015-02-23,1.95,2.00,1.92,1.95,82600,1.95
2015-02-20,1.94,1.98,1.91,1.96,133200,1.96
2015-02-19,1.98,2.00,1.90,1.95,98200,1.95
2015-02-18,2.05,2.05,1.98,1.98,63800,1.98
2015-02-17,2.07,2.12,1.99,2.04,87300,2.04
2015-02-13,2.03,2.05,2.00,2.05,66200,2.05
2015-02-12,2.02,2.10,1.99,2.02,52500,2.02
2015-02-11,1.97,2.08,1.97,1.98,84600,1.98
2015-02-10,2.04,2.05,1.96,1.97,64700,1.97
2015-02-09,2.08,2.12,1.99,2.00,97300,2.00
2015-02-06,2.10,2.14,2.01,2.02,105900,2.02
2015-02-05,2.00,2.09,2.00,2.08,106200,2.08
2015-02-04,1.98,2.04,1.97,1.99,87300,1.99
2015-02-03,1.99,2.00,1.97,1.98,75000,1.98
2015-02-02,1.96,2.00,1.94,1.98,142000,1.98
2015-01-30,1.97,2.02,1.93,1.97,150100,1.97
2015-01-29,1.95,2.04,1.86,2.02,170500,2.02
2015-01-28,2.04,2.04,1.95,1.96,57100,1.96
2015-01-27,2.01,2.03,1.91,2.01,67000,2.01
2015-01-26,1.96,2.04,1.91,2.03,123400,2.03
2015-01-23,2.00,2.00,1.91,1.95,64300,1.95
2015-01-22,1.96,2.01,1.93,1.99,52500,1.99
2015-01-21,1.97,1.99,1.91,1.96,110500,1.96
2015-01-20,2.02,2.06,1.92,1.97,72200,1.97
2015-01-16,1.85,2.02,1.84,2.01,107900,2.01
2015-01-15,1.98,1.98,1.85,1.85,132700,1.85
2015-01-14,1.95,1.99,1.94,1.96,95600,1.96
2015-01-13,2.07,2.09,1.95,1.97,129200,1.97
2015-01-12,2.06,2.07,2.01,2.03,77000,2.03
