Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,22.75,23.01,22.52,22.91,121500,22.91
2016-10-06,23.030001,23.10,22.65,22.76,35900,22.76
2016-10-05,22.67,23.26,22.65,23.030001,48100,23.030001
2016-10-04,22.42,22.879999,22.219999,22.60,36000,22.60
2016-10-03,22.200001,22.639999,22.190001,22.35,16500,22.35
2016-09-30,22.23,22.559999,22.219999,22.379999,33400,22.379999
2016-09-29,22.209999,22.389999,22.08,22.27,29800,22.27
2016-09-28,22.57,22.66,22.02,22.370001,65100,22.370001
2016-09-27,22.379999,22.73,22.23,22.610001,27400,22.610001
2016-09-26,22.360001,22.440001,22.059999,22.32,25500,22.32
2016-09-23,22.459999,22.60,22.43,22.549999,26400,22.477999
2016-09-22,22.24,22.700001,22.09,22.620001,55400,22.547777
2016-09-21,21.530001,22.34,21.530001,22.27,53400,22.198895
2016-09-20,21.450001,21.639999,21.379999,21.59,49700,21.521065
2016-09-19,21.10,21.51,21.09,21.450001,81000,21.381513
2016-09-16,21.23,21.49,20.969999,21.040001,42100,20.972822
2016-09-15,20.90,22.00,20.879999,21.17,63500,21.102406
2016-09-14,21.299999,21.379999,20.809999,21.07,126400,21.002725
2016-09-13,21.76,21.889999,21.309999,21.450001,33100,21.381513
2016-09-12,21.719999,21.969999,21.620001,21.940001,18200,21.869948
2016-09-09,22.08,22.18,21.75,21.780001,25200,21.710459
2016-09-08,22.57,22.57,22.16,22.42,26500,22.348415
2016-09-07,22.629999,22.75,22.139999,22.66,31400,22.587649
2016-09-06,22.93,22.950001,22.540001,22.700001,33300,22.627522
2016-09-02,22.860001,23.10,22.860001,23.00,19800,22.926563
2016-09-01,23.049999,23.209999,22.68,22.93,32700,22.856787
2016-08-31,23.00,23.219999,22.24,23.17,52200,23.096021
2016-08-30,22.940001,23.190001,22.75,23.08,108300,23.006308
2016-08-29,22.25,23.09,22.25,23.02,81300,22.9465
2016-08-26,21.209999,23.25,21.209999,22.299999,74600,22.228798
2016-08-25,20.110001,20.879999,20.110001,20.60,43200,20.534227
2016-08-24,20.190001,20.549999,20.09,20.50,46000,20.434546
2016-08-23,20.02,20.219999,19.950001,20.110001,22100,20.045791
2016-08-22,19.74,19.98,19.60,19.91,66000,19.846429
2016-08-19,19.58,19.860001,19.57,19.700001,35700,19.637101
2016-08-18,19.75,19.75,19.50,19.559999,19900,19.497546
2016-08-17,19.66,19.83,19.66,19.77,8500,19.706877
2016-08-16,19.65,19.90,19.629999,19.82,25000,19.756716
2016-08-15,19.309999,19.799999,19.309999,19.620001,21000,19.557356
2016-08-12,19.440001,19.469999,19.26,19.440001,31700,19.377931
2016-08-11,19.440001,19.530001,19.290001,19.32,62100,19.258313
2016-08-10,19.77,19.780001,19.290001,19.43,27000,19.367962
2016-08-09,19.620001,19.860001,19.620001,19.709999,24200,19.647067
2016-08-08,19.639999,19.889999,19.639999,19.700001,13300,19.637101
2016-08-05,19.65,19.860001,19.60,19.709999,23300,19.647067
2016-08-04,19.40,19.65,19.24,19.51,18300,19.447707
2016-08-03,19.219999,19.549999,19.219999,19.41,26600,19.348026
2016-08-02,19.209999,19.50,19.10,19.280001,22700,19.218442
2016-08-01,18.99,19.33,18.879999,19.26,45900,19.198505
2016-07-29,19.200001,19.25,18.92,18.92,58300,18.85959
2016-07-28,19.190001,19.290001,19.129999,19.15,17900,19.088856
2016-07-27,19.299999,19.33,19.110001,19.26,22000,19.198505
2016-07-26,19.27,19.299999,19.07,19.24,14600,19.178568
2016-07-25,19.43,19.43,19.219999,19.280001,10900,19.218442
2016-07-22,19.32,19.559999,19.32,19.440001,8700,19.377931
2016-07-21,19.49,19.559999,19.35,19.370001,20900,19.308154
2016-07-20,19.389999,19.58,19.389999,19.450001,19900,19.387899
2016-07-19,19.43,19.629999,19.26,19.370001,21900,19.308154
2016-07-18,19.24,19.52,19.24,19.40,12100,19.338057
2016-07-15,19.57,19.58,19.27,19.370001,15200,19.308154
2016-07-14,19.450001,19.639999,19.389999,19.450001,23500,19.387899
2016-07-13,18.49,19.60,18.49,19.370001,30500,19.308154
2016-07-12,19.860001,19.959999,19.43,19.450001,50800,19.387899
2016-07-11,19.68,19.99,19.65,19.82,37900,19.756716
2016-07-08,19.16,19.700001,19.00,19.65,34200,19.587259
2016-07-07,19.290001,19.299999,18.99,19.200001,25200,19.138697
2016-07-06,19.16,19.469999,19.059999,19.27,17300,19.208473
2016-07-05,19.219999,19.540001,19.18,19.33,24900,19.268281
2016-07-01,19.209999,19.690001,19.209999,19.440001,45300,19.377931
2016-06-30,19.040001,19.450001,19.040001,19.27,32900,19.208473
2016-06-29,19.59,19.639999,18.870001,19.08,53500,19.019079
2016-06-28,19.82,19.91,19.25,19.51,316400,19.447707
2016-06-27,19.299999,19.540001,19.040001,19.530001,74000,19.467643
2016-06-24,19.07,19.67,19.07,19.530001,180600,19.467643
2016-06-23,19.450001,19.99,19.43,19.879999,46600,19.744754
2016-06-22,18.780001,19.52,18.780001,19.209999,58000,19.079312
2016-06-21,18.35,18.91,18.35,18.85,49500,18.721762
2016-06-20,19.040001,19.23,18.41,18.58,25800,18.453598
2016-06-17,19.00,19.25,18.809999,18.889999,47400,18.761489
2016-06-16,18.67,19.00,18.35,18.98,19000,18.850877
2016-06-15,19.049999,19.27,18.76,18.809999,19400,18.682033
2016-06-14,19.01,19.209999,18.950001,19.120001,22300,18.989926
2016-06-13,19.379999,19.469999,19.09,19.15,21700,19.01972
2016-06-10,19.76,19.76,19.379999,19.450001,12500,19.317681
2016-06-09,20.08,20.219999,19.870001,19.98,21500,19.844074
2016-06-08,19.83,20.33,19.690001,20.08,60800,19.943394
2016-06-07,19.50,19.719999,19.42,19.66,48100,19.526251
2016-06-06,20.530001,20.530001,19.370001,19.41,20400,19.277952
2016-06-03,19.15,19.41,19.139999,19.379999,29300,19.248155
2016-06-02,18.92,19.15,18.65,19.15,15800,19.01972
2016-06-01,18.709999,19.00,18.700001,18.90,22700,18.771421
2016-05-31,19.059999,20.00,18.709999,18.790001,23900,18.662171
2016-05-27,19.059999,19.09,18.799999,19.09,18700,18.960129
2016-05-26,19.15,19.40,19.01,19.040001,21400,18.91047
2016-05-25,19.610001,19.700001,19.18,19.23,22900,19.099176
2016-05-24,19.33,19.77,19.32,19.57,28600,19.436863
2016-05-23,19.200001,19.450001,19.059999,19.15,33500,19.01972
2016-05-20,18.540001,19.34,18.540001,19.200001,44300,19.069381
2016-05-19,19.16,19.469999,19.02,19.10,31200,18.970061
2016-05-18,19.01,19.389999,18.93,19.16,26400,19.029653
