Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,18.790001,18.82,18.65,18.73,59400,18.73
2016-10-06,18.75,18.84,18.67,18.719999,63700,18.719999
2016-10-05,18.85,18.93,18.77,18.77,92100,18.77
2016-10-04,18.889999,18.93,18.719999,18.73,74600,18.73
2016-10-03,18.860001,18.940001,18.799999,18.92,81200,18.92
2016-09-30,18.790001,18.93,18.719999,18.92,78100,18.92
2016-09-29,18.77,18.790001,18.60,18.700001,95600,18.700001
2016-09-28,18.66,18.809999,18.65,18.799999,70500,18.799999
2016-09-27,18.51,18.719999,18.51,18.709999,59100,18.709999
2016-09-26,18.610001,18.610001,18.49,18.49,51300,18.49
2016-09-23,18.65,18.76,18.629999,18.66,52100,18.66
2016-09-22,18.700001,18.809999,18.67,18.73,66300,18.73
2016-09-21,18.50,18.690001,18.49,18.690001,67800,18.690001
2016-09-20,18.50,18.549999,18.40,18.50,76200,18.50
2016-09-19,18.540001,18.60,18.389999,18.459999,100900,18.459999
2016-09-16,18.52,18.52,18.360001,18.51,60700,18.51
2016-09-15,18.299999,18.50,18.24,18.49,49600,18.49
2016-09-14,18.129999,18.309999,18.129999,18.25,79400,18.25
2016-09-13,18.299999,18.34,18.049999,18.120001,98300,18.120001
2016-09-12,18.389999,18.67,18.370001,18.629999,103600,18.279999
2016-09-09,18.709999,18.860001,18.459999,18.469999,113900,18.123005
2016-09-08,19.00,19.030001,18.91,18.940001,87600,18.584177
2016-09-07,18.99,19.049999,18.92,19.049999,70000,18.692109
2016-09-06,18.98,18.98,18.85,18.959999,63100,18.603799
2016-09-02,18.82,18.92,18.799999,18.91,87100,18.554739
2016-09-01,18.76,18.84,18.719999,18.790001,41800,18.436995
2016-08-31,18.809999,18.82,18.75,18.790001,56500,18.436995
2016-08-30,18.83,18.84,18.74,18.809999,80500,18.456618
2016-08-29,18.75,18.85,18.73,18.84,58500,18.486055
2016-08-26,18.700001,18.809999,18.639999,18.73,57900,18.378121
2016-08-25,18.809999,18.809999,18.610001,18.75,69100,18.397745
2016-08-24,18.709999,18.790001,18.68,18.709999,53100,18.358496
2016-08-23,18.83,18.90,18.74,18.76,80400,18.407558
2016-08-22,18.780001,18.860001,18.690001,18.73,79000,18.378121
2016-08-19,18.799999,18.82,18.690001,18.799999,139600,18.446805
2016-08-18,18.76,18.83,18.60,18.799999,51900,18.446805
2016-08-17,18.73,18.77,18.65,18.74,68300,18.387933
2016-08-16,18.719999,18.76,18.65,18.76,58900,18.407558
