Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,10.71,10.97,10.65,10.93,397600,10.93
2016-10-06,11.20,11.28,10.61,10.75,465500,10.75
2016-10-05,11.26,11.48,11.18,11.39,224900,11.39
2016-10-04,11.21,11.33,11.15,11.21,187600,11.21
2016-10-03,11.31,11.32,11.17,11.21,198800,11.21
2016-09-30,11.26,11.34,11.18,11.32,279300,11.32
2016-09-29,11.33,11.33,11.22,11.25,177900,11.25
2016-09-28,11.26,11.40,11.23,11.35,216000,11.35
2016-09-27,11.25,11.47,11.23,11.27,331600,11.27
2016-09-26,11.48,11.48,11.25,11.25,261300,11.25
2016-09-23,11.45,11.51,11.38,11.49,184400,11.49
2016-09-22,11.38,11.49,11.34,11.49,198600,11.49
2016-09-21,11.20,11.31,11.13,11.30,287200,11.30
2016-09-20,11.33,11.44,11.14,11.14,335900,11.14
2016-09-19,11.49,11.62,11.30,11.30,216400,11.30
2016-09-16,11.42,11.51,11.32,11.48,450200,11.48
2016-09-15,11.31,11.45,11.26,11.41,281300,11.41
2016-09-14,11.42,11.44,11.26,11.30,231900,11.30
2016-09-13,11.60,11.62,11.34,11.40,285000,11.40
2016-09-12,11.67,11.73,11.48,11.70,251400,11.70
2016-09-09,12.00,12.04,11.71,11.71,262500,11.71
2016-09-08,11.96,12.06,11.89,12.06,197700,12.06
2016-09-07,11.82,12.07,11.79,11.98,451700,11.98
2016-09-06,11.90,11.98,11.71,11.84,317700,11.84
2016-09-02,11.85,11.98,11.74,11.86,231100,11.86
2016-09-01,11.79,11.83,11.58,11.78,318300,11.78
2016-08-31,11.85,11.91,11.69,11.77,254100,11.77
2016-08-30,11.78,11.96,11.77,11.87,154100,11.87
2016-08-29,11.76,11.91,11.68,11.80,142800,11.80
2016-08-26,11.70,12.06,11.64,11.76,244600,11.76
2016-08-25,11.62,11.83,11.56,11.71,237100,11.71
2016-08-24,11.73,11.93,11.60,11.62,248200,11.62
2016-08-23,11.75,12.00,11.71,11.78,209800,11.78
2016-08-22,11.50,11.74,11.48,11.73,250600,11.73
2016-08-19,11.52,11.65,11.44,11.51,297300,11.51
2016-08-18,11.95,11.95,11.39,11.59,712400,11.59
2016-08-17,12.17,12.25,11.94,11.96,665300,11.96
2016-08-16,12.27,12.29,12.03,12.20,446700,12.20
2016-08-15,12.23,12.33,12.20,12.27,342800,12.27
2016-08-12,12.26,12.32,12.21,12.26,231400,12.26
2016-08-11,12.25,12.37,12.23,12.29,268800,12.29
2016-08-10,12.32,12.32,12.15,12.24,239400,12.24
2016-08-09,12.23,12.36,12.17,12.30,216600,12.30
2016-08-08,12.28,12.30,11.81,12.23,311600,12.23
2016-08-05,12.36,12.49,12.24,12.28,379600,12.28
2016-08-04,12.47,12.48,12.12,12.30,311300,12.30
2016-08-03,11.97,12.55,11.88,12.47,461400,12.47
2016-08-02,12.14,12.16,11.92,11.99,487500,11.99
2016-08-01,12.25,12.32,12.08,12.20,419200,12.20
2016-07-29,11.67,12.29,11.60,12.28,1258700,12.28
2016-07-28,12.85,12.94,12.73,12.80,348100,12.80
2016-07-27,12.99,13.04,12.80,12.91,309000,12.91
2016-07-26,12.73,12.96,12.68,12.96,321300,12.96
2016-07-25,12.50,12.74,12.44,12.72,388900,12.72
2016-07-22,12.48,12.63,12.40,12.55,162600,12.55
2016-07-21,12.68,12.85,12.67,12.70,282300,12.70
2016-07-20,12.39,12.69,12.39,12.63,182400,12.63
2016-07-19,12.60,12.68,12.35,12.39,303600,12.39
2016-07-18,12.60,12.73,12.54,12.62,312500,12.62
2016-07-15,12.59,12.79,12.04,12.60,376900,12.60
2016-07-14,12.88,12.95,12.49,12.50,380800,12.50
2016-07-13,12.90,12.99,12.76,12.82,280000,12.82
2016-07-12,12.60,12.90,12.53,12.81,331100,12.81
2016-07-11,12.45,12.64,12.42,12.60,297900,12.60
2016-07-08,12.10,12.49,12.08,12.44,419500,12.44
2016-07-07,12.09,12.15,11.99,12.06,208600,12.06
2016-07-06,12.01,12.21,11.88,12.11,240900,12.11
2016-07-05,12.13,12.19,11.92,12.00,288600,12.00
2016-07-01,11.91,12.27,11.91,12.16,370500,12.16
2016-06-30,11.56,11.92,11.48,11.91,556900,11.91
2016-06-29,11.45,11.89,11.45,11.56,402800,11.56
2016-06-28,11.18,11.51,11.16,11.41,460200,11.41
2016-06-27,11.64,11.67,11.10,11.14,320800,11.14
2016-06-24,11.74,11.88,11.57,11.71,515700,11.71
2016-06-23,11.81,12.08,11.80,12.08,321700,12.08
2016-06-22,11.93,11.96,11.65,11.74,331100,11.74
2016-06-21,12.02,12.04,11.76,11.93,344900,11.93
2016-06-20,12.01,12.13,11.96,11.96,408100,11.96
2016-06-17,12.22,12.22,11.85,11.92,506100,11.92
2016-06-16,12.17,12.25,11.90,12.22,326500,12.22
2016-06-15,12.29,12.47,12.18,12.22,610200,12.22
2016-06-14,12.22,12.26,11.98,12.02,589700,12.02
2016-06-13,12.38,12.59,12.26,12.27,417800,12.27
