Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.05,1.09,1.04,1.09,10800,1.09
2016-10-06,1.10,1.10,1.04,1.04,58000,1.04
2016-10-05,1.04,1.07,1.04,1.04,35300,1.04
2016-10-04,1.07,1.09,1.04,1.07,18000,1.07
2016-10-03,1.08,1.10,1.05,1.10,49400,1.10
2016-09-30,1.13,1.15,1.08,1.10,63100,1.10
2016-09-29,1.17,1.17,1.12,1.15,52000,1.15
2016-09-28,1.21,1.21,1.16,1.19,43100,1.19
2016-09-27,1.16,1.17,1.12,1.17,34600,1.17
2016-09-26,1.16,1.16,1.12,1.15,67100,1.15
2016-09-23,1.20,1.20,1.14,1.16,30700,1.16
2016-09-22,1.19,1.24,1.15,1.17,68800,1.17
2016-09-21,1.13,1.20,1.10,1.19,210000,1.19
2016-09-20,1.15,1.16,1.12,1.14,30700,1.14
2016-09-19,1.15,1.22,1.10,1.15,71600,1.15
2016-09-16,1.10,1.17,1.08,1.12,123000,1.12
2016-09-15,1.25,1.28,1.04,1.13,847400,1.13
2016-09-14,0.79,1.08,0.79,0.93,448600,0.93
2016-09-13,0.57,0.57,0.53,0.55,32500,1.10
2016-09-12,0.61,0.61,0.56,0.57,35200,1.14
2016-09-09,0.56,0.57,0.50,0.55,72000,1.10
2016-09-08,0.57,0.57,0.56,0.57,23200,1.14
2016-09-07,0.59,0.59,0.57,0.57,40500,1.14
2016-09-06,0.62,0.62,0.57,0.58,57800,1.16
2016-09-02,0.57,0.60,0.57,0.59,17100,1.18
2016-09-01,0.60,0.60,0.57,0.59,11500,1.18
2016-08-31,0.57,0.59,0.57,0.59,15400,1.18
2016-08-30,0.60,0.62,0.57,0.59,56300,1.18
2016-08-29,0.57,0.62,0.57,0.58,46800,1.16
2016-08-26,0.60,0.61,0.56,0.57,88000,1.14
2016-08-25,0.61,0.63,0.58,0.59,54300,1.18
2016-08-24,0.61,0.62,0.58,0.60,141700,1.20
2016-08-23,0.75,0.79,0.57,0.60,1430900,1.20
2016-08-22,0.60,0.60,0.57,0.57,41800,1.14
2016-08-19,0.59,0.60,0.59,0.59,10500,1.18
2016-08-18,0.58,0.59,0.57,0.59,18800,1.18
2016-08-17,0.56,0.59,0.55,0.57,7900,1.14
2016-08-16,0.55,0.60,0.55,0.58,15000,1.16
2016-08-15,0.56,0.58,0.56,0.56,24200,1.12
2016-08-12,0.54,0.55,0.53,0.55,11800,1.10
2016-08-11,0.55,0.57,0.52,0.55,48000,1.10
2016-08-10,0.58,0.60,0.57,0.57,46300,1.14
2016-08-09,0.60,0.60,0.57,0.57,27400,1.14
2016-08-08,0.60,0.60,0.57,0.58,116000,1.16
2016-08-05,0.65,0.66,0.61,0.64,12900,1.28
2016-08-04,0.66,0.66,0.57,0.64,52300,1.28
2016-08-03,0.60,0.63,0.59,0.60,42300,1.20
2016-08-02,0.63,0.63,0.59,0.59,24400,1.18
2016-08-01,0.61,0.64,0.61,0.62,29000,1.24
2016-07-29,0.61,0.64,0.60,0.61,17800,1.22
2016-07-28,0.78,0.78,0.58,0.59,209600,1.18
2016-07-27,0.59,0.65,0.59,0.60,19300,1.20
2016-07-26,0.65,0.65,0.59,0.59,26800,1.18
2016-07-25,0.68,0.68,0.59,0.60,157400,1.20
2016-07-22,0.74,0.74,0.69,0.70,37800,1.40
2016-07-21,0.75,0.75,0.68,0.74,60300,1.48
2016-07-20,0.74,0.77,0.70,0.73,40600,1.46
2016-07-19,0.72,0.74,0.72,0.72,33000,1.44
