Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,2.78,2.87,2.70,2.83,76600,2.83
2016-10-06,3.11,3.11,2.75,2.78,158400,2.78
2016-10-05,3.01,3.15,3.00,3.09,72300,3.09
2016-10-04,3.00,3.03,3.00,3.02,46000,3.02
2016-10-03,3.06,3.08,3.00,3.02,32800,3.02
2016-09-30,3.01,3.08,3.01,3.05,11200,3.05
2016-09-29,3.04,3.09,3.02,3.02,41000,3.02
2016-09-28,3.17,3.18,3.02,3.05,67200,3.05
2016-09-27,3.03,3.19,3.03,3.15,68800,3.15
2016-09-26,3.12,3.28,3.01,3.09,122100,3.09
2016-09-23,3.66,3.66,3.02,3.09,546900,3.09
2016-09-22,3.67,3.93,3.67,3.84,12400,3.84
2016-09-21,3.72,3.88,3.72,3.82,53200,3.82
2016-09-20,3.73,3.81,3.63,3.67,24800,3.67
2016-09-19,3.77,3.88,3.63,3.70,51000,3.70
2016-09-16,3.64,3.86,3.60,3.86,32200,3.86
2016-09-15,3.63,3.80,3.61,3.63,23200,3.63
2016-09-14,3.87,3.87,3.60,3.63,56200,3.63
2016-09-13,3.75,4.13,3.63,3.64,116900,3.64
2016-09-12,3.80,3.90,3.70,3.70,24400,3.70
2016-09-09,3.93,3.98,3.77,3.86,24000,3.86
2016-09-08,3.87,3.94,3.80,3.92,34700,3.92
2016-09-07,3.82,3.96,3.73,3.88,22800,3.88
2016-09-06,3.88,3.99,3.77,3.84,45400,3.84
2016-09-02,3.82,3.92,3.82,3.88,4400,3.88
2016-09-01,3.90,3.92,3.80,3.85,16100,3.85
2016-08-31,3.90,4.15,3.83,3.84,27800,3.84
2016-08-30,4.10,4.10,3.88,3.93,32500,3.93
2016-08-29,3.98,4.12,3.92,3.99,45300,3.99
2016-08-26,4.04,4.18,3.94,3.99,24700,3.99
2016-08-25,3.88,4.20,3.88,4.08,43600,4.08
2016-08-24,4.24,4.25,3.94,3.96,62500,3.96
2016-08-23,4.30,4.44,4.10,4.16,94000,4.16
2016-08-22,4.41,4.60,4.23,4.29,60300,4.29
2016-08-19,4.32,4.75,4.30,4.37,68100,4.37
2016-08-18,4.10,4.35,4.05,4.30,78400,4.30
2016-08-17,3.97,4.12,3.81,4.09,119800,4.09
2016-08-16,3.86,3.94,3.67,3.86,12600,3.86
2016-08-15,3.80,3.98,3.65,3.81,37900,3.81
2016-08-12,3.80,3.88,3.66,3.70,33400,3.70
2016-08-11,3.78,3.96,3.63,3.75,27500,3.75
2016-08-10,3.77,3.88,3.52,3.72,18900,3.72
2016-08-09,3.89,3.98,3.74,3.81,27700,3.81
2016-08-08,4.02,4.04,3.81,3.94,30200,3.94
2016-08-05,4.10,4.22,3.97,4.05,17800,4.05
2016-08-04,3.87,4.15,3.87,4.05,144100,4.05
2016-08-03,3.71,3.90,3.68,3.88,79400,3.88
2016-08-02,3.55,3.69,3.51,3.67,52100,3.67
2016-08-01,3.49,3.60,3.40,3.58,73600,3.58
2016-07-29,3.66,3.71,3.40,3.55,51700,3.55
2016-07-28,3.71,3.80,3.58,3.62,16700,3.62
2016-07-27,3.85,3.94,3.65,3.76,43700,3.76
2016-07-26,3.80,3.86,3.76,3.82,8000,3.82
2016-07-25,3.72,3.85,3.65,3.84,40600,3.84
2016-07-22,3.71,3.81,3.70,3.77,18300,3.77
2016-07-21,3.91,3.96,3.65,3.72,72100,3.72
2016-07-20,3.93,3.99,3.89,3.94,33600,3.94
2016-07-19,4.01,4.01,3.92,3.96,8200,3.96
2016-07-18,3.99,4.03,3.96,4.00,32100,4.00
2016-07-15,3.90,3.98,3.89,3.96,16300,3.96
2016-07-14,3.86,3.90,3.84,3.87,36400,3.87
2016-07-13,3.93,3.93,3.82,3.86,18300,3.86
2016-07-12,3.91,3.94,3.83,3.88,15200,3.88
2016-07-11,3.94,3.94,3.76,3.90,27900,3.90
2016-07-08,3.92,3.99,3.79,3.91,47000,3.91
2016-07-07,3.92,3.95,3.75,3.85,63300,3.85
2016-07-06,3.91,3.95,3.80,3.88,35800,3.88
2016-07-05,4.05,4.05,3.83,3.93,41600,3.93
2016-07-01,4.05,4.32,3.95,4.03,121700,4.03
2016-06-30,3.87,4.13,3.87,4.00,104600,4.00
2016-06-29,3.97,4.20,3.63,3.99,92700,3.99
2016-06-28,3.69,4.00,3.63,3.87,37100,3.87
2016-06-27,3.86,3.95,3.50,3.62,158100,3.62
2016-06-24,3.91,3.98,3.88,3.95,37600,3.95
2016-06-23,4.02,4.02,3.96,3.98,12000,3.98
2016-06-22,4.03,4.05,3.91,3.99,38500,3.99
2016-06-21,4.08,4.17,3.88,4.07,72300,4.07
2016-06-20,4.27,4.31,4.00,4.06,39800,4.06
2016-06-17,4.12,4.49,3.98,4.17,67500,4.17
2016-06-16,4.15,4.24,4.05,4.08,29400,4.08
2016-06-15,4.15,4.36,4.09,4.15,18300,4.15
2016-06-14,4.25,4.60,4.17,4.19,75800,4.19
2016-06-13,4.53,4.57,4.30,4.30,30700,4.30
2016-06-10,4.65,4.78,4.45,4.58,51100,4.58
2016-06-09,4.59,4.95,4.59,4.72,70800,4.72
2016-06-08,4.38,4.65,4.36,4.65,218100,4.65
2016-06-07,4.15,4.40,4.08,4.33,78500,4.33
2016-06-06,4.28,4.28,4.11,4.12,42600,4.12
2016-06-03,4.31,4.40,4.20,4.26,37800,4.26
2016-06-02,4.30,4.40,4.17,4.38,55300,4.38
2016-06-01,4.08,4.33,4.05,4.31,83500,4.31
2016-05-31,4.19,4.19,4.05,4.13,53300,4.13
2016-05-27,4.11,4.19,4.11,4.14,30500,4.14
2016-05-26,4.20,4.20,4.11,4.15,53800,4.15
2016-05-25,4.17,4.25,4.14,4.18,55500,4.18
2016-05-24,4.27,4.46,4.12,4.19,65400,4.19
2016-05-23,4.20,4.35,4.11,4.27,70100,4.27
2016-05-20,4.20,4.32,4.15,4.19,119800,4.19
2016-05-19,4.46,4.55,4.15,4.15,148200,4.15
2016-05-18,4.68,4.74,4.50,4.53,124900,4.53
2016-05-17,4.68,4.86,4.59,4.73,65300,4.73
2016-05-16,4.75,4.75,4.59,4.73,32300,4.73
2016-05-13,4.74,4.82,4.65,4.75,55200,4.75
2016-05-12,4.76,4.94,4.65,4.78,133500,4.78
2016-05-11,4.97,4.98,4.64,4.88,179800,4.88
2016-05-10,5.04,5.20,4.81,5.08,55200,5.08
2016-05-09,4.76,5.05,4.76,5.02,35800,5.02
2016-05-06,4.75,4.85,4.75,4.76,41000,4.76
2016-05-05,4.98,4.98,4.75,4.78,32700,4.78
2016-05-04,5.00,5.03,4.83,4.93,33800,4.93
2016-05-03,4.95,5.04,4.95,4.98,33700,4.98
2016-05-02,5.11,5.11,4.90,4.99,67300,4.99
2016-04-29,5.29,5.29,4.93,4.99,52900,4.99
2016-04-28,5.39,5.39,5.23,5.26,21100,5.26
2016-04-27,5.43,5.44,5.33,5.38,10100,5.38
2016-04-26,5.35,5.44,5.15,5.42,41600,5.42
2016-04-25,5.36,5.48,5.29,5.35,19800,5.35
2016-04-22,5.35,5.48,5.30,5.34,43100,5.34
2016-04-21,5.20,5.48,5.16,5.40,45900,5.40
2016-04-20,5.23,5.26,5.14,5.16,48200,5.16
2016-04-19,5.25,5.33,5.12,5.25,49900,5.25
2016-04-18,5.32,5.33,5.10,5.24,36700,5.24
2016-04-15,5.55,5.55,5.22,5.30,71400,5.30
2016-04-14,5.29,5.57,5.20,5.52,45500,5.52
2016-04-13,5.04,5.25,5.04,5.25,53200,5.25
2016-04-12,5.00,5.09,4.95,5.03,33300,5.03
2016-04-11,5.00,5.12,4.94,5.01,42800,5.01
2016-04-08,5.07,5.10,4.88,5.02,16400,5.02
2016-04-07,5.02,5.14,4.88,5.04,28300,5.04
2016-04-06,5.06,5.19,5.00,5.05,16400,5.05
2016-04-05,5.12,5.21,4.92,5.06,29500,5.06
2016-04-04,5.29,5.48,5.01,5.11,91500,5.11
2016-04-01,5.26,5.44,5.25,5.34,26000,5.34
2016-03-31,5.32,5.45,5.26,5.32,27400,5.32
2016-03-30,5.28,5.45,5.23,5.34,59700,5.34
2016-03-29,4.94,5.22,4.75,5.17,41200,5.17
2016-03-28,5.01,5.08,4.79,4.91,87300,4.91
2016-03-24,5.09,5.09,4.90,4.96,47200,4.96
2016-03-23,5.29,5.29,4.98,5.15,42700,5.15
2016-03-22,5.39,5.51,5.19,5.30,53600,5.30
2016-03-21,5.63,5.73,5.36,5.43,37800,5.43
2016-03-18,5.55,5.60,5.52,5.59,22500,5.59
2016-03-17,5.60,5.70,5.51,5.55,36500,5.55
2016-03-16,5.58,5.68,5.48,5.60,58600,5.60
2016-03-15,5.72,5.85,5.52,5.55,52100,5.55
2016-03-14,5.40,5.86,5.39,5.70,112800,5.70
2016-03-11,5.24,5.46,5.24,5.39,35300,5.39
2016-03-10,5.26,5.42,5.20,5.20,44600,5.20
2016-03-09,5.22,5.29,5.03,5.21,38200,5.21
2016-03-08,5.19,5.42,5.17,5.20,57600,5.20
2016-03-07,5.40,5.46,5.23,5.28,72600,5.28
2016-03-04,5.40,5.47,5.35,5.39,26800,5.39
2016-03-03,5.42,5.50,5.28,5.35,71500,5.35
2016-03-02,5.12,5.48,5.12,5.20,70700,5.20
2016-03-01,5.28,5.49,5.07,5.15,63200,5.15
2016-02-29,4.96,5.49,4.87,5.20,70300,5.20
2016-02-26,4.96,5.04,4.90,4.96,49600,4.96
2016-02-25,5.07,5.14,4.90,4.93,40900,4.93
2016-02-24,4.98,5.02,4.86,5.01,53800,5.01
2016-02-23,4.97,5.00,4.87,4.98,23400,4.98
2016-02-22,4.95,4.95,4.83,4.94,55300,4.94
2016-02-19,4.96,4.96,4.70,4.84,46900,4.84
2016-02-18,5.00,5.00,4.78,4.95,39000,4.95
2016-02-17,4.93,5.00,4.88,4.99,70300,4.99
2016-02-16,5.00,5.05,4.58,4.98,102400,4.98
2016-02-12,4.80,5.09,4.63,5.06,113700,5.06
2016-02-11,5.20,5.20,4.50,4.77,290100,4.77
2016-02-10,5.38,5.50,5.12,5.39,70600,5.39
2016-02-09,5.38,5.45,5.07,5.28,111400,5.28
2016-02-08,5.78,5.78,5.37,5.48,38300,5.48
2016-02-05,5.79,5.87,5.67,5.79,27400,5.79
2016-02-04,5.89,5.89,5.76,5.76,19800,5.76
2016-02-03,5.98,5.98,5.55,5.85,46800,5.85
2016-02-02,6.10,6.10,5.82,5.87,49000,5.87
2016-02-01,5.94,6.15,5.76,6.00,95800,6.00
2016-01-29,6.06,6.24,5.80,6.04,73300,6.04
2016-01-28,6.16,6.27,5.90,5.99,73600,5.99
2016-01-27,6.05,6.22,5.76,6.02,68500,6.02
2016-01-26,5.73,6.04,5.51,6.02,61700,6.02
2016-01-25,5.86,5.99,5.64,5.73,25800,5.73
2016-01-22,5.71,5.99,5.63,5.84,96300,5.84
2016-01-21,5.50,5.74,5.37,5.57,59000,5.57
2016-01-20,5.14,5.51,4.80,5.42,105000,5.42
2016-01-19,5.59,5.59,5.16,5.26,98500,5.26
2016-01-15,5.74,5.75,5.16,5.31,184000,5.31
2016-01-14,5.29,5.67,4.86,5.56,149800,5.56
2016-01-13,5.81,6.03,5.03,5.32,199500,5.32
2016-01-12,5.95,6.40,5.65,5.79,160300,5.79
2016-01-11,7.16,7.16,6.00,6.25,172700,6.25
2016-01-08,7.25,7.74,6.77,6.82,315900,6.82
2016-01-07,6.27,7.30,6.26,6.93,208800,6.93
2016-01-06,6.97,7.03,6.41,6.46,66100,6.46
2016-01-05,7.26,7.26,6.72,6.76,127000,6.76
2016-01-04,7.66,7.66,6.71,7.08,260300,7.08
2015-12-31,5.80,6.51,5.80,6.39,139600,6.39
2015-12-30,5.85,5.99,5.75,5.77,70400,5.77
2015-12-29,5.87,6.05,5.76,5.80,56900,5.80
2015-12-28,5.96,6.13,5.67,5.86,90800,5.86
2015-12-24,6.06,6.23,5.92,6.02,20500,6.02
2015-12-23,5.85,6.09,5.84,6.05,59700,6.05
2015-12-22,5.93,6.11,5.68,5.80,136100,5.80
2015-12-21,5.50,5.99,5.50,5.89,106000,5.89
2015-12-18,5.66,5.75,5.50,5.55,42600,5.55
2015-12-17,5.66,5.75,5.50,5.63,35200,5.63
2015-12-16,5.78,5.80,5.59,5.66,30600,5.66
2015-12-15,5.77,5.82,5.57,5.73,47000,5.73
2015-12-14,5.75,5.99,5.65,5.71,79300,5.71
2015-12-11,5.94,6.01,5.68,5.71,33600,5.71
2015-12-10,5.99,5.99,5.79,5.95,32700,5.95
2015-12-09,6.03,6.12,5.86,5.99,38900,5.99
2015-12-08,5.88,6.07,5.78,6.02,25900,6.02
2015-12-07,5.97,5.97,5.75,5.88,32300,5.88
2015-12-04,6.06,6.26,5.96,6.00,55400,6.00
2015-12-03,6.07,6.12,5.82,6.03,54000,6.03
2015-12-02,6.23,6.30,5.90,6.03,58800,6.03
2015-12-01,6.12,6.29,5.89,6.18,50100,6.18
2015-11-30,6.07,6.26,5.97,6.05,88400,6.05
2015-11-27,6.30,6.33,6.06,6.07,27100,6.07
2015-11-25,6.16,6.52,6.10,6.27,66900,6.27
2015-11-24,6.03,6.32,5.91,6.24,55500,6.24
2015-11-23,6.57,6.95,6.04,6.14,162100,6.14
2015-11-20,6.06,6.72,6.06,6.55,203000,6.55
2015-11-19,5.90,6.20,5.85,6.05,74500,6.05
2015-11-18,5.59,6.10,5.47,5.91,204000,5.91
2015-11-17,6.02,6.14,5.40,5.59,275500,5.59
2015-11-16,5.96,6.08,5.95,6.00,108000,6.00
2015-11-13,6.51,6.58,5.91,6.00,329400,6.00
2015-11-12,7.75,7.84,6.50,6.60,235600,6.60
2015-11-11,7.16,8.38,7.16,7.84,83000,7.84
2015-11-10,7.08,7.25,6.98,7.11,25500,7.11
2015-11-09,6.93,7.15,6.85,7.07,45000,7.07
2015-11-06,7.21,7.21,6.97,7.05,80600,7.05
2015-11-05,7.73,7.83,7.10,7.20,125800,7.20
2015-11-04,7.77,7.89,7.67,7.72,54700,7.72
2015-11-03,7.98,8.08,7.75,7.77,102600,7.77
2015-11-02,8.03,8.08,7.93,8.01,46200,8.01
2015-10-30,8.20,8.20,7.94,7.97,91600,7.97
2015-10-29,8.66,8.66,8.15,8.17,37700,8.17
2015-10-28,8.30,8.79,8.30,8.66,55600,8.66
2015-10-27,8.78,8.79,8.15,8.31,75000,8.31
2015-10-26,9.02,9.17,8.73,8.80,27500,8.80
2015-10-23,9.14,9.23,9.02,9.08,15300,9.08
2015-10-22,9.26,9.31,9.14,9.14,31300,9.14
2015-10-21,9.31,9.38,9.20,9.29,35000,9.29
