Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,15.80,15.80,15.80,15.80,000,15.80
2016-10-06,15.80,15.80,15.80,15.80,000,15.80
2016-10-05,15.80,15.80,15.80,15.80,000,15.80
2016-10-04,15.80,15.80,15.80,15.80,200,15.80
2016-10-03,15.05,15.05,15.05,15.05,300,15.05
2016-09-30,15.00,15.00,15.00,15.00,900,15.00
2016-09-29,14.25,14.25,14.25,14.25,000,14.25
2016-09-28,14.25,14.25,14.25,14.25,000,14.25
2016-09-27,14.25,14.25,14.25,14.25,000,14.25
2016-09-26,14.25,14.25,14.25,14.25,000,14.25
2016-09-23,14.25,14.25,14.25,14.25,000,14.25
2016-09-22,14.25,14.25,14.25,14.25,000,14.25
2016-09-21,14.25,14.25,14.25,14.25,000,14.25
2016-09-20,14.25,14.25,14.25,14.25,000,14.25
2016-09-19,14.25,14.25,14.25,14.25,000,14.25
2016-09-16,14.25,14.25,14.25,14.25,900,14.25
2016-09-15,16.99,16.99,16.99,16.99,000,16.99
2016-09-14,16.99,16.99,16.99,16.99,200,16.99
2016-09-13,16.20,16.23,16.20,16.23,700,16.23
2016-09-12,16.20,16.20,16.20,16.20,200,16.20
2016-09-09,16.00,16.20,16.00,16.20,300,16.20
2016-09-08,16.00,16.20,16.00,16.20,400,16.20
2016-09-07,16.20,16.20,16.20,16.20,200,16.20
2016-09-06,16.20,16.20,16.19,16.19,300,16.19
2016-09-05,13.60,13.60,13.60,13.60,000,13.60
2016-09-02,13.60,13.60,13.60,13.60,000,13.60
2016-09-01,13.60,13.60,13.60,13.60,000,13.60
2016-08-31,13.60,13.60,13.60,13.60,000,13.60
2016-08-30,13.60,13.60,13.60,13.60,000,13.60
2016-08-29,13.60,13.60,13.60,13.60,100,13.60
2016-08-26,13.99,13.99,13.99,13.99,000,13.99
2016-08-25,13.99,13.99,13.99,13.99,000,13.99
2016-08-24,13.99,13.99,13.99,13.99,000,13.99
2016-08-23,13.99,13.99,13.99,13.99,000,13.99
