Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.16,0.16,0.15,0.15,229900,0.15
2016-10-06,0.16,0.16,0.15,0.16,585700,0.16
2016-10-05,0.18,0.18,0.14,0.16,1305300,0.16
2016-10-04,0.18,0.18,0.18,0.18,265700,0.18
2016-10-03,0.20,0.20,0.18,0.18,343800,0.18
2016-09-30,0.19,0.20,0.17,0.19,504100,0.19
2016-09-29,0.18,0.20,0.18,0.19,411000,0.19
2016-09-28,0.19,0.19,0.18,0.19,482700,0.19
2016-09-27,0.20,0.20,0.18,0.20,1544500,0.20
2016-09-26,0.22,0.23,0.18,0.19,1987400,0.19
2016-09-23,0.23,0.24,0.22,0.22,496200,0.22
2016-09-22,0.23,0.23,0.23,0.23,445900,0.23
2016-09-21,0.23,0.24,0.23,0.23,419100,0.23
2016-09-20,0.24,0.25,0.23,0.24,443500,0.24
2016-09-19,0.25,0.26,0.23,0.24,800700,0.24
2016-09-16,0.24,0.26,0.23,0.25,1327700,0.25
2016-09-15,0.24,0.24,0.23,0.24,635100,0.24
2016-09-14,0.23,0.24,0.22,0.23,1460900,0.23
2016-09-13,0.23,0.23,0.22,0.22,424000,0.22
2016-09-12,0.23,0.24,0.22,0.23,436200,0.23
2016-09-09,0.24,0.24,0.23,0.23,782400,0.23
2016-09-08,0.25,0.26,0.23,0.24,838400,0.24
2016-09-07,0.25,0.26,0.25,0.25,421800,0.25
2016-09-06,0.25,0.26,0.24,0.25,802900,0.25
2016-09-02,0.26,0.26,0.24,0.24,570000,0.24
2016-09-01,0.26,0.26,0.24,0.26,579000,0.26
2016-08-31,0.27,0.27,0.25,0.26,1059200,0.26
2016-08-30,0.25,0.27,0.24,0.26,940100,0.26
2016-08-29,0.25,0.25,0.24,0.24,889300,0.24
2016-08-26,0.26,0.26,0.25,0.25,756600,0.25
2016-08-25,0.26,0.27,0.25,0.25,1479400,0.25
2016-08-24,0.26,0.27,0.26,0.26,1254400,0.26
2016-08-23,0.27,0.28,0.26,0.27,539000,0.27
2016-08-22,0.28,0.28,0.26,0.27,979800,0.27
2016-08-19,0.28,0.29,0.27,0.27,729700,0.27
2016-08-18,0.30,0.30,0.28,0.28,966300,0.28
2016-08-17,0.28,0.30,0.26,0.30,1305100,0.30
2016-08-16,0.28,0.29,0.26,0.27,2168800,0.27
2016-08-15,0.32,0.34,0.27,0.28,3868300,0.28
2016-08-12,0.32,0.32,0.30,0.31,2282000,0.31
2016-08-11,0.36,0.37,0.29,0.32,4090600,0.32
2016-08-10,0.38,0.38,0.31,0.33,5244900,0.33
2016-08-09,0.33,0.39,0.32,0.37,8561600,0.37
2016-08-08,0.33,0.33,0.30,0.31,1882400,0.31
2016-08-05,0.30,0.31,0.28,0.30,1861100,0.30
2016-08-04,0.30,0.32,0.25,0.29,3377500,0.29
2016-08-03,0.30,0.37,0.29,0.32,15297300,0.32
2016-08-02,0.28,0.29,0.26,0.29,3870700,0.29
2016-08-01,0.25,0.27,0.24,0.26,1681200,0.26
2016-07-29,0.24,0.25,0.24,0.24,1298400,0.24
