Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,77.769997,78.160004,75.580002,76.260002,99500,76.260002
2016-10-06,77.150002,78.050003,76.309998,77.860001,42100,77.860001
2016-10-05,77.050003,77.959999,76.620003,77.510002,56700,77.510002
2016-10-04,76.209999,76.839996,75.879997,76.650002,64800,76.650002
2016-10-03,76.239998,76.800003,75.650002,75.980003,94500,75.980003
2016-09-30,76.370003,77.169998,75.099998,76.480003,157600,76.480003
2016-09-29,76.800003,77.220001,75.860001,75.889999,76800,75.889999
2016-09-28,76.139999,76.989998,75.620003,76.68,65300,76.68
2016-09-27,75.580002,76.25,75.32,75.790001,144800,75.790001
2016-09-26,75.970001,76.690002,75.419998,75.57,113200,75.57
2016-09-23,77.089996,77.959999,75.989998,76.160004,56600,76.160004
2016-09-22,76.279999,77.330002,75.610001,77.050003,61600,77.050003
2016-09-21,74.900002,75.730003,74.510002,75.660004,61800,75.660004
2016-09-20,75.00,75.120003,74.309998,74.510002,76100,74.510002
2016-09-19,74.599998,75.449997,74.510002,74.779999,62800,74.779999
2016-09-16,74.720001,75.610001,73.18,74.330002,142300,74.330002
2016-09-15,74.040001,74.839996,73.139999,74.629997,35300,74.629997
2016-09-14,74.519997,74.519997,73.709999,73.870003,43800,73.870003
2016-09-13,75.639999,76.300003,74.110001,74.300003,81000,74.300003
2016-09-12,75.690002,76.589996,75.239998,76.470001,78900,76.470001
2016-09-09,78.290001,78.290001,75.779999,75.779999,92600,75.779999
2016-09-08,78.989998,78.989998,78.360001,78.620003,42700,78.620003
2016-09-07,78.660004,79.419998,77.510002,79.349998,98700,79.349998
2016-09-06,79.489998,79.669998,78.389999,78.50,60900,78.50
2016-09-02,79.470001,79.830002,78.949997,79.75,54900,79.75
2016-09-01,79.489998,80.00,78.330002,78.989998,75100,78.989998
2016-08-31,79.089996,79.940002,78.739998,79.089996,101400,79.089996
2016-08-30,78.449997,80.089996,78.220001,79.419998,185500,79.419998
2016-08-29,78.290001,79.389999,78.290001,78.629997,85800,78.629997
2016-08-26,79.040001,79.269997,78.00,78.379997,48600,78.379997
2016-08-25,78.620003,79.129997,78.139999,79.040001,78000,79.040001
2016-08-24,78.800003,79.099998,78.290001,78.75,63200,78.75
2016-08-23,77.360001,79.139999,77.080002,78.980003,133200,78.980003
2016-08-22,77.290001,77.650002,76.800003,77.290001,88500,77.290001
2016-08-19,77.209999,78.00,76.889999,77.290001,159700,77.290001
2016-08-18,77.190002,77.709999,76.900002,77.50,103800,77.50
2016-08-17,77.620003,77.699997,77.029999,77.370003,98900,77.370003
2016-08-16,77.940002,78.610001,77.349998,77.480003,72100,77.480003
2016-08-15,77.110001,78.199997,77.110001,78.150002,127200,78.150002
2016-08-12,77.559998,77.739998,76.580002,77.010002,59700,77.010002
2016-08-11,77.230003,77.870003,76.620003,77.57,82900,77.57
2016-08-10,77.279999,77.599998,76.120003,77.18,69900,77.18
2016-08-09,76.730003,77.940002,75.120003,77.160004,156500,77.160004
2016-08-08,77.980003,81.669998,77.440002,77.629997,83600,77.629997
2016-08-05,79.150002,87.82,77.849998,78.029999,118300,78.029999
2016-08-04,75.82,83.400002,75.82,78.279999,192900,78.279999
2016-08-03,75.830002,75.830002,74.82,75.269997,153000,75.269997
2016-08-02,75.980003,76.559998,75.57,75.629997,145300,75.629997
2016-08-01,76.129997,76.18,75.239998,75.910004,168900,75.910004
2016-07-29,76.519997,76.610001,75.779999,76.029999,108800,76.029999
2016-07-28,76.339996,77.169998,76.080002,76.870003,78700,76.870003
2016-07-27,77.260002,78.32,75.760002,77.169998,96900,77.169998
2016-07-26,74.330002,78.50,73.620003,77.169998,263500,77.169998
2016-07-25,74.980003,75.279999,74.209999,74.419998,109600,74.419998
2016-07-22,75.330002,75.860001,73.779999,75.019997,127800,75.019997
2016-07-21,76.370003,76.720001,74.440002,75.290001,79200,75.290001
2016-07-20,76.389999,77.07,75.660004,76.690002,72700,76.690002
2016-07-19,76.110001,76.779999,75.760002,76.199997,53700,76.199997
2016-07-18,76.739998,77.209999,76.230003,76.449997,67500,76.449997
2016-07-15,76.650002,77.089996,75.360001,77.00,74900,77.00
2016-07-14,76.889999,78.660004,75.949997,76.010002,73700,76.010002
2016-07-13,76.709999,76.980003,75.239998,76.25,70600,76.25
2016-07-12,75.57,76.620003,74.790001,76.120003,83600,76.120003
2016-07-11,72.82,75.190002,72.699997,74.75,82300,74.75
2016-07-08,71.959999,73.260002,71.440002,72.940002,71100,72.940002
2016-07-07,71.57,71.709999,70.769997,71.190002,52900,71.190002
2016-07-06,71.050003,72.040001,70.57,71.440002,87800,71.440002
2016-07-05,72.620003,72.620003,71.50,71.559998,93500,71.559998
2016-07-01,72.32,73.360001,72.120003,72.800003,112300,72.800003
2016-06-30,70.779999,72.760002,70.029999,72.50,205200,72.50
2016-06-29,70.089996,70.779999,69.260002,70.580002,183300,70.580002
2016-06-28,70.00,71.720001,69.160004,69.389999,94500,69.389999
2016-06-27,70.870003,70.870003,69.110001,69.290001,167600,69.290001
2016-06-24,70.730003,72.629997,70.470001,71.519997,235700,71.519997
2016-06-23,72.690002,74.279999,72.349998,73.959999,107600,73.959999
2016-06-22,72.440002,73.00,71.809998,71.93,134900,71.93
2016-06-21,73.620003,73.910004,72.18,72.43,57700,72.43
2016-06-20,73.00,74.510002,73.00,73.739998,69800,73.739998
2016-06-17,73.290001,73.440002,72.459999,72.519997,182300,72.519997
2016-06-16,72.389999,73.339996,71.580002,73.169998,86000,73.169998
2016-06-15,73.470001,74.00,72.760002,72.879997,72500,72.879997
2016-06-14,71.970001,73.43,71.970001,73.339996,86100,73.339996
2016-06-13,73.629997,74.370003,72.779999,72.980003,103700,72.980003
2016-06-10,74.830002,75.040001,73.68,74.029999,85000,74.029999
2016-06-09,75.459999,75.809998,75.099998,75.50,86300,75.50
2016-06-08,75.330002,76.269997,75.330002,75.870003,166500,75.870003
2016-06-07,75.639999,75.970001,75.120003,75.470001,112000,75.470001
2016-06-06,75.160004,76.589996,74.610001,75.400002,171000,75.400002
2016-06-03,76.080002,76.169998,74.839996,75.309998,162100,75.309998
2016-06-02,75.57,76.230003,75.269997,75.989998,108400,75.989998
2016-06-01,74.589996,76.040001,73.800003,75.669998,115700,75.669998
2016-05-31,75.040001,75.489998,74.769997,74.900002,132900,74.900002
2016-05-27,75.279999,77.089996,74.400002,74.919998,84800,74.919998
2016-05-26,72.93,79.75,72.93,74.980003,277700,74.980003
2016-05-25,74.489998,74.769997,73.660004,74.199997,179300,74.199997
2016-05-24,72.790001,74.620003,72.610001,74.019997,120600,74.019997
2016-05-23,72.360001,72.830002,71.550003,72.269997,64200,72.269997
2016-05-20,72.080002,72.57,71.639999,72.260002,66300,72.260002
2016-05-19,72.010002,73.040001,70.480003,71.739998,79400,71.739998
2016-05-18,71.480003,73.370003,71.209999,72.470001,142200,72.470001
2016-05-17,73.360001,73.650002,71.110001,71.760002,108600,71.760002
2016-05-16,72.410004,73.760002,71.800003,73.220001,99300,73.220001
2016-05-13,72.220001,72.959999,71.57,71.93,55500,71.93
2016-05-12,72.529999,73.110001,71.879997,72.620003,87800,72.620003
2016-05-11,73.00,73.470001,72.059998,72.400002,92500,72.400002
2016-05-10,72.150002,73.370003,72.00,73.32,98000,73.32
2016-05-09,72.50,72.50,70.940002,71.760002,76200,71.760002
2016-05-06,71.440002,72.730003,70.190002,72.589996,74400,72.589996
2016-05-05,72.129997,72.199997,70.879997,71.510002,96100,71.510002
2016-05-04,72.169998,73.779999,70.809998,71.980003,157500,71.980003
2016-05-03,73.080002,73.25,72.18,72.459999,118200,72.459999
2016-05-02,73.800003,74.760002,72.910004,73.580002,107100,73.580002
2016-04-29,73.919998,74.139999,72.160004,73.300003,126200,73.300003
2016-04-28,75.040001,75.559998,73.690002,73.93,88500,73.93
2016-04-27,75.360001,76.959999,71.269997,75.18,91000,75.18
2016-04-26,75.169998,75.879997,74.68,75.169998,98000,75.169998
2016-04-25,75.75,75.900002,74.480003,74.690002,68300,74.690002
2016-04-22,74.800003,76.720001,74.470001,76.110001,154800,76.110001
2016-04-21,74.93,75.93,74.230003,74.870003,98200,74.870003
2016-04-20,74.690002,75.830002,73.75,75.080002,86100,75.080002
2016-04-19,75.050003,75.970001,74.349998,74.519997,89900,74.519997
2016-04-18,74.150002,75.480003,74.110001,74.720001,92800,74.720001
2016-04-15,73.970001,74.889999,72.879997,74.550003,58800,74.550003
2016-04-14,74.849998,74.849998,73.699997,74.379997,78600,74.379997
2016-04-13,72.730003,74.529999,72.610001,74.510002,117400,74.510002
2016-04-12,72.57,73.279999,72.209999,72.389999,130000,72.389999
2016-04-11,72.559998,73.57,72.459999,72.580002,93500,72.580002
2016-04-08,71.410004,72.870003,71.260002,72.32,100700,72.32
2016-04-07,71.629997,72.559998,70.760002,70.870003,186800,70.870003
2016-04-06,72.400002,73.120003,68.690002,72.00,92400,72.00
2016-04-05,71.779999,73.239998,68.410004,72.209999,95800,72.209999
2016-04-04,73.559998,73.900002,72.379997,72.379997,101500,72.379997
2016-04-01,72.830002,73.690002,72.190002,73.650002,66000,73.650002
2016-03-31,73.57,74.209999,72.620003,73.260002,110700,73.260002
2016-03-30,74.639999,74.889999,73.580002,73.629997,96400,73.629997
2016-03-29,71.970001,74.459999,71.879997,74.410004,87000,74.410004
2016-03-28,72.559998,72.75,71.470001,72.290001,78200,72.290001
2016-03-24,71.610001,72.529999,70.870003,72.190002,128900,72.190002
2016-03-23,73.00,73.349998,71.669998,71.849998,112000,71.849998
2016-03-22,72.849998,74.50,72.400002,73.080002,98800,73.080002
2016-03-21,72.550003,73.830002,72.120003,73.010002,107600,73.010002
2016-03-18,72.57,74.839996,72.07,72.330002,236700,72.330002
2016-03-17,69.989998,72.269997,69.970001,72.089996,129400,72.089996
2016-03-16,68.75,70.410004,67.980003,70.019997,140000,70.019997
2016-03-15,68.529999,69.959999,68.050003,68.860001,145100,68.860001
2016-03-14,68.660004,70.419998,68.620003,69.00,158500,69.00
2016-03-11,67.839996,69.019997,66.830002,68.870003,108200,68.870003
2016-03-10,67.529999,68.050003,66.75,67.339996,103200,67.339996
2016-03-09,67.610001,67.860001,66.730003,67.379997,143200,67.379997
2016-03-08,67.440002,68.339996,67.150002,67.489998,128900,67.489998
2016-03-07,66.580002,68.440002,66.580002,67.900002,163000,67.900002
2016-03-04,65.709999,67.809998,65.07,66.730003,148200,66.730003
2016-03-03,64.769997,65.720001,64.300003,65.709999,141200,65.709999
2016-03-02,64.360001,64.790001,63.98,64.720001,110500,64.720001
2016-03-01,64.080002,65.400002,63.50,64.620003,90000,64.620003
2016-02-29,64.330002,64.940002,63.509998,63.700001,127200,63.700001
2016-02-26,63.470001,64.550003,63.27,64.330002,122800,64.330002
2016-02-25,62.91,63.900002,62.169998,63.240002,115700,63.240002
2016-02-24,61.25,62.830002,60.939999,62.459999,102800,62.459999
2016-02-23,61.700001,62.220001,61.400002,61.610001,123500,61.610001
2016-02-22,62.48,63.00,61.00,62.139999,101400,62.139999
2016-02-19,61.540001,62.389999,61.299999,61.98,89600,61.98
2016-02-18,61.950001,63.119999,61.119999,61.799999,103000,61.799999
2016-02-17,61.610001,62.709999,61.610001,62.040001,121600,62.040001
2016-02-16,60.919998,61.66,59.950001,61.25,138600,61.25
2016-02-12,60.139999,60.779999,59.209999,60.150002,112900,60.150002
2016-02-11,57.75,60.23,57.75,59.59,85600,59.59
2016-02-10,59.52,60.110001,58.700001,58.790001,101600,58.790001
2016-02-09,58.91,61.02,58.740002,59.169998,150200,59.169998
2016-02-08,58.040001,60.560001,56.830002,59.93,167700,59.93
2016-02-05,59.57,61.41,58.73,59.040001,163900,59.040001
2016-02-04,57.790001,60.939999,57.639999,59.970001,162000,59.970001
2016-02-03,57.09,62.970001,56.509998,58.25,164200,58.25
2016-02-02,56.700001,57.099998,55.099998,55.639999,142000,55.639999
2016-02-01,58.68,59.57,57.00,57.25,129200,57.25
2016-01-29,56.16,59.41,56.16,59.330002,158800,59.330002
2016-01-28,56.700001,57.16,55.759998,56.07,90000,56.07
2016-01-27,56.700001,57.279999,55.32,56.279999,107600,56.279999
2016-01-26,55.59,57.419998,55.279999,57.009998,117100,57.009998
2016-01-25,56.740002,58.009998,54.98,55.279999,110900,55.279999
2016-01-22,56.889999,59.349998,55.25,57.099998,118200,57.099998
2016-01-21,57.110001,57.610001,55.950001,56.299999,152100,56.299999
2016-01-20,56.119999,57.68,54.380001,57.09,107500,57.09
2016-01-19,58.790001,58.790001,56.189999,56.82,133200,56.82
2016-01-15,58.060001,58.689999,57.18,58.119999,154500,58.119999
2016-01-14,60.099998,60.259998,59.150002,59.450001,116400,59.450001
2016-01-13,61.560001,61.830002,59.369999,59.779999,237900,59.779999
2016-01-12,60.959999,61.529999,60.34,61.459999,125500,61.459999
2016-01-11,59.990002,60.580002,59.50,60.560001,124300,60.560001
2016-01-08,60.810001,60.939999,59.380001,59.639999,192200,59.639999
2016-01-07,60.77,61.009998,60.220001,60.66,112700,60.66
2016-01-06,61.400002,62.48,61.290001,61.779999,105800,61.779999
2016-01-05,62.279999,62.91,61.970001,62.369999,124100,62.369999
2016-01-04,63.509998,63.509998,62.00,62.130001,139000,62.130001
2015-12-31,66.099998,66.099998,64.470001,64.589996,100000,64.589996
2015-12-30,66.910004,67.629997,65.940002,66.050003,108200,66.050003
2015-12-29,67.32,67.830002,65.68,67.040001,112600,67.040001
2015-12-28,66.269997,67.410004,65.510002,67.019997,103100,67.019997
2015-12-24,66.010002,66.860001,66.010002,66.489998,33000,66.489998
2015-12-23,64.610001,66.18,62.669998,65.970001,95000,65.970001
2015-12-22,64.32,64.860001,63.299999,64.32,88700,64.32
2015-12-21,64.269997,66.629997,63.27,64.099998,92800,64.099998
2015-12-18,64.730003,65.129997,63.830002,63.970001,195300,63.970001
2015-12-17,66.169998,67.18,64.900002,65.129997,108100,65.129997
2015-12-16,65.379997,66.209999,64.879997,66.110001,106100,66.110001
2015-12-15,66.370003,66.82,64.879997,65.199997,152000,65.199997
2015-12-14,65.699997,66.720001,64.959999,66.089996,110400,66.089996
2015-12-11,65.970001,66.169998,65.18,65.540001,87900,65.540001
2015-12-10,67.18,67.790001,66.599998,66.830002,79800,66.830002
2015-12-09,69.330002,70.209999,67.160004,67.339996,173100,67.339996
2015-12-08,70.07,70.879997,69.300003,69.519997,165800,69.519997
2015-12-07,70.370003,71.080002,69.879997,70.480003,131200,70.480003
2015-12-04,69.199997,70.839996,69.199997,70.449997,79100,70.449997
2015-12-03,69.910004,70.220001,69.160004,69.669998,90400,69.669998
2015-12-02,70.00,71.199997,69.139999,69.540001,75800,69.540001
2015-12-01,70.709999,71.419998,69.290001,70.300003,69000,70.300003
2015-11-30,69.970001,70.919998,69.699997,70.620003,110000,70.620003
2015-11-27,69.860001,70.360001,69.349998,69.879997,25500,69.879997
