Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,17.09,17.15,16.59,16.620001,99900,16.620001
2016-10-06,17.709999,17.709999,17.00,17.059999,97600,17.059999
2016-10-05,18.209999,18.299999,17.76,17.82,126000,17.82
2016-10-04,17.68,18.209999,17.16,18.129999,175000,18.129999
2016-10-03,17.629999,17.709999,17.440001,17.59,88300,17.59
2016-09-30,17.290001,17.700001,17.23,17.65,117600,17.65
2016-09-29,17.51,17.679001,17.18,17.200001,97600,17.200001
2016-09-28,17.459999,17.549999,17.18,17.50,83800,17.50
2016-09-27,16.73,17.389999,16.73,17.35,138500,17.35
2016-09-26,17.40,17.540001,16.575001,16.799999,329000,16.799999
2016-09-23,17.50,17.85,17.48,17.549999,142800,17.549999
2016-09-22,17.799999,17.90,17.360001,17.450001,139200,17.450001
2016-09-21,16.66,17.59,16.66,17.559999,237200,17.559999
2016-09-20,16.629999,16.719999,16.26,16.59,148600,16.59
2016-09-19,16.68,16.75,16.360001,16.549999,174400,16.549999
2016-09-16,16.26,16.57,16.10,16.530001,625700,16.530001
2016-09-15,16.540001,16.67,16.24,16.35,170600,16.35
2016-09-14,16.450001,16.879999,16.280001,16.58,272400,16.58
2016-09-13,16.530001,16.809999,16.16,16.32,443700,16.32
2016-09-12,16.879999,17.01,16.59,16.700001,350900,16.700001
2016-09-09,17.85,17.955,16.719999,16.92,299500,16.92
2016-09-08,18.129999,18.790001,17.809999,18.01,339900,18.01
2016-09-07,18.299999,18.65,18.00,18.33,241100,18.33
2016-09-06,18.040001,18.690001,18.01,18.34,249300,18.34
2016-09-02,17.700001,18.33,17.700001,17.959999,343200,17.959999
2016-09-01,17.799999,18.16,17.49,17.50,384300,17.50
2016-08-31,18.98,18.98,17.93,17.969999,1018300,17.969999
2016-08-30,19.10,19.290001,19.01,19.219999,165100,19.219999
2016-08-29,18.860001,19.139999,18.50,19.02,235200,19.02
2016-08-26,18.959999,18.959999,18.57,18.75,249300,18.75
2016-08-25,18.01,18.620001,17.950001,18.620001,308100,18.620001
2016-08-24,18.68,19.040001,17.969999,18.049999,369700,18.049999
2016-08-23,18.35,19.049999,18.139999,18.610001,401200,18.610001
2016-08-22,18.68,18.68,17.790001,18.059999,646500,18.059999
2016-08-19,17.059999,18.98,17.00,18.48,1176200,18.48
2016-08-18,16.309999,17.299999,16.280001,17.129999,331000,17.129999
2016-08-17,16.299999,16.40,16.00,16.27,194800,16.27
2016-08-16,15.88,16.469999,15.59,16.379999,203000,16.379999
2016-08-15,15.50,16.014999,15.50,15.98,224400,15.98
2016-08-12,15.47,15.77,15.47,15.66,119100,15.66
2016-08-11,15.45,15.74,15.27,15.64,233000,15.64
2016-08-10,15.76,15.76,15.21,15.55,172100,15.55
2016-08-09,14.59,16.65,14.34,15.65,694800,15.65
2016-08-08,14.46,14.48,13.93,13.96,137700,13.96
2016-08-05,14.26,14.50,14.01,14.39,207500,14.39
2016-08-04,14.35,14.38,13.961,14.04,59900,14.04
2016-08-03,14.01,14.26,13.79,14.22,200000,14.22
2016-08-02,14.03,14.142,13.80,13.95,73500,13.95
2016-08-01,14.10,14.65,14.00,14.01,234900,14.01
2016-07-29,13.87,14.31,13.00,13.98,442700,13.98
2016-07-28,14.19,14.25,13.90,13.99,135100,13.99
2016-07-27,14.00,14.25,13.82,14.19,136700,14.19
2016-07-26,13.83,14.36,13.83,13.98,266900,13.98
2016-07-25,13.44,13.95,13.25,13.88,110200,13.88
2016-07-22,13.00,13.77,12.81,13.54,111700,13.54
2016-07-21,13.40,13.67,12.88,12.94,136200,12.94
2016-07-20,12.89,13.62,12.71,13.37,93500,13.37
2016-07-19,12.83,12.97,12.66,12.76,107900,12.76
2016-07-18,12.80,12.93,12.60,12.82,109900,12.82
2016-07-15,12.76,12.95,12.55,12.86,188800,12.86
2016-07-14,12.33,12.909,12.33,12.63,166800,12.63
2016-07-13,12.61,12.99,12.46,12.75,153100,12.75
2016-07-12,12.53,12.78,12.20,12.55,187000,12.55
2016-07-11,12.55,12.78,12.43,12.45,126400,12.45
2016-07-08,12.14,12.58,12.00,12.46,170900,12.46
2016-07-07,11.96,12.19,11.85,12.01,121000,12.01
2016-07-06,11.90,11.94,11.545,11.92,134500,11.92
2016-07-05,12.49,12.54,11.71,11.76,165200,11.76
2016-07-01,12.62,13.07,12.45,12.60,86500,12.60
2016-06-30,12.35,12.66,12.01,12.58,160500,12.58
2016-06-29,12.43,12.55,12.02,12.34,122700,12.34
2016-06-28,12.28,12.48,12.03,12.21,125300,12.21
2016-06-27,12.75,12.77,12.00,12.14,191300,12.14
2016-06-24,13.04,13.50,12.89,13.01,1533000,13.01
2016-06-23,13.42,13.90,13.41,13.65,182000,13.65
2016-06-22,13.49,13.73,13.20,13.27,176500,13.27
2016-06-21,13.42,13.88,13.11,13.47,163700,13.47
2016-06-20,13.32,13.88,13.19,13.43,242300,13.43
2016-06-17,13.52,13.58,12.52,12.97,999100,12.97
2016-06-16,12.82,13.54,12.40,13.48,444200,13.48
2016-06-15,14.08,14.48,12.64,12.73,444200,12.73
2016-06-14,14.55,14.82,14.02,14.03,305800,14.03
2016-06-13,14.21,14.54,13.88,14.51,237600,14.51
2016-06-10,14.38,14.67,14.31,14.49,161100,14.49
2016-06-09,14.24,14.75,14.24,14.63,202300,14.63
2016-06-08,14.10,14.54,14.05,14.39,120100,14.39
2016-06-07,13.84,14.35,13.71,14.09,311000,14.09
2016-06-06,13.19,14.02,13.05,13.91,187800,13.91
2016-06-03,13.74,13.74,12.97,13.14,300600,13.14
2016-06-02,13.62,13.86,13.50,13.76,228000,13.76
2016-06-01,13.10,13.65,12.728,13.59,227200,13.59
2016-05-31,12.55,12.89,12.44,12.85,196300,12.85
2016-05-27,12.39,12.60,12.31,12.55,124200,12.55
2016-05-26,12.21,12.55,12.07,12.52,85900,12.52
2016-05-25,12.33,12.33,11.99,12.11,75100,12.11
2016-05-24,11.80,12.49,11.80,12.22,121700,12.22
2016-05-23,11.46,11.94,11.456,11.88,146900,11.88
2016-05-20,11.44,11.63,11.20,11.58,123500,11.58
2016-05-19,11.35,11.74,10.95,11.38,149600,11.38
2016-05-18,11.14,11.81,11.13,11.49,202000,11.49
2016-05-17,11.56,11.84,11.00,11.14,190300,11.14
2016-05-16,11.30,11.69,11.104,11.53,143100,11.53
2016-05-13,11.29,11.669,10.93,11.30,157700,11.30
2016-05-12,12.00,12.28,10.82,11.31,199700,11.31
2016-05-11,11.77,11.795,11.36,11.42,176800,11.42
2016-05-10,11.99,11.99,11.46,11.84,98400,11.84
2016-05-09,11.37,11.94,11.37,11.90,86000,11.90
2016-05-06,11.60,11.72,11.30,11.40,95000,11.40
2016-05-05,11.84,11.96,11.62,11.67,66400,11.67
2016-05-04,12.35,12.42,11.61,11.80,130400,11.80
2016-05-03,12.48,12.54,12.27,12.37,95100,12.37
2016-05-02,12.51,12.63,12.39,12.58,154100,12.58
2016-04-29,12.46,12.54,12.33,12.52,136300,12.52
2016-04-28,12.48,12.79,12.35,12.47,152500,12.47
2016-04-27,12.33,12.64,12.33,12.51,135500,12.51
2016-04-26,12.54,12.67,12.325,12.53,89100,12.53
2016-04-25,12.30,12.49,12.25,12.44,65100,12.44
2016-04-22,11.69,12.41,11.69,12.32,86200,12.32
2016-04-21,11.78,12.06,11.63,11.71,85200,11.71
2016-04-20,12.50,12.55,11.68,11.73,134600,11.73
2016-04-19,13.30,13.36,12.39,12.55,157700,12.55
2016-04-18,12.93,13.35,12.80,13.21,178700,13.21
2016-04-15,12.99,13.18,12.71,12.94,201100,12.94
2016-04-14,13.36,13.36,12.78,13.06,147000,13.06
2016-04-13,12.82,13.36,12.65,13.35,155700,13.35
2016-04-12,12.82,13.055,12.65,12.82,277000,12.82
2016-04-11,12.79,13.01,12.56,12.90,169700,12.90
2016-04-08,12.87,12.91,12.50,12.71,104900,12.71
2016-04-07,12.60,13.01,12.50,12.67,135700,12.67
2016-04-06,12.68,13.08,12.68,12.98,119700,12.98
2016-04-05,13.31,13.72,12.55,12.76,240700,12.76
2016-04-04,14.01,14.06,13.41,13.46,113600,13.46
2016-04-01,12.98,14.04,12.98,13.95,166500,13.95
2016-03-31,13.41,13.44,12.86,13.07,170500,13.07
2016-03-30,12.91,13.46,12.91,13.36,130800,13.36
2016-03-29,12.85,13.15,12.40,12.89,211300,12.89
2016-03-28,12.58,13.26,12.34,12.97,181300,12.97
2016-03-24,12.60,12.77,12.54,12.59,123900,12.59
2016-03-23,13.02,13.06,12.54,12.65,132400,12.65
2016-03-22,13.12,13.39,12.88,13.13,101400,13.13
2016-03-21,12.68,13.72,12.44,13.26,132000,13.26
2016-03-18,12.93,13.13,12.64,12.67,486400,12.67
2016-03-17,12.51,12.98,12.111,12.82,161400,12.82
2016-03-16,12.80,13.65,12.25,12.47,311500,12.47
2016-03-15,14.00,14.33,12.725,12.80,315700,12.80
2016-03-14,14.45,14.78,14.20,14.49,133300,14.49
2016-03-11,13.97,14.50,13.85,14.44,188700,14.44
2016-03-10,14.36,14.75,13.58,13.82,99500,13.82
2016-03-09,15.26,15.54,14.24,14.37,148400,14.37
2016-03-08,15.49,15.49,14.84,15.14,114100,15.14
2016-03-07,14.78,15.68,14.66,15.54,356900,15.54
2016-03-04,14.25,14.98,13.86,14.78,274200,14.78
2016-03-03,14.01,14.27,13.91,14.21,199500,14.21
2016-03-02,13.25,14.01,13.25,13.97,277200,13.97
2016-03-01,13.46,13.67,13.03,13.37,131500,13.37
2016-02-29,13.76,13.76,13.21,13.29,183100,13.29
2016-02-26,13.44,14.00,13.37,13.73,268200,13.73
2016-02-25,13.47,13.52,12.521,13.38,233800,13.38
2016-02-24,12.05,13.35,11.76,13.22,240700,13.22
2016-02-23,12.20,12.39,12.00,12.18,60500,12.18
2016-02-22,12.86,13.06,12.30,12.36,82400,12.36
2016-02-19,12.09,13.16,11.64,12.70,265400,12.70
2016-02-18,11.92,12.43,11.78,12.20,274100,12.20
2016-02-17,11.17,11.97,11.17,11.80,237800,11.80
2016-02-16,11.17,11.825,10.77,11.17,327800,11.17
2016-02-12,11.01,11.70,10.69,11.34,434900,11.34
2016-02-11,10.19,10.93,9.05,10.76,816700,10.76
2016-02-10,9.62,10.17,9.35,9.98,468800,9.98
2016-02-09,10.05,10.317,9.34,9.46,326200,9.46
2016-02-08,10.82,10.99,9.91,10.15,195900,10.15
2016-02-05,12.84,12.84,10.45,10.99,266800,10.99
2016-02-04,12.58,12.87,12.37,12.79,111200,12.79
2016-02-03,13.00,13.215,12.62,12.68,177300,12.68
2016-02-02,13.28,13.49,12.91,12.98,119400,12.98
2016-02-01,12.97,13.31,12.81,13.31,134600,13.31
2016-01-29,12.69,13.18,12.59,13.10,212500,13.10
2016-01-28,12.16,12.61,12.08,12.57,269200,12.57
2016-01-27,12.05,12.685,11.98,12.16,277100,12.16
2016-01-26,12.68,12.83,12.09,12.23,310100,12.23
2016-01-25,13.82,13.82,12.50,12.59,219400,12.59
2016-01-22,12.87,14.70,12.71,13.83,398700,13.83
2016-01-21,13.06,13.25,12.42,12.68,218000,12.68
