Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,24.32,24.48,23.969999,24.00,17100,24.00
2016-10-06,24.67,24.68,24.16,24.35,39600,24.35
2016-10-05,24.809999,25.17,24.709999,24.790001,14400,24.790001
2016-10-04,24.549999,24.940001,23.860001,24.48,28000,24.48
2016-10-03,24.219999,24.969999,24.219999,24.549999,24000,24.549999
2016-09-30,23.74,24.40,23.74,24.309999,75600,24.309999
2016-09-29,23.98,23.98,23.610001,23.629999,29900,23.629999
2016-09-28,23.700001,24.129999,23.43,24.01,22300,24.01
2016-09-27,23.41,24.00,23.41,23.639999,20400,23.639999
2016-09-26,24.049999,24.049999,23.370001,23.40,15800,23.40
2016-09-23,24.23,24.299999,23.809999,23.870001,21500,23.870001
2016-09-22,24.52,24.549999,24.23,24.280001,42900,24.280001
2016-09-21,23.77,24.33,23.280001,24.209999,57200,24.209999
2016-09-20,23.870001,24.120001,23.690001,23.76,42400,23.76
2016-09-19,23.68,24.15,23.26,23.620001,53400,23.620001
2016-09-16,23.27,24.110001,22.90,23.73,161700,23.73
2016-09-15,22.67,23.549999,22.48,23.26,31000,23.26
2016-09-14,22.98,23.50,22.52,23.00,23900,23.00
2016-09-13,22.92,23.209999,22.530001,22.879999,26400,22.879999
2016-09-12,22.40,23.540001,22.40,23.42,29500,23.42
2016-09-09,23.719999,23.92,22.459999,22.469999,31100,22.469999
2016-09-08,24.07,24.379999,23.950001,24.00,21900,24.00
2016-09-07,24.17,24.370001,23.940001,24.23,28500,24.23
2016-09-06,23.690001,24.889999,23.690001,24.17,62300,24.17
2016-09-02,24.24,24.24,23.709999,23.75,118300,23.75
2016-09-01,23.559999,24.049999,23.559999,24.030001,16100,24.030001
2016-08-31,23.309999,24.049999,23.309999,23.90,28400,23.90
2016-08-30,24.01,24.01,23.90,23.93,35200,23.93
2016-08-29,24.10,24.26,23.93,23.98,39100,23.98
2016-08-26,23.92,24.41,23.92,24.219999,19800,24.219999
2016-08-25,24.25,24.51,24.18,24.27,22100,24.27
2016-08-24,24.379999,24.719999,24.23,24.290001,16200,24.290001
2016-08-23,24.23,24.67,24.23,24.25,35200,24.25
2016-08-22,23.93,24.299999,23.68,24.219999,102400,24.219999
2016-08-19,23.77,24.120001,23.77,23.799999,29100,23.799999
2016-08-18,24.120001,24.120001,23.780001,23.959999,28800,23.959999
2016-08-17,23.90,24.059999,23.780001,23.889999,11700,23.889999
2016-08-16,24.030001,24.219999,23.799999,23.93,22800,23.93
2016-08-15,24.049999,24.639999,23.85,24.10,21800,24.10
2016-08-12,24.34,24.809999,24.08,24.18,38800,24.18
2016-08-11,24.17,25.00,24.17,24.860001,21900,24.860001
2016-08-10,23.51,24.09,23.32,24.049999,24600,24.049999
2016-08-09,24.26,24.26,24.049999,24.139999,18200,24.139999
2016-08-08,24.059999,24.59,24.059999,24.40,12200,24.40
2016-08-05,23.549999,24.26,23.530001,24.02,20400,24.02
2016-08-04,22.74,23.450001,22.74,23.200001,12200,23.200001
2016-08-03,23.15,23.40,23.10,23.309999,16600,23.309999
2016-08-02,23.41,23.41,22.940001,22.959999,16300,22.959999
2016-08-01,23.450001,23.60,23.190001,23.219999,18800,23.219999
2016-07-29,23.190001,24.09,23.190001,23.33,36200,23.33
2016-07-28,23.10,23.48,22.700001,23.450001,60000,23.450001
2016-07-27,23.42,23.690001,22.84,23.23,61600,23.23
2016-07-26,22.950001,23.85,22.950001,23.360001,20500,23.360001
2016-07-25,22.77,23.07,22.77,22.84,23300,22.84
2016-07-22,23.129999,23.309999,22.91,22.99,19500,22.99
2016-07-21,23.35,23.700001,22.85,23.00,20100,23.00
2016-07-20,22.469999,23.52,22.469999,23.23,23000,23.23
2016-07-19,22.860001,23.32,22.76,22.889999,23700,22.889999
2016-07-18,22.360001,23.25,22.16,22.99,34100,22.99
2016-07-15,23.360001,23.360001,22.25,22.43,38400,22.43
2016-07-14,23.370001,23.59,23.110001,23.23,28000,23.23
2016-07-13,23.15,23.379999,22.639999,22.73,27600,22.73
2016-07-12,23.27,23.32,22.870001,23.139999,33500,23.139999
2016-07-11,22.049999,23.02,22.049999,22.76,31200,22.76
2016-07-08,21.049999,22.09,21.049999,21.77,40400,21.77
2016-07-07,20.790001,21.030001,20.620001,20.940001,38800,20.940001
2016-07-06,20.33,20.75,20.299999,20.700001,29300,20.700001
2016-07-05,20.85,20.940001,20.219999,20.389999,38700,20.389999
2016-07-01,20.799999,21.15,20.799999,21.09,21000,21.09
2016-06-30,20.559999,20.870001,20.40,20.790001,30900,20.790001
2016-06-29,20.32,20.700001,20.32,20.59,35600,20.59
2016-06-28,19.959999,20.68,19.959999,20.18,41000,20.18
2016-06-27,20.299999,20.299999,19.65,19.84,29500,19.84
2016-06-24,20.90,21.280001,20.379999,20.50,557900,20.50
2016-06-23,21.469999,21.799999,21.25,21.620001,47800,21.620001
2016-06-22,21.299999,21.809999,21.120001,21.40,35200,21.40
2016-06-21,21.51,21.549999,21.120001,21.25,29700,21.25
2016-06-20,20.82,21.860001,19.879999,21.51,35300,21.51
2016-06-17,20.950001,21.700001,20.629999,20.91,23800,20.91
2016-06-16,20.700001,21.280001,20.459999,21.18,16200,21.18
2016-06-15,21.25,21.299999,20.190001,20.98,14100,20.98
2016-06-14,20.549999,21.25,20.32,21.24,24500,21.24
2016-06-13,20.40,21.41,20.40,21.120001,21700,21.120001
2016-06-10,20.540001,20.67,20.23,20.459999,11200,20.459999
2016-06-09,21.139999,21.139999,19.27,20.73,2600,20.73
2016-06-08,21.07,21.57,20.950001,21.370001,15200,21.370001
2016-06-07,21.030001,21.040001,21.00,21.00,2100,21.00
2016-06-06,20.959999,21.440001,20.73,21.389999,17700,21.389999
2016-06-03,20.709999,20.889999,20.559999,20.559999,6000,20.559999
2016-06-02,20.92,20.93,20.57,20.75,10400,20.75
2016-06-01,20.99,21.110001,20.82,20.98,9900,20.98
2016-05-31,20.969999,21.370001,20.93,21.08,5300,21.08
2016-05-27,21.00,21.059999,20.889999,21.049999,4600,21.049999
2016-05-26,20.790001,21.01,20.60,20.84,10300,20.84
2016-05-25,20.459999,20.98,20.459999,20.90,10100,20.90
2016-05-24,19.700001,20.719999,19.700001,20.540001,10700,20.540001
2016-05-23,19.809999,19.92,19.66,19.73,8200,19.73
2016-05-20,19.629999,19.85,19.57,19.690001,3200,19.690001
2016-05-19,19.51,19.629999,19.51,19.610001,2400,19.610001
2016-05-18,19.799999,20.25,19.50,19.65,9700,19.65
2016-05-17,19.209999,20.25,19.209999,19.780001,6400,19.780001
2016-05-16,19.299999,19.299999,19.059999,19.219999,4500,19.219999
2016-05-13,18.57,19.17,18.57,18.959999,9000,18.959999
2016-05-12,18.809999,19.309999,18.809999,18.82,7100,18.82
2016-05-11,19.24,19.35,19.01,19.030001,9100,19.030001
2016-05-10,18.879999,19.629999,18.809999,19.59,5600,19.59
