Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,14.83,14.83,14.75,14.75,37700,14.75
2016-10-06,14.82,14.82,14.82,14.82,100,14.82
2016-10-05,14.81,14.82,14.80,14.81,4300,14.81
2016-10-04,14.53,14.86,14.53,14.80,5100,14.80
2016-10-03,14.70,14.77,14.70,14.77,3900,14.77
2016-09-30,14.62,14.85,14.54,14.78,5800,14.78
2016-09-29,14.87,14.87,14.60,14.69,1700,14.69
2016-09-28,14.93,14.93,14.80,14.83,26200,14.83
2016-09-27,14.75,14.78,14.611,14.655,42700,14.655
2016-09-26,14.74,14.74,14.73,14.74,3500,14.74
2016-09-23,14.74,14.81,14.74,14.76,3800,14.76
2016-09-22,14.70,14.85,14.70,14.75,13000,14.75
2016-09-21,14.698,14.70,14.57,14.70,3700,14.70
2016-09-20,14.55,14.70,14.55,14.70,1700,14.70
2016-09-19,14.58,14.70,14.58,14.68,10500,14.68
2016-09-16,14.63,14.67,14.584,14.65,2600,14.65
2016-09-15,14.70,14.70,14.63,14.66,1600,14.66
2016-09-14,14.496,14.67,14.496,14.67,2800,14.67
2016-09-13,14.59,14.70,14.59,14.65,7600,14.65
2016-09-12,14.55,14.60,14.55,14.56,4000,14.56
2016-09-09,14.56,14.62,14.55,14.62,11100,14.62
2016-09-08,14.683,14.683,14.60,14.625,3300,14.625
2016-09-07,14.51,14.70,14.50,14.65,5800,14.65
2016-09-06,14.58,14.74,14.385,14.61,12200,14.61
2016-09-02,14.523,14.523,14.502,14.502,1100,14.502
2016-09-01,14.54,14.55,14.468,14.498,2300,14.498
2016-08-31,14.37,14.55,14.37,14.55,1800,14.55
2016-08-30,14.55,14.55,14.55,14.55,000,14.55
2016-08-29,14.55,14.55,14.55,14.55,000,14.55
2016-08-26,14.50,14.55,14.50,14.55,13300,14.55
2016-08-25,14.50,14.50,14.50,14.50,1100,14.50
2016-08-24,14.46,14.46,14.46,14.46,000,14.46
2016-08-23,14.413,14.481,14.413,14.46,2400,14.46
2016-08-22,14.45,14.48,14.432,14.432,2400,14.432
2016-08-19,14.39,14.45,14.39,14.433,10100,14.433
2016-08-18,14.25,14.44,14.25,14.44,1900,14.44
2016-08-17,14.20,14.25,14.20,14.23,4000,14.23
2016-08-16,14.27,14.28,14.10,14.19,7300,14.19
2016-08-15,14.06,14.16,13.99,14.00,4200,14.00
2016-08-12,14.114,14.132,14.05,14.05,2100,14.05
2016-08-11,14.13,14.18,14.10,14.13,2100,14.13
2016-08-10,14.30,14.30,14.11,14.11,700,14.11
2016-08-09,14.45,14.45,14.29,14.29,1200,14.29
2016-08-08,14.44,14.49,14.255,14.42,3200,14.42
2016-08-05,14.19,14.19,14.19,14.19,000,14.19
2016-08-04,14.17,14.37,14.02,14.19,4500,14.19
2016-08-03,14.215,14.27,14.215,14.27,400,14.27
2016-08-02,14.34,14.34,14.34,14.34,000,14.34
2016-08-01,14.20,14.395,14.17,14.34,3200,14.34
