Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,45.16,45.16,44.220001,44.810001,684700,44.810001
2016-10-06,44.990002,45.23,44.630001,45.110001,335200,45.110001
2016-10-05,44.740002,45.360001,44.610001,45.049999,498200,45.049999
2016-10-04,45.169998,45.240002,44.380001,44.59,698400,44.59
2016-10-03,45.450001,45.77,45.150002,45.240002,521600,45.240002
2016-09-30,45.43,45.98,45.02,45.610001,635500,45.610001
2016-09-29,46.110001,46.27,45.029999,45.110001,522800,45.110001
2016-09-28,46.040001,47.080002,45.450001,46.240002,600200,46.240002
2016-09-27,45.369999,46.060001,45.09,46.00,681400,46.00
2016-09-26,45.66,46.009998,45.32,45.380001,510400,45.380001
2016-09-23,46.299999,46.790001,46.060001,46.080002,365700,46.080002
2016-09-22,46.299999,47.68,46.150002,46.619999,545700,46.619999
2016-09-21,45.77,46.209999,45.419998,46.029999,359600,46.029999
2016-09-20,45.959999,45.959999,45.310001,45.610001,532100,45.610001
2016-09-19,45.66,46.189999,45.490002,45.599998,730000,45.599998
2016-09-16,45.34,45.669998,44.970001,45.389999,1284100,45.389999
2016-09-15,44.709999,45.650002,44.66,45.540001,668900,45.540001
2016-09-14,44.799999,45.009998,44.369999,44.700001,377400,44.700001
2016-09-13,44.549999,44.950001,44.299999,44.700001,692500,44.700001
2016-09-12,43.84,45.150002,42.900002,45.049999,672100,45.049999
2016-09-09,45.279999,45.419998,44.110001,44.130001,832600,44.130001
2016-09-08,45.669998,45.779999,45.25,45.650002,534900,45.650002
2016-09-07,45.650002,46.00,45.549999,45.700001,560400,45.700001
2016-09-06,46.00,46.080002,45.59,45.689999,530600,45.689999
2016-09-02,46.029999,46.330002,45.610001,45.990002,801700,45.990002
2016-09-01,46.34,46.52,45.549999,45.82,937800,45.82
2016-08-31,46.299999,46.810001,45.950001,46.099998,578000,46.099998
2016-08-30,46.099998,46.43,45.880001,46.389999,472400,46.389999
2016-08-29,45.970001,46.349998,45.790001,45.950001,429700,45.950001
2016-08-26,46.34,46.34,45.599998,45.98,1117300,45.98
2016-08-25,45.990002,46.459999,45.23,46.189999,620300,46.189999
2016-08-24,46.279999,46.689999,45.939999,46.040001,349800,46.040001
2016-08-23,45.98,46.50,45.779999,46.380001,657000,46.380001
2016-08-22,45.75,45.93,45.439999,45.869999,397000,45.869999
2016-08-19,45.75,45.970001,45.18,45.939999,667400,45.939999
2016-08-18,46.369999,46.59,45.560001,45.990002,557000,45.990002
2016-08-17,46.130001,46.389999,45.98,46.279999,291200,46.279999
2016-08-16,46.470001,46.709999,46.080002,46.299999,496300,46.299999
