Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.50,0.50,0.44,0.49,23100,0.49
2016-10-06,0.481,0.509,0.481,0.509,4500,0.509
2016-10-05,0.50,0.51,0.481,0.507,18500,0.507
2016-10-04,0.49,0.52,0.48,0.50,33700,0.50
2016-10-03,0.488,0.488,0.487,0.488,3100,0.488
2016-09-30,0.507,0.507,0.485,0.50,28300,0.50
2016-09-29,0.503,0.51,0.48,0.50,10100,0.50
2016-09-28,0.528,0.528,0.48,0.483,30100,0.483
2016-09-27,0.50,0.52,0.495,0.50,18400,0.50
2016-09-26,0.54,0.54,0.505,0.515,23400,0.515
2016-09-23,0.52,0.53,0.51,0.52,50400,0.52
2016-09-22,0.51,0.519,0.491,0.505,8200,0.505
2016-09-21,0.50,0.52,0.50,0.52,25600,0.52
2016-09-20,0.484,0.50,0.48,0.50,2500,0.50
2016-09-19,0.507,0.516,0.49,0.50,5800,0.50
2016-09-16,0.472,0.519,0.472,0.492,34500,0.492
2016-09-15,0.502,0.52,0.47,0.471,63400,0.471
2016-09-14,0.49,0.49,0.471,0.479,42800,0.479
2016-09-13,0.55,0.55,0.49,0.51,9800,0.51
2016-09-12,0.49,0.54,0.49,0.53,2600,0.53
2016-09-09,0.523,0.529,0.50,0.52,2600,0.52
2016-09-08,0.55,0.55,0.503,0.52,27200,0.52
2016-09-07,0.522,0.53,0.52,0.53,9500,0.53
2016-09-06,0.51,0.547,0.471,0.51,45800,0.51
2016-09-02,0.486,0.52,0.485,0.52,11300,0.52
2016-09-01,0.468,0.51,0.457,0.482,22000,0.482
2016-08-31,0.484,0.50,0.47,0.47,54900,0.47
2016-08-30,0.539,0.55,0.426,0.47,51100,0.47
2016-08-29,0.515,0.55,0.48,0.513,14100,0.513
2016-08-26,0.55,0.55,0.482,0.50,52600,0.50
2016-08-25,0.56,0.56,0.50,0.542,10700,0.542
2016-08-24,0.514,0.562,0.46,0.532,16900,0.532
2016-08-23,0.509,0.57,0.509,0.53,50100,0.53
2016-08-22,0.514,0.525,0.50,0.525,68900,0.525
2016-08-19,0.501,0.52,0.45,0.491,66600,0.491
2016-08-18,0.451,0.495,0.451,0.47,40000,0.47
2016-08-17,0.48,0.50,0.46,0.465,45600,0.465
2016-08-16,0.48,0.529,0.435,0.516,93400,0.516
2016-08-15,0.51,0.528,0.47,0.49,58500,0.49
2016-08-12,0.50,0.531,0.50,0.51,42800,0.51
2016-08-11,0.535,0.59,0.502,0.502,75600,0.502
2016-08-10,0.525,0.63,0.525,0.552,365400,0.552
2016-08-09,0.52,0.545,0.50,0.53,73100,0.53
2016-08-08,0.51,0.55,0.50,0.51,57800,0.51
2016-08-05,0.49,0.51,0.485,0.497,27800,0.497
2016-08-04,0.486,0.51,0.485,0.485,13200,0.485
2016-08-03,0.518,0.518,0.491,0.491,8400,0.491
2016-08-02,0.49,0.52,0.466,0.49,40000,0.49
2016-08-01,0.50,0.50,0.45,0.50,37800,0.50
2016-07-29,0.50,0.53,0.46,0.49,19300,0.49
2016-07-28,0.53,0.546,0.50,0.52,62900,0.52
2016-07-27,0.51,0.53,0.43,0.52,240700,0.52
2016-07-26,0.49,0.53,0.47,0.50,89300,0.50
2016-07-25,0.50,0.53,0.48,0.482,57700,0.482
2016-07-22,0.55,0.55,0.481,0.50,55200,0.50
2016-07-21,0.47,0.60,0.448,0.526,623300,0.526
2016-07-20,0.49,0.49,0.442,0.46,2400,0.46
2016-07-19,0.475,0.475,0.42,0.44,26800,0.44
2016-07-18,0.44,0.46,0.406,0.43,43700,0.43
2016-07-15,0.47,0.476,0.44,0.442,28200,0.442
2016-07-14,0.47,0.50,0.441,0.46,33200,0.46
2016-07-13,0.504,0.504,0.45,0.46,32200,0.46
2016-07-12,0.52,0.52,0.44,0.52,56800,0.52
2016-07-11,0.50,0.548,0.48,0.51,54000,0.51
2016-07-08,0.44,0.50,0.42,0.50,36600,0.50
2016-07-07,0.475,0.489,0.438,0.454,32700,0.454
2016-07-06,0.43,0.49,0.43,0.49,113600,0.49
2016-07-05,0.41,0.45,0.40,0.405,13100,0.405
2016-07-01,0.455,0.46,0.42,0.42,28600,0.42
2016-06-30,0.45,0.46,0.40,0.425,67900,0.425
2016-06-29,0.498,0.499,0.44,0.45,20500,0.45
2016-06-28,0.426,0.49,0.426,0.49,9500,0.49
2016-06-27,0.46,0.49,0.46,0.462,30900,0.462
2016-06-24,0.50,0.51,0.45,0.49,30900,0.49
2016-06-23,0.454,0.488,0.44,0.478,1400,0.478
2016-06-22,0.44,0.47,0.44,0.454,16400,0.454
2016-06-21,0.488,0.50,0.45,0.45,1500,0.45
2016-06-20,0.48,0.48,0.43,0.465,40200,0.465
2016-06-17,0.50,0.50,0.47,0.47,63800,0.47
2016-06-16,0.53,0.569,0.50,0.508,36400,0.508
2016-06-15,0.57,0.598,0.492,0.511,18300,0.511
2016-06-14,0.54,0.546,0.53,0.546,16200,0.546
2016-06-13,0.565,0.59,0.54,0.54,6900,0.54
2016-06-10,0.56,0.568,0.55,0.55,11100,0.55
2016-06-09,0.57,0.59,0.532,0.57,2500,0.57
2016-06-08,0.611,0.635,0.55,0.58,28800,0.58
2016-06-07,0.584,0.584,0.55,0.55,7400,0.55
2016-06-06,0.553,0.582,0.55,0.582,32600,0.582
2016-06-03,0.577,0.59,0.55,0.56,22800,0.56
2016-06-02,0.567,0.63,0.546,0.57,31700,0.57
2016-06-01,0.58,0.58,0.55,0.56,10800,0.56
2016-05-31,0.61,0.61,0.57,0.59,13800,0.59
2016-05-27,0.608,0.61,0.57,0.61,7700,0.61
2016-05-26,0.65,0.65,0.57,0.59,35100,0.59
2016-05-25,0.572,0.60,0.56,0.60,20400,0.60
2016-05-24,0.55,0.60,0.51,0.59,24500,0.59
2016-05-23,0.55,0.56,0.496,0.52,43500,0.52
2016-05-20,0.59,0.59,0.48,0.496,164600,0.496
2016-05-19,0.619,0.619,0.57,0.571,21100,0.571
