Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,13.15,13.20,13.09,13.09,8300,13.09
2016-10-06,13.15,13.21,13.04,13.18,3400,13.18
2016-10-05,13.21,13.24,13.15,13.20,8500,13.20
2016-10-04,13.19,13.25,13.14,13.19,14200,13.19
2016-10-03,13.17,13.23,13.15,13.19,12100,13.19
2016-09-30,13.21,13.25,13.12,13.20,16100,13.20
2016-09-29,13.24,13.24,13.07,13.16,19800,13.16
2016-09-28,13.17,13.25,13.17,13.19,10900,13.19
2016-09-27,13.15,13.24,13.09,13.21,9000,13.21
2016-09-26,13.23,13.24,13.13,13.18,7000,13.18
2016-09-23,13.22,13.32,13.19,13.21,8400,13.21
2016-09-22,13.25,13.30,13.18,13.25,15400,13.25
2016-09-21,13.20,13.25,13.12,13.25,7400,13.25
2016-09-20,13.10,13.25,13.05,13.12,15500,13.12
2016-09-19,13.23,13.23,13.03,13.07,10400,13.07
2016-09-16,13.25,13.25,13.11,13.14,39300,13.14
2016-09-15,13.01,13.25,13.01,13.25,6300,13.25
2016-09-14,13.02,13.15,13.02,13.10,6800,13.10
2016-09-13,13.11,13.11,13.00,13.05,20600,13.05
2016-09-12,12.94,13.13,12.84,13.13,25100,13.13
2016-09-09,12.78,13.08,12.78,12.93,13300,12.93
2016-09-08,13.37,13.38,12.99,13.08,13100,13.08
2016-09-07,13.25,13.25,13.02,13.23,19100,13.23
2016-09-06,13.40,13.40,13.19,13.24,12400,13.24
2016-09-02,13.52,13.52,13.31,13.46,15000,13.46
2016-09-01,13.45,13.47,13.36,13.47,6900,13.47
2016-08-31,13.31,13.50,13.31,13.47,10700,13.47
2016-08-30,13.55,13.62,13.44,13.45,6000,13.45
2016-08-29,13.40,13.54,13.35,13.45,8500,13.45
2016-08-26,13.45,13.57,13.40,13.43,4900,13.43
2016-08-25,13.45,13.54,13.45,13.50,7300,13.50
2016-08-24,13.61,13.61,13.28,13.48,9700,13.48
2016-08-23,13.45,13.63,13.40,13.51,10300,13.51
2016-08-22,13.39,13.50,13.35,13.49,6300,13.49
2016-08-19,13.35,13.48,13.27,13.42,19400,13.42
2016-08-18,13.23,13.35,13.13,13.34,7400,13.34
2016-08-17,13.45,13.45,13.14,13.23,7300,13.23
2016-08-16,13.29,13.38,13.13,13.19,13400,13.19
2016-08-15,13.28,13.42,13.23,13.31,7300,13.31
2016-08-12,13.17,13.27,13.17,13.25,8900,13.25
2016-08-11,13.22,13.25,13.21,13.23,6400,13.23
2016-08-10,13.23,13.24,13.20,13.20,2900,13.20
2016-08-09,13.07,13.25,13.02,13.24,24000,13.24
2016-08-08,13.15,13.15,12.98,13.02,6500,13.02
2016-08-05,13.10,13.15,13.07,13.11,15000,13.11
2016-08-04,13.10,13.22,13.07,13.10,4700,13.10
2016-08-03,13.16,13.22,13.13,13.21,5200,13.17
2016-08-02,13.17,13.23,12.89,13.13,6400,13.090242
2016-08-01,13.29,13.29,13.14,13.21,10500,13.17
2016-07-29,13.40,13.40,13.33,13.37,21200,13.329515
2016-07-28,13.47,13.72,13.41,13.50,16700,13.459122
2016-07-27,13.38,13.47,13.29,13.41,20800,13.369394
2016-07-26,13.40,13.49,13.34,13.44,31900,13.399303
2016-07-25,13.44,13.55,13.35,13.41,19300,13.369394
2016-07-22,13.39,13.56,13.39,13.48,7600,13.439182
