Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.48,8.48,8.28,8.41,28800,8.41
2016-10-06,8.64,8.64,8.40,8.48,38000,8.48
2016-10-05,8.64,8.66,8.52,8.64,28500,8.64
2016-10-04,8.78,8.78,8.58,8.61,15300,8.61
2016-10-03,8.88,8.89,8.57,8.89,37500,8.89
2016-09-30,8.98,9.18,8.76,8.82,101100,8.82
2016-09-29,8.60,8.93,8.55,8.82,62500,8.82
2016-09-28,8.78,9.19,8.58,8.76,109600,8.76
2016-09-27,8.72,8.90,8.49,8.86,60000,8.86
2016-09-26,8.52,8.62,8.50,8.53,4400,8.53
2016-09-23,8.81,8.81,8.60,8.61,2700,8.61
2016-09-22,8.42,8.90,8.32,8.87,26900,8.87
2016-09-21,8.55,8.64,8.21,8.37,28800,8.37
2016-09-20,8.75,8.75,8.43,8.53,15000,8.53
2016-09-19,8.77,8.78,8.66,8.70,9900,8.70
2016-09-16,8.73,8.79,8.70,8.79,18700,8.79
2016-09-15,8.68,8.86,8.62,8.76,41000,8.76
2016-09-14,8.88,8.88,8.62,8.64,16100,8.64
2016-09-13,9.06,9.15,8.71,8.76,35500,8.76
2016-09-12,8.86,9.24,8.63,9.21,25700,9.21
2016-09-09,9.08,9.15,8.81,8.92,22900,8.92
2016-09-08,9.17,9.20,9.06,9.15,24800,9.15
2016-09-07,9.14,9.20,9.09,9.18,24300,9.18
2016-09-06,9.00,9.19,8.98,9.14,28800,9.14
2016-09-02,8.86,9.07,8.70,9.02,36100,9.02
2016-09-01,8.59,8.85,8.55,8.85,27000,8.85
2016-08-31,8.68,8.69,8.25,8.62,13200,8.62
2016-08-30,8.27,8.86,8.26,8.68,60200,8.68
2016-08-29,8.20,8.33,8.18,8.31,17800,8.31
2016-08-26,8.15,8.23,8.03,8.19,5200,8.19
2016-08-25,8.04,8.25,8.01,8.12,12300,8.12
2016-08-24,8.22,8.22,8.00,8.05,22800,8.05
2016-08-23,7.97,8.22,7.93,8.19,36300,8.19
2016-08-22,8.08,8.19,7.90,8.00,28800,8.00
2016-08-19,8.22,8.24,8.10,8.17,24400,8.17
2016-08-18,8.19,8.30,8.15,8.20,19000,8.20
2016-08-17,8.28,8.28,8.05,8.15,16200,8.15
2016-08-16,8.26,8.27,8.20,8.24,23700,8.24
2016-08-15,8.20,8.22,8.01,8.22,17900,8.22
2016-08-12,8.20,8.22,8.09,8.19,24500,8.19
2016-08-11,8.30,8.32,8.20,8.25,14400,8.25
2016-08-10,8.30,8.34,8.18,8.28,29900,8.28
2016-08-09,8.18,8.29,8.17,8.28,12200,8.28
2016-08-08,8.24,8.33,8.21,8.26,36700,8.21
2016-08-05,8.18,8.24,8.01,8.23,21200,8.180181
2016-08-04,8.24,8.24,8.06,8.16,34000,8.110605
2016-08-03,8.00,8.24,7.98,8.17,31700,8.120545
2016-08-02,8.08,8.08,8.00,8.03,21200,7.981392
2016-08-01,8.03,8.05,7.95,8.05,9200,8.001271
2016-07-29,7.97,8.07,7.93,8.01,14000,7.961514
2016-07-28,7.97,8.00,7.92,7.96,18500,7.911816
2016-07-27,8.04,8.06,7.87,7.92,13300,7.872058
2016-07-26,8.00,8.10,7.94,8.01,10200,7.961514
2016-07-25,8.03,8.06,7.91,7.98,16300,7.931695
2016-07-22,7.85,8.14,7.85,8.07,21500,8.02115
2016-07-21,8.00,8.02,7.84,7.89,19400,7.84224
2016-07-20,8.08,8.08,7.91,8.04,16700,7.991332
2016-07-19,7.79,8.19,7.78,8.02,33800,7.971453
2016-07-18,7.89,7.93,7.68,7.84,22900,7.792543
2016-07-15,7.93,7.93,7.44,7.81,106700,7.762724
2016-07-14,8.00,8.24,7.86,8.23,122800,8.180181
2016-07-13,7.96,7.97,7.74,7.77,47100,7.722966
2016-07-12,7.72,7.99,7.72,7.96,24900,7.911816
2016-07-11,7.77,7.98,7.63,7.68,14800,7.633511
2016-07-08,7.61,7.81,7.60,7.71,18300,7.663329
2016-07-07,7.54,7.56,7.48,7.53,14300,7.484419
2016-07-06,7.55,7.65,7.50,7.52,8400,7.474479
2016-07-05,7.48,7.55,7.42,7.55,8200,7.504298
2016-07-01,7.54,7.80,7.47,7.49,19700,7.444661
2016-06-30,7.18,7.58,7.18,7.56,27700,7.514237
2016-06-29,7.30,7.51,7.15,7.24,38500,7.196174
2016-06-28,7.00,7.25,6.93,7.22,23700,7.176295
2016-06-27,6.74,7.02,6.74,7.00,24000,6.957627
