Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,24.879999,24.93,24.440001,24.639999,284800,24.639999
2016-10-06,25.09,25.280001,24.84,24.85,312100,24.85
2016-10-05,24.74,25.52,24.67,25.139999,406300,25.139999
2016-10-04,24.66,24.82,24.540001,24.74,256000,24.74
2016-10-03,25.08,25.190001,24.530001,24.629999,427200,24.629999
2016-09-30,24.379999,25.209999,24.27,25.09,431000,25.09
2016-09-29,24.530001,24.77,23.91,24.17,346800,24.17
2016-09-28,24.139999,24.709999,24.08,24.65,279000,24.65
2016-09-27,23.780001,24.290001,23.74,24.18,307000,24.18
2016-09-26,24.190001,24.190001,23.17,23.82,246300,23.82
2016-09-23,24.73,24.790001,23.51,24.24,239400,24.24
2016-09-22,25.00,25.360001,24.700001,24.799999,368100,24.799999
2016-09-21,24.74,24.950001,24.219999,24.879999,266200,24.879999
2016-09-20,24.879999,24.969999,24.469999,24.73,353200,24.73
2016-09-19,24.879999,25.16,24.60,24.76,291600,24.76
2016-09-16,24.51,24.75,23.799999,24.65,372000,24.65
2016-09-15,23.77,24.82,23.719999,24.40,267800,24.40
2016-09-14,23.450001,23.950001,23.450001,23.790001,353200,23.790001
2016-09-13,23.76,23.93,23.040001,23.35,429300,23.35
2016-09-12,23.719999,23.959999,23.610001,23.93,372100,23.93
2016-09-09,24.57,24.90,23.690001,23.690001,396600,23.690001
2016-09-08,24.620001,25.040001,24.49,24.82,410400,24.82
2016-09-07,24.57,24.940001,24.42,24.780001,580800,24.780001
2016-09-06,25.01,25.049999,24.52,24.57,193000,24.57
2016-09-02,24.84,25.02,24.60,24.860001,150300,24.860001
2016-09-01,24.57,24.809999,24.07,24.690001,294100,24.690001
2016-08-31,24.950001,25.129999,24.469999,24.610001,191200,24.610001
2016-08-30,25.129999,25.389999,24.73,24.90,257400,24.90
2016-08-29,25.10,25.50,25.00,25.120001,140600,25.120001
2016-08-26,24.629999,24.99,24.389999,24.950001,258700,24.950001
2016-08-25,24.48,25.040001,24.379999,24.67,301700,24.67
2016-08-24,24.940001,25.27,24.450001,24.610001,301600,24.610001
2016-08-23,25.09,25.219999,24.99,25.01,155100,25.01
2016-08-22,24.99,25.309999,24.59,25.049999,169900,25.049999
2016-08-19,25.26,25.26,24.58,24.91,402900,24.91
2016-08-18,24.84,25.50,24.52,25.26,377300,25.26
2016-08-17,24.74,24.98,24.43,24.780001,294700,24.780001
2016-08-16,25.040001,25.10,24.780001,24.82,312700,24.82
2016-08-15,24.950001,25.219999,24.93,25.209999,218700,25.209999
2016-08-12,25.52,25.530001,24.49,24.93,657900,24.93
2016-08-11,23.84,25.809999,23.540001,25.389999,1871800,25.389999
2016-08-10,24.110001,24.110001,23.50,23.68,415600,23.68
2016-08-09,23.35,24.10,23.27,24.030001,449100,24.030001
2016-08-08,23.51,24.34,23.01,24.01,550000,24.01
2016-08-05,24.26,24.68,23.18,23.58,973800,23.58
2016-08-04,23.65,24.23,23.34,24.16,682900,24.16
2016-08-03,23.77,24.50,23.459999,23.67,1108000,23.67
2016-08-02,22.959999,23.75,22.66,23.09,685300,23.09
2016-08-01,23.290001,23.48,22.940001,23.16,372000,23.16
2016-07-29,22.50,24.08,22.190001,23.18,1035700,23.18
2016-07-28,21.379999,21.92,21.049999,21.469999,568100,21.469999
2016-07-27,21.99,22.049999,21.360001,21.43,631800,21.43
2016-07-26,21.690001,22.08,21.629999,21.950001,260700,21.950001
2016-07-25,21.879999,21.93,21.530001,21.67,216300,21.67
2016-07-22,21.49,21.90,21.34,21.780001,316600,21.780001
2016-07-21,21.51,21.92,21.120001,21.450001,547800,21.450001
2016-07-20,20.559999,21.60,20.540001,21.49,525600,21.49
2016-07-19,20.48,20.809999,20.299999,20.43,234200,20.43
2016-07-18,20.629999,20.719999,20.35,20.51,237900,20.51
2016-07-15,20.639999,20.66,20.389999,20.459999,292800,20.459999
2016-07-14,20.719999,20.790001,20.370001,20.48,436000,20.48
2016-07-13,20.709999,20.75,20.209999,20.50,730800,20.50
2016-07-12,20.41,20.719999,20.209999,20.559999,320300,20.559999
2016-07-11,20.32,20.66,20.219999,20.360001,260100,20.360001
2016-07-08,20.00,20.42,19.879999,20.24,596600,20.24
2016-07-07,19.85,20.129999,19.76,19.940001,459600,19.940001
2016-07-06,19.08,20.219999,19.07,19.76,543400,19.76
2016-07-05,19.389999,19.440001,19.030001,19.25,407600,19.25
2016-07-01,18.67,19.52,18.559999,19.469999,489300,19.469999
2016-06-30,18.27,18.73,17.950001,18.709999,533700,18.709999
2016-06-29,17.889999,18.33,17.76,18.32,423800,18.32
2016-06-28,16.950001,17.870001,16.83,17.780001,603500,17.780001
2016-06-27,17.84,17.84,16.84,16.870001,776000,16.870001
2016-06-24,17.620001,18.08,17.59,17.92,540000,17.92
2016-06-23,18.08,18.620001,17.52,18.40,692100,18.40
2016-06-22,18.51,18.51,17.91,17.969999,478900,17.969999
2016-06-21,18.91,18.91,18.18,18.51,301100,18.51
2016-06-20,18.43,19.059999,18.389999,18.83,384900,18.83
2016-06-17,18.65,18.809999,18.129999,18.16,520600,18.16
2016-06-16,18.459999,18.82,17.82,18.690001,528100,18.690001
2016-06-15,19.040001,19.059999,18.49,18.60,601600,18.60
2016-06-14,19.09,19.25,18.200001,18.879999,665100,18.879999
2016-06-13,19.43,19.950001,19.18,19.200001,408300,19.200001
2016-06-10,19.75,19.92,19.389999,19.459999,293400,19.459999
2016-06-09,19.98,20.469999,19.68,19.82,383900,19.82
2016-06-08,19.17,19.860001,18.700001,19.799999,708200,19.799999
2016-06-07,18.969999,19.40,18.35,19.17,1042500,19.17
2016-06-06,19.040001,19.17,19.040001,19.09,466800,19.09
2016-06-03,19.299999,19.60,19.00,19.129999,440700,19.129999
2016-06-02,18.91,19.51,18.85,19.42,454500,19.42
2016-06-01,18.33,18.92,18.200001,18.91,391900,18.91
2016-05-31,18.440001,18.57,18.23,18.32,223500,18.32
2016-05-27,18.18,18.65,17.799999,18.42,349300,18.42
2016-05-26,18.209999,18.40,17.969999,18.110001,370700,18.110001
2016-05-25,18.440001,18.48,18.01,18.200001,368500,18.200001
2016-05-24,17.709999,18.200001,17.52,18.120001,760500,18.120001
2016-05-23,16.690001,17.77,16.559999,17.67,1047400,17.67
2016-05-20,16.530001,16.76,16.43,16.629999,1364000,16.629999
2016-05-19,16.76,16.92,16.459999,16.49,529000,16.49
2016-05-18,17.309999,17.389999,16.610001,16.77,719400,16.77
2016-05-17,17.43,17.99,17.07,17.34,1098700,17.34
2016-05-16,17.57,17.90,17.379999,17.41,750000,17.41
2016-05-13,17.50,17.860001,17.26,17.49,512100,17.49
2016-05-12,18.360001,18.49,17.209999,17.549999,465500,17.549999
2016-05-11,18.34,18.73,18.190001,18.26,447000,18.26
2016-05-10,18.290001,18.540001,18.10,18.33,326500,18.33
2016-05-09,18.00,18.32,17.82,18.209999,499900,18.209999
2016-05-06,18.049999,18.389999,17.809999,17.950001,414800,17.950001
2016-05-05,18.299999,18.49,17.870001,18.190001,592700,18.190001
2016-05-04,17.85,18.40,17.68,18.27,750300,18.27
2016-05-03,18.030001,18.09,17.719999,17.84,680300,17.84
2016-05-02,17.17,18.16,16.940001,18.01,1018400,18.01
2016-04-29,17.110001,18.290001,16.25,17.00,1337100,17.00
2016-04-28,17.67,18.07,16.620001,16.68,1592600,16.68
2016-04-27,16.90,18.10,16.870001,18.059999,1017100,18.059999
2016-04-26,17.50,17.66,15.69,16.91,1835700,16.91
2016-04-25,17.76,18.209999,17.610001,17.950001,1397200,17.950001
2016-04-22,17.389999,18.059999,17.389999,17.75,418700,17.75
2016-04-21,17.059999,17.58,16.82,17.370001,509600,17.370001
2016-04-20,17.09,17.200001,16.85,17.00,432300,17.00
2016-04-19,17.17,17.709999,16.969999,17.00,1127400,17.00
2016-04-18,16.82,17.200001,16.719999,17.09,492700,17.09
2016-04-15,16.799999,17.01,16.559999,16.790001,600600,16.790001
2016-04-14,16.209999,16.940001,16.120001,16.809999,464800,16.809999
2016-04-13,15.32,16.309999,15.28,16.18,696200,16.18
2016-04-12,14.62,15.19,14.52,15.17,321700,15.17
2016-04-11,14.97,15.17,14.58,14.68,245200,14.68
2016-04-08,15.03,15.39,14.82,14.93,489100,14.93
2016-04-07,14.66,15.12,14.44,14.94,348400,14.94
2016-04-06,14.48,14.79,14.37,14.74,460800,14.74
2016-04-05,15.20,15.42,14.49,14.50,455500,14.50
2016-04-04,14.99,15.84,14.90,15.34,786600,15.34
2016-04-01,14.50,14.96,14.10,14.90,639100,14.90
2016-03-31,14.36,14.97,14.36,14.52,743600,14.52
2016-03-30,15.02,15.13,14.24,14.38,651100,14.38
2016-03-29,14.31,15.10,14.22,14.90,552500,14.90
2016-03-28,13.94,14.59,13.81,14.40,393400,14.40
2016-03-24,13.79,13.91,13.40,13.85,317300,13.85
2016-03-23,14.73,14.82,13.73,13.94,310000,13.94
2016-03-22,14.90,15.00,14.24,14.81,219500,14.81
2016-03-21,14.42,15.24,14.42,14.92,461000,14.92
2016-03-18,14.13,14.55,14.01,14.52,280000,14.52
2016-03-17,14.10,14.10,13.40,14.05,340400,14.05
2016-03-16,14.39,14.53,13.90,14.08,246000,14.08
2016-03-15,14.79,14.98,14.46,14.50,304000,14.50
2016-03-14,14.76,15.07,14.62,14.84,460000,14.84
2016-03-11,14.58,14.92,14.55,14.85,293700,14.85
2016-03-10,14.91,14.99,14.18,14.49,546500,14.49
2016-03-09,15.27,15.34,14.77,14.90,620900,14.90
2016-03-08,15.89,16.01,15.21,15.27,432800,15.27
2016-03-07,15.66,16.280001,15.30,15.94,427400,15.94
2016-03-04,15.15,15.82,15.05,15.68,633900,15.68
2016-03-03,14.64,15.45,14.59,15.22,419200,15.22
2016-03-02,14.31,14.78,14.23,14.71,355300,14.71
