Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,28.99,29.08,28.75,28.82,138800,28.82
2016-10-06,28.98,29.07,28.85,28.99,108600,28.99
2016-10-05,29.01,29.110001,28.780001,28.99,132800,28.99
2016-10-04,28.549999,29.09,28.549999,28.860001,111100,28.860001
2016-10-03,28.780001,28.780001,28.18,28.620001,235600,28.620001
2016-09-30,28.50,29.030001,28.360001,28.92,224000,28.92
2016-09-29,28.68,28.74,28.360001,28.610001,157200,28.610001
2016-09-28,28.219999,28.76,28.139999,28.75,172900,28.75
2016-09-27,28.379999,28.799999,27.959999,28.27,225900,28.27
2016-09-26,28.620001,28.82,28.41,28.49,130100,28.49
2016-09-23,29.370001,29.370001,28.799999,28.809999,148600,28.809999
2016-09-22,29.190001,29.379999,28.969999,29.370001,266100,29.370001
2016-09-21,28.99,29.440001,28.799999,29.190001,142300,29.190001
2016-09-20,29.200001,29.43,28.67,28.889999,132900,28.889999
2016-09-19,29.459999,29.66,29.01,29.18,140300,29.18
2016-09-16,29.549999,29.90,29.129999,29.41,214100,29.41
2016-09-15,29.27,29.77,28.870001,29.59,268800,29.59
2016-09-14,29.700001,30.32,28.719999,29.389999,149500,29.389999
2016-09-13,30.040001,30.190001,29.73,29.75,162600,29.60
2016-09-12,30.059999,30.540001,30.059999,30.34,132300,30.187025
2016-09-09,31.10,31.299999,30.309999,30.34,106000,30.187025
2016-09-08,31.790001,32.060001,31.32,31.42,113100,31.26158
2016-09-07,32.209999,32.369999,31.41,31.959999,195500,31.798856
2016-09-06,32.889999,32.889999,32.16,32.360001,117400,32.196841
2016-09-02,32.139999,32.889999,31.76,32.860001,120600,32.69432
2016-09-01,32.110001,32.110001,31.610001,32.00,157200,31.838655
2016-08-31,32.490002,32.639999,31.809999,32.02,208400,31.858555
2016-08-30,32.299999,32.98,32.25,32.450001,186200,32.286387
2016-08-29,32.540001,32.77,32.18,32.419998,194300,32.256536
2016-08-26,32.880001,32.950001,32.349998,32.369999,161200,32.206789
2016-08-25,32.610001,32.93,32.400002,32.93,207400,32.763967
2016-08-24,32.630001,32.98,32.389999,32.689999,178800,32.525175
2016-08-23,32.060001,33.889999,31.860001,32.580002,350400,32.415733
2016-08-22,31.530001,31.889999,31.00,31.52,203500,31.361076
2016-08-19,31.73,31.799999,31.10,31.639999,149400,31.48047
2016-08-18,30.709999,32.290001,30.219999,31.809999,449300,31.649613
2016-08-17,30.139999,30.459999,29.379999,29.60,172100,29.450757
2016-08-16,30.620001,30.940001,30.01,30.15,161700,29.997983
2016-08-15,31.030001,31.469999,30.549999,30.700001,201700,30.545211
2016-08-12,30.74,31.030001,30.48,30.99,137500,30.833748
2016-08-11,31.280001,31.52,30.549999,30.84,252700,30.684504
2016-08-10,31.50,31.50,30.950001,31.27,72200,31.112337
2016-08-09,31.209999,31.57,31.00,31.459999,125000,31.301377
2016-08-08,31.120001,31.290001,30.67,31.219999,102500,31.062588
2016-08-05,30.469999,31.33,30.469999,31.290001,143700,31.132236
2016-08-04,30.24,31.09,30.049999,30.280001,88700,30.127328
2016-08-03,30.709999,30.709999,29.91,30.27,118800,30.117379
2016-08-02,31.450001,31.60,30.76,30.82,131200,30.664605
2016-08-01,31.42,33.00,31.07,31.52,234900,31.361076
2016-07-29,30.799999,31.50,30.57,31.50,163000,31.341176
2016-07-28,31.90,31.90,30.57,30.90,153000,30.744201
2016-07-27,31.690001,31.950001,31.49,31.950001,217700,31.788908
2016-07-26,31.309999,31.620001,31.27,31.559999,99400,31.400873
2016-07-25,31.00,31.41,30.629999,31.41,103700,31.25163
2016-07-22,30.84,31.15,30.530001,31.030001,61800,30.873547
2016-07-21,30.34,31.139999,30.34,30.82,71900,30.664605
2016-07-20,30.790001,31.129999,30.67,30.799999,69400,30.644705
2016-07-19,30.709999,30.940001,30.58,30.719999,71900,30.565109
2016-07-18,30.91,31.209999,30.65,30.75,107900,30.594958
2016-07-15,31.42,31.42,30.799999,30.84,103200,30.684504
2016-07-14,31.35,31.48,31.110001,31.219999,132900,31.062588
2016-07-13,31.049999,31.16,30.84,31.129999,135500,30.973041
2016-07-12,30.940001,31.32,30.799999,30.98,128200,30.823798
2016-07-11,31.00,31.24,30.809999,30.860001,130900,30.704404
2016-07-08,30.950001,31.34,30.75,30.92,274100,30.764101
2016-07-07,30.559999,30.790001,30.33,30.620001,99700,30.465614
2016-07-06,29.950001,30.620001,29.940001,30.530001,96500,30.376068
2016-07-05,30.17,30.48,29.75,30.23,178800,30.077579
2016-07-01,30.50,30.629999,30.17,30.290001,299300,30.137278
2016-06-30,29.09,30.58,28.969999,30.58,466000,30.425815
2016-06-29,28.65,28.90,27.82,28.889999,234300,28.744336
2016-06-28,28.23,28.790001,27.91,28.23,264800,28.087663
2016-06-27,28.35,28.459999,27.76,28.110001,253800,27.96827
2016-06-24,28.24,29.059999,27.610001,28.700001,297800,28.555295
2016-06-23,29.74,29.940001,29.379999,29.65,154600,29.500504
2016-06-22,29.77,29.82,29.27,29.309999,89000,29.162218
2016-06-21,29.50,29.799999,29.120001,29.77,125700,29.6199
2016-06-20,29.26,29.82,29.26,29.530001,178600,29.38111
2016-06-17,29.23,29.299999,28.610001,29.280001,275900,29.13237
2016-06-16,28.540001,29.15,28.34,29.139999,112900,28.993075
2016-06-15,28.780001,29.00,28.48,28.700001,118200,28.555295
2016-06-14,28.52,28.700001,28.09,28.639999,127900,28.495596
2016-06-13,28.959999,29.190001,28.639999,28.83,98300,28.535395
2016-06-10,29.51,29.66,29.00,29.110001,118800,28.812535
2016-06-09,29.49,29.68,29.33,29.620001,114600,29.317324
2016-06-08,29.940001,29.98,29.57,29.73,114300,29.426198
2016-06-07,29.950001,30.00,29.65,29.799999,121500,29.495483
2016-06-06,29.700001,30.01,29.209999,29.639999,152100,29.337118
2016-06-03,30.00,30.10,28.940001,29.469999,173200,29.168855
2016-06-02,29.639999,29.969999,29.34,29.940001,182600,29.634053
2016-06-01,29.51,29.940001,29.02,29.639999,1002600,29.337118
2016-05-31,28.49,29.790001,28.459999,29.709999,546300,29.406402
2016-05-27,27.10,28.32,27.01,28.030001,169900,27.743571
2016-05-26,28.379999,28.50,25.290001,27.139999,413100,26.862664
2016-05-25,27.58,28.02,27.48,27.860001,140200,27.575308
2016-05-24,26.969999,27.68,26.809999,27.459999,299000,27.179394
2016-05-23,27.98,28.08,26.83,26.92,237200,26.644913
2016-05-20,27.290001,27.90,26.889999,27.879999,170500,27.595102
2016-05-19,27.34,27.629999,26.84,27.10,196200,26.823074
2016-05-18,27.030001,27.540001,26.73,27.469999,222900,27.189292
2016-05-17,28.360001,28.68,26.98,27.129999,179800,26.852766
2016-05-16,28.030001,28.700001,27.610001,28.48,177500,28.188972
2016-05-13,28.200001,28.200001,27.57,27.950001,133000,27.664389
2016-05-12,28.50,28.74,27.52,28.26,193400,27.97122
2016-05-11,28.16,28.559999,27.90,28.42,186300,28.129585
2016-05-10,28.15,28.43,27.99,28.309999,174700,28.020709
2016-05-09,27.10,28.190001,26.84,28.09,163100,27.802957
2016-05-06,26.950001,27.450001,26.370001,27.120001,308700,26.84287
2016-05-05,27.030001,27.42,26.59,26.969999,165200,26.694402
2016-05-04,27.07,27.450001,26.84,26.85,156900,26.575629
2016-05-03,27.85,27.959999,27.00,27.15,93700,26.872562
2016-05-02,27.83,28.27,27.629999,28.120001,193000,27.832652
2016-04-29,27.98,28.059999,26.540001,27.700001,345800,27.416943
2016-04-28,27.969999,28.370001,27.85,28.10,151600,27.812855
2016-04-27,27.959999,29.02,27.459999,28.129999,160100,27.842548
2016-04-26,28.08,28.24,27.719999,28.030001,129400,27.743571
2016-04-25,27.41,28.120001,27.25,28.00,263700,27.713877
2016-04-22,27.799999,27.879999,27.33,27.48,161600,27.19919
2016-04-21,28.799999,28.799999,27.73,27.809999,158700,27.525818
2016-04-20,28.610001,28.969999,28.450001,28.82,134700,28.525497
2016-04-19,28.190001,28.50,28.120001,28.49,173700,28.19887
2016-04-18,28.200001,28.610001,27.940001,28.15,309900,27.862344
2016-04-15,28.049999,28.65,28.00,28.280001,114100,27.991016
2016-04-14,28.690001,28.690001,28.110001,28.16,110100,27.872242
2016-04-13,28.09,28.690001,27.620001,28.66,160200,28.367132
2016-04-12,27.299999,28.00,27.25,27.879999,203100,27.595102
2016-04-11,27.91,27.93,27.23,27.24,179800,26.961643
2016-04-08,27.99,28.49,27.639999,27.82,221300,27.535716
2016-04-07,28.27,28.469999,27.65,27.709999,305900,27.426839
2016-04-06,28.290001,28.60,28.07,28.52,157200,28.228564
2016-04-05,28.67,29.01,28.18,28.27,233400,27.981118
2016-04-04,28.559999,29.379999,28.559999,28.799999,274400,28.505701
2016-04-01,29.290001,29.389999,27.91,28.74,327500,28.446315
2016-03-31,29.91,31.01,29.76,30.309999,488200,30.000271
2016-03-30,29.84,30.42,29.07,29.82,240200,29.515279
2016-03-29,28.690001,29.870001,28.610001,29.77,195900,29.46579
2016-03-28,28.700001,29.02,28.18,28.709999,171700,28.416621
2016-03-24,28.59,28.700001,28.219999,28.51,158700,28.218666
2016-03-23,29.23,29.59,28.43,28.68,224800,28.386929
2016-03-22,29.02,29.309999,28.51,29.290001,195700,28.990696
2016-03-21,29.139999,29.540001,28.00,29.309999,201500,29.01049
2016-03-18,29.290001,29.559999,29.16,29.25,439200,28.951104
2016-03-17,28.43,29.23,28.040001,29.209999,202100,28.911511
2016-03-16,27.860001,29.23,27.75,28.799999,305400,28.357233
2016-03-15,29.17,29.48,27.93,28.09,309800,27.658149
2016-03-14,29.50,29.91,29.139999,29.290001,171100,28.839702
2016-03-11,28.290001,29.50,28.290001,29.48,252100,29.026779
2016-03-10,29.18,29.309999,27.610001,27.809999,245400,27.382453
2016-03-09,28.90,29.360001,28.799999,29.18,227100,28.731392
2016-03-08,28.33,29.280001,28.33,28.950001,290400,28.504928
2016-03-07,28.00,28.370001,27.92,28.280001,403000,27.845229
2016-03-04,28.879999,28.969999,27.32,27.809999,207500,27.382453
2016-03-03,28.040001,28.91,27.719999,28.84,252200,28.396619
2016-03-02,27.98,28.51,27.52,28.33,212900,27.894459
2016-03-01,27.610001,28.389999,27.360001,27.969999,401300,27.539993
2016-02-29,27.09,27.959999,27.09,27.450001,351300,27.027989
2016-02-26,25.34,27.18,25.25,27.18,410600,26.76214
2016-02-25,24.27,26.00,23.75,25.219999,329100,24.832271
2016-02-24,21.459999,22.139999,21.18,22.08,172500,21.740546
2016-02-23,21.34,21.84,21.10,21.719999,129500,21.38608
2016-02-22,21.860001,21.860001,21.309999,21.389999,178400,21.061153
2016-02-19,21.25,21.549999,21.07,21.450001,121600,21.120232
2016-02-18,21.190001,21.59,20.90,21.35,165700,21.021769
2016-02-17,20.969999,21.469999,20.68,21.18,189900,20.854383
2016-02-16,20.450001,21.139999,20.059999,20.84,190100,20.51961
2016-02-12,19.49,20.15,19.32,20.110001,125600,19.800833
2016-02-11,18.93,19.450001,18.82,19.41,156400,19.111594
2016-02-10,19.42,22.65,19.190001,19.290001,170800,18.99344
2016-02-09,19.200001,19.790001,18.73,19.32,202700,19.022977
2016-02-08,19.83,20.73,19.139999,19.549999,215300,19.249441
2016-02-05,20.07,20.74,20.02,20.200001,210300,19.889449
2016-02-04,20.110001,20.639999,19.959999,20.15,99700,19.840217
2016-02-03,20.33,21.01,19.950001,20.25,139200,19.93868
2016-02-02,20.34,20.379999,19.91,20.190001,182200,19.879603
2016-02-01,20.40,20.799999,20.08,20.57,185500,20.25376
2016-01-29,19.42,20.540001,19.42,20.52,235500,20.20453
2016-01-28,19.610001,19.67,19.200001,19.41,116100,19.111594
2016-01-27,19.450001,20.27,18.959999,19.469999,239300,19.170671
2016-01-26,18.290001,19.190001,18.290001,19.110001,163400,18.816207
2016-01-25,18.66,19.42,18.01,18.24,173700,17.959581
2016-01-22,18.32,18.85,18.25,18.67,165100,18.382971
2016-01-21,18.49,18.60,18.120001,18.139999,164600,17.861118
2016-01-20,17.950001,18.74,17.66,18.440001,234200,18.156507
2016-01-19,19.58,19.58,18.049999,18.26,237800,17.979274
2016-01-15,18.99,19.41,18.27,19.379999,220400,19.082054
2016-01-14,19.24,19.65,18.950001,19.450001,207100,19.15098
2016-01-13,20.290001,20.940001,19.10,19.190001,263700,18.894977
2016-01-12,20.459999,20.459999,19.83,20.200001,510500,19.889449
2016-01-11,20.26,20.620001,19.889999,20.209999,167700,19.899294
2016-01-08,20.49,20.969999,20.030001,20.07,283700,19.761447
