Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.56,8.88,8.06,8.20,156900,8.20
2016-10-06,7.80,9.34,7.80,8.46,943200,8.46
2016-10-05,8.11,8.26,7.71,7.85,255700,7.85
2016-10-04,8.75,8.76,8.12,8.17,178000,8.17
2016-10-03,9.00,9.28,8.68,8.80,288400,8.80
2016-09-30,9.05,10.55,9.05,9.21,1008900,9.21
2016-09-29,10.02,11.39,9.05,9.43,1180500,9.43
2016-09-28,6.78,11.40,6.71,9.89,3603600,9.89
2016-09-27,8.19,8.19,6.96,7.04,356700,7.04
2016-09-26,8.45,8.85,8.00,8.20,391000,8.20
2016-09-23,9.91,9.91,9.91,9.91,000,9.91
2016-09-22,9.91,9.91,9.91,9.91,000,9.91
2016-09-21,9.91,9.91,9.91,9.91,000,9.91
2016-09-20,9.77,9.96,9.75,9.91,22500,9.91
2016-09-19,10.20,10.31,9.71,9.96,209100,9.96
2016-09-16,10.41,10.41,10.05,10.20,119300,10.20
2016-09-15,10.65,10.89,10.38,10.47,90700,10.47
2016-09-14,10.67,11.18,10.35,10.65,105000,10.65
2016-09-13,11.29,11.53,10.62,10.68,244700,10.68
2016-09-12,10.82,11.68,10.38,11.40,643100,11.40
2016-09-09,10.56,11.48,9.85,10.93,866200,10.93
2016-09-08,11.85,11.85,10.36,10.70,740800,10.70
2016-09-07,12.49,12.98,11.36,11.64,954300,11.64
2016-09-06,13.00,13.88,11.67,12.38,2103600,12.38
2016-09-02,11.09,13.73,10.72,12.61,5339300,12.61
2016-09-01,13.20,13.84,11.05,11.52,5775400,11.52
2016-08-31,8.17,12.70,8.12,12.60,10605600,12.60
2016-08-30,10.44,10.90,8.12,8.32,4391500,8.32
2016-08-29,6.00,9.60,6.00,9.50,8052600,9.50
2016-08-26,6.10,6.10,5.92,6.00,63300,6.00
2016-08-25,6.44,6.49,6.05,6.15,100600,6.15
2016-08-24,6.88,6.88,6.45,6.45,165300,6.45
2016-08-23,6.97,7.32,6.73,7.05,179400,7.05
2016-08-22,6.77,7.11,6.46,6.80,112000,6.80
2016-08-19,6.49,7.90,6.23,6.85,681500,6.85
2016-08-18,7.45,7.50,6.47,6.94,245900,6.94
2016-08-17,7.57,7.81,7.39,7.46,121300,7.46
2016-08-16,8.69,8.82,7.27,7.76,454400,7.76
2016-08-15,9.11,9.24,8.64,8.77,179600,8.77
2016-08-12,8.74,9.30,8.66,8.87,144100,8.87
2016-08-11,8.66,9.64,8.51,9.13,289100,9.13
2016-08-10,9.46,9.70,8.62,8.66,202300,8.66
2016-08-09,9.85,10.06,9.33,9.64,156900,9.64
2016-08-08,10.67,10.89,9.80,9.80,273600,9.80
2016-08-05,10.80,11.05,10.00,10.33,292300,10.33
2016-08-04,10.66,11.48,10.66,10.82,332200,10.82
2016-08-03,12.00,12.29,10.20,10.67,455100,10.67
2016-08-02,12.50,12.84,11.22,11.26,389200,11.26
2016-08-01,12.04,13.47,11.52,12.79,679200,12.79
2016-07-29,12.82,14.80,11.95,12.17,2363200,12.17
2016-07-28,9.65,12.71,9.59,12.03,3342100,12.03
2016-07-27,11.19,12.40,9.17,9.26,1216900,9.26
2016-07-26,19.00,19.00,12.95,13.01,1747600,13.01
2016-07-25,17.85,20.950001,16.15,18.219999,3544500,18.219999
2016-07-22,12.00,14.29,11.54,14.25,1470600,14.25
2016-07-21,9.39,12.30,8.82,10.69,2423300,10.69
2016-07-20,6.19,10.13,6.16,8.55,4072400,8.55
2016-07-19,5.30,6.95,4.65,6.28,2721600,6.28
2016-07-18,6.09,6.09,4.50,5.56,2034500,5.56
2016-07-15,4.80,7.90,4.35,7.55,5234300,7.55
2016-07-14,3.14,5.78,3.00,4.57,7589400,4.57
2016-07-13,2.72,3.00,2.60,2.95,78900,2.95
2016-07-12,2.80,2.80,2.56,2.61,61600,2.61
2016-07-11,2.33,2.85,2.31,2.75,69500,2.75
2016-07-08,2.44,2.49,2.42,2.44,32600,2.44
2016-07-07,2.29,2.50,2.29,2.40,26600,2.40
2016-07-06,2.27,2.35,2.22,2.29,11500,2.29
2016-07-05,2.22,2.62,2.22,2.30,145500,2.30
2016-07-01,2.17,2.22,2.00,2.12,46500,2.12
2016-06-30,2.12,2.25,2.12,2.19,34400,2.19
2016-06-29,2.49,2.49,2.02,2.14,73900,2.14
2016-06-28,2.30,2.55,2.28,2.39,40300,2.39
2016-06-27,2.30,2.50,2.30,2.36,31100,2.36
2016-06-24,2.25,2.49,2.05,2.49,81700,2.49
2016-06-23,2.55,2.55,2.17,2.43,423600,2.43
2016-06-22,3.01,3.94,2.41,2.68,3664300,2.68
2016-06-21,1.72,1.79,1.72,1.79,9100,1.79
2016-06-20,1.80,1.86,1.75,1.75,5000,1.75
2016-06-17,1.76,1.76,1.75,1.75,200,1.75
2016-06-16,1.73,1.75,1.73,1.75,700,1.75
2016-06-15,1.74,1.88,1.67,1.75,35800,1.75
2016-06-14,1.66,1.77,1.66,1.72,2700,1.72
2016-06-13,1.73,1.74,1.70,1.72,8300,1.72
