Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,58.00,58.73,57.889999,58.139999,3568400,58.139999
2017-02-10,58.049999,58.220001,57.580002,57.759998,2638200,57.759998
2017-02-09,57.25,58.130001,56.939999,57.73,3339900,57.73
2017-02-08,56.919998,57.07,56.349998,56.93,2602500,56.93
2017-02-07,57.93,58.040001,57.279999,57.400002,2259700,57.400002
2017-02-06,57.419998,58.27,57.400002,57.720001,2273100,57.720001
2017-02-03,57.740002,58.09,57.279999,57.970001,3021100,57.970001
2017-02-02,56.73,56.91,56.27,56.830002,3355600,56.830002
2017-02-01,57.450001,57.900002,56.919998,57.139999,3669200,57.139999
2017-01-31,57.02,57.529999,56.470001,56.82,3213300,56.82
2017-01-30,57.450001,57.459999,56.57,57.27,2299400,57.27
2017-01-27,58.139999,58.299999,57.66,57.75,2426500,57.75
2017-01-26,58.080002,58.720001,57.810001,58.259998,3242600,58.259998
2017-01-25,57.060001,58.310001,57.040001,58.169998,5821100,58.169998
2017-01-24,55.32,56.689999,54.900002,56.48,4144300,56.48
2017-01-23,54.91,55.459999,54.700001,55.139999,3710600,55.139999
2017-01-20,54.139999,55.279999,53.860001,54.84,5999700,54.84
2017-01-19,54.490002,54.66,53.580002,53.84,3232100,53.84
2017-01-18,54.049999,54.400002,53.560001,54.360001,3270800,54.360001
2017-01-17,55.18,55.459999,53.82,53.880001,3411600,53.880001
2017-01-13,55.93,56.970001,55.720001,55.970001,2964000,55.970001
2017-01-12,55.799999,55.959999,54.759998,55.490002,3136000,55.490002
2017-01-11,55.639999,56.029999,55.209999,56.029999,2670200,56.029999
2017-01-10,55.279999,55.990002,55.16,55.700001,3120100,55.700001
2017-01-09,55.189999,55.700001,54.759998,55.240002,2591900,55.240002
2017-01-06,55.16,55.700001,54.900002,55.529999,2477100,55.529999
2017-01-05,55.959999,56.099998,54.580002,54.900002,3489300,54.900002
2017-01-04,55.630001,56.48,55.619999,56.139999,3977500,56.139999
2017-01-03,55.560001,56.169998,54.75,55.490002,4487700,55.490002
2016-12-30,54.889999,55.00,54.48,54.849998,2388800,54.849998
2016-12-29,55.619999,55.689999,54.400002,54.689999,3088600,54.689999
2016-12-28,56.389999,56.470001,55.41,55.48,1926800,55.48
2016-12-27,56.32,56.48,56.060001,56.389999,1320400,56.389999
2016-12-23,56.119999,56.279999,55.939999,56.169998,1460000,56.169998
2016-12-22,56.029999,56.299999,55.73,56.150002,2900600,56.150002
2016-12-21,56.200001,56.23,55.650002,56.02,1891400,56.02
2016-12-20,55.799999,56.18,55.619999,56.169998,2188800,56.169998
2016-12-19,55.060001,55.400002,54.66,55.32,3079900,55.32
2016-12-16,55.970001,56.099998,55.150002,55.27,6475300,55.27
2016-12-15,55.459999,55.919998,54.939999,55.799999,6010300,55.799999
2016-12-14,53.73,55.779999,53.509998,55.130001,8400700,55.130001
2016-12-13,54.330002,54.619999,53.779999,54.450001,2685900,54.450001
2016-12-12,54.470001,55.240002,54.009998,54.099998,4503900,54.099998
2016-12-09,54.779999,54.990002,54.200001,54.84,4206300,54.84
2016-12-08,54.669998,55.389999,54.459999,54.790001,4430200,54.790001
2016-12-07,53.700001,54.52,53.209999,54.459999,5166200,54.459999
2016-12-06,52.619999,53.869999,52.619999,53.790001,5771000,53.790001
2016-12-05,52.75,53.209999,52.34,52.540001,4306000,52.540001
2016-12-02,52.549999,52.57,51.810001,52.040001,3783500,52.040001
2016-12-01,52.439999,53.040001,52.009998,52.709999,3998100,52.709999
2016-11-30,51.98,52.32,51.849998,51.950001,4092500,51.950001
2016-11-29,51.73,51.75,51.130001,51.139999,5058000,51.139999
2016-11-28,51.57,52.09,51.34,51.560001,5382300,51.560001
2016-11-25,52.32,52.490002,52.029999,52.459999,1428100,52.199998
2016-11-23,52.279999,52.43,51.720001,52.360001,3971200,52.100495
2016-11-22,51.98,52.290001,51.669998,52.080002,5154300,51.821884
2016-11-21,52.00,52.119999,51.400002,51.720001,2944800,51.463667
2016-11-18,51.299999,51.93,51.060001,51.779999,5794100,51.523367
2016-11-17,50.939999,51.66,50.66,51.400002,5796000,51.145254
2016-11-16,51.959999,52.009998,50.740002,50.790001,6520200,50.538276
2016-11-15,51.619999,52.459999,50.990002,52.380001,6567400,52.120396
2016-11-14,50.970001,52.650002,50.959999,52.220001,7304400,51.961189
2016-11-11,49.650002,50.68,49.169998,50.580002,4668500,50.329318
2016-11-10,48.689999,50.139999,48.560001,49.880001,7885900,49.632787
2016-11-09,47.650002,48.509998,46.470001,48.139999,6362000,47.901409
2016-11-08,45.98,46.09,45.490002,45.599998,5611300,45.373996
2016-11-07,45.75,46.34,45.740002,46.18,3626100,45.951124
