Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,124.550003,126.82,124.550003,126.410004,1300800,126.410004
2017-02-10,123.510002,124.120003,123.07,123.730003,395100,123.730003
2017-02-09,122.18,123.419998,122.18,123.080002,489900,123.080002
2017-02-08,121.690002,122.230003,121.089996,122.139999,657700,122.139999
2017-02-07,122.870003,123.120003,121.879997,122.110001,818100,122.110001
2017-02-06,123.150002,123.699997,122.169998,122.599998,621900,122.599998
2017-02-03,123.050003,123.900002,122.669998,123.519997,699300,123.519997
2017-02-02,122.940002,122.940002,120.889999,122.360001,983600,122.360001
2017-02-01,123.669998,123.669998,121.410004,122.660004,1543900,122.660004
2017-01-31,124.900002,125.150002,123.190002,124.00,1235400,124.00
2017-01-30,128.770004,128.770004,124.099998,125.059998,1132200,125.059998
2017-01-27,124.639999,126.43,124.410004,125.029999,984000,125.029999
2017-01-26,123.199997,126.349998,120.559998,124.099998,1943700,124.099998
2017-01-25,123.110001,124.790001,122.889999,124.290001,1604500,124.290001
2017-01-24,120.699997,123.169998,120.199997,122.669998,1343300,122.669998
2017-01-23,119.489998,120.550003,119.25,120.470001,938100,120.470001
2017-01-20,120.379997,120.629997,119.50,119.989998,898500,119.989998
2017-01-19,120.019997,120.900002,119.410004,119.660004,637300,119.660004
2017-01-18,118.529999,121.949997,117.940002,120.199997,1649300,120.199997
2017-01-17,118.32,118.779999,117.419998,118.300003,925600,118.300003
2017-01-13,118.919998,119.459999,118.190002,119.330002,813800,119.330002
2017-01-12,117.93,118.860001,116.629997,118.760002,961100,118.760002
2017-01-11,117.980003,118.120003,116.949997,117.989998,959000,117.989998
2017-01-10,117.959999,119.099998,117.43,117.75,931300,117.75
2017-01-09,118.209999,118.879997,117.540001,117.660004,923800,117.660004
2017-01-06,118.589996,118.949997,117.519997,118.209999,1016300,118.209999
2017-01-05,120.110001,120.690002,117.580002,118.349998,1944400,118.349998
2017-01-04,116.220001,116.940002,115.779999,116.480003,938800,116.480003
2017-01-03,115.639999,116.360001,114.860001,115.75,731600,115.75
2016-12-30,115.720001,115.900002,114.269997,114.690002,594300,114.690002
2016-12-29,115.120003,116.580002,114.830002,115.239998,546600,115.239998
2016-12-28,116.739998,117.269997,114.889999,115.089996,565800,115.089996
2016-12-27,116.940002,116.940002,115.949997,116.489998,450300,116.489998
2016-12-23,115.860001,117.040001,115.860001,116.690002,509100,116.690002
2016-12-22,116.860001,117.18,115.620003,115.809998,811400,115.809998
2016-12-21,117.389999,117.57,116.169998,116.779999,901900,116.779999
2016-12-20,117.769997,117.980003,117.029999,117.209999,725200,117.209999
2016-12-19,116.910004,118.150002,116.870003,117.440002,929400,117.440002
2016-12-16,117.980003,118.940002,116.739998,116.769997,1571700,116.769997
2016-12-15,118.040001,120.029999,117.480003,118.160004,1535600,118.160004
2016-12-14,119.110001,120.730003,117.949997,118.199997,1086100,118.199997
2016-12-13,120.18,120.889999,117.870003,119.099998,1131500,119.099998
2016-12-12,120.339996,120.709999,119.730003,120.129997,757500,120.129997
2016-12-09,120.790001,121.18,119.760002,120.50,609000,120.50
2016-12-08,120.449997,121.620003,119.889999,120.949997,692200,120.949997
2016-12-07,118.18,120.589996,118.18,120.580002,707900,120.580002
2016-12-06,118.949997,119.269997,118.010002,118.639999,992200,118.639999
2016-12-05,119.25,119.82,118.580002,119.150002,798800,119.150002
2016-12-02,118.910004,119.199997,118.120003,118.230003,888500,118.230003
2016-12-01,119.089996,119.910004,118.540001,118.82,826900,118.82
2016-11-30,119.940002,120.779999,118.449997,118.629997,845800,118.629997
2016-11-29,119.400002,120.870003,119.25,119.93,632600,119.350002
2016-11-28,121.32,121.580002,119.529999,119.639999,1123000,119.061403
2016-11-25,120.610001,121.599998,120.50,121.599998,380600,121.011924
2016-11-23,121.220001,121.559998,119.699997,120.400002,1504000,119.81773
2016-11-22,121.410004,121.510002,120.339996,120.980003,1074700,120.394927
2016-11-21,122.190002,122.50,120.709999,121.129997,798700,120.544195
2016-11-18,121.989998,123.129997,121.360001,121.559998,548900,120.972116
2016-11-17,123.230003,123.540001,121.900002,122.019997,706400,121.429891
2016-11-16,123.32,123.32,121.779999,123.029999,892000,122.435008
2016-11-15,121.779999,122.709999,120.699997,122.690002,990800,122.096656
2016-11-14,126.07,126.720001,121.529999,121.889999,2509300,121.300522
2016-11-11,124.709999,126.32,124.32,125.779999,1807300,125.171709
2016-11-10,120.639999,125.18,120.639999,125.07,1805900,124.465143
