Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,33.689999,33.93,33.389999,33.860001,207900,33.860001
2016-10-06,33.740002,33.82,33.580002,33.77,247100,33.77
2016-10-05,33.389999,33.830002,33.389999,33.669998,52400,33.669998
2016-10-04,32.939999,33.50,32.93,33.18,51500,33.18
2016-10-03,33.00,33.00,32.59,32.93,47600,32.93
2016-09-30,32.50,33.130001,32.32,32.959999,51300,32.959999
2016-09-29,32.650002,32.720001,32.32,32.41,54700,32.41
2016-09-28,32.619999,32.75,32.189999,32.73,55400,32.73
2016-09-27,32.18,32.700001,31.860001,32.439999,46900,32.439999
2016-09-26,32.720001,32.77,32.169998,32.209999,43700,32.209999
2016-09-23,32.84,33.18,32.68,32.950001,33900,32.950001
2016-09-22,32.900002,33.279999,32.639999,33.25,83600,33.25
2016-09-21,32.540001,33.040001,32.50,32.77,39900,32.77
2016-09-20,32.650002,32.799999,32.32,32.549999,27600,32.549999
2016-09-19,32.169998,32.48,32.080002,32.41,44000,32.41
2016-09-16,32.16,32.25,31.83,32.169998,109400,32.169998
2016-09-15,31.530001,32.02,31.139999,32.02,78800,32.02
2016-09-14,31.379999,31.75,31.110001,31.200001,55000,31.200001
2016-09-13,31.84,31.98,31.139999,31.690001,40700,31.690001
2016-09-12,31.57,32.110001,31.530001,32.110001,29500,32.110001
2016-09-09,31.98,32.240002,31.799999,31.83,33300,31.83
2016-09-08,31.469999,32.240002,31.43,32.220001,188000,32.220001
2016-09-07,32.00,32.09,31.59,32.00,26800,31.82
2016-09-06,31.879999,31.969999,31.48,31.77,70400,31.591294
2016-09-02,31.99,32.110001,31.74,31.969999,33900,31.790168
2016-09-01,31.700001,32.00,31.549999,31.940001,47300,31.760338
2016-08-31,31.77,33.970001,31.24,31.91,59300,31.730506
2016-08-30,32.709999,32.709999,31.23,31.549999,38300,31.37253
2016-08-29,30.99,32.009998,30.969999,31.190001,22000,31.014556
2016-08-26,30.26,31.02,30.26,30.889999,21900,30.716243
2016-08-25,30.51,30.68,30.35,30.639999,32600,30.467649
2016-08-24,30.33,30.50,30.23,30.48,23500,30.308549
2016-08-23,30.07,30.809999,30.07,30.40,39100,30.228999
2016-08-22,29.92,30.16,29.879999,30.16,15300,29.99035
2016-08-19,29.870001,30.049999,29.690001,29.889999,37700,29.721868
2016-08-18,29.73,29.92,29.219999,29.879999,24000,29.711924
2016-08-17,29.700001,29.93,29.610001,29.809999,14300,29.642318
2016-08-16,29.84,29.940001,29.25,29.77,18600,29.602544
2016-08-15,29.60,29.92,29.58,29.870001,17100,29.701982
2016-08-12,29.809999,29.809999,29.35,29.59,32900,29.423556
2016-08-11,29.85,30.00,29.52,29.870001,33900,29.701982
2016-08-10,29.790001,29.85,29.469999,29.799999,18500,29.632374
2016-08-09,29.870001,30.07,29.809999,29.85,23400,29.682094
2016-08-08,30.02,30.10,29.59,29.75,29000,29.582656
2016-08-05,29.23,30.09,29.049999,30.02,45500,29.851138
2016-08-04,29.139999,29.299999,29.059999,29.059999,20400,28.896537
2016-08-03,29.370001,29.370001,29.129999,29.35,24900,29.184906
2016-08-02,29.459999,29.719999,29.32,29.32,28400,29.155074
2016-08-01,29.459999,29.950001,29.42,29.65,50200,29.483218
2016-07-29,29.77,29.99,29.48,29.540001,49500,29.373838
2016-07-28,29.299999,29.889999,29.219999,29.75,41800,29.582656
2016-07-27,28.959999,29.57,28.959999,29.559999,45700,29.393724
2016-07-26,28.700001,28.889999,28.530001,28.67,19400,28.508731
2016-07-25,28.98,28.98,28.530001,28.639999,18100,28.478899
2016-07-22,28.92,29.18,28.73,29.09,51800,28.926369
2016-07-21,29.370001,29.370001,28.76,28.82,20200,28.657887
2016-07-20,29.610001,29.780001,29.34,29.48,23700,29.314174
2016-07-19,29.50,29.959999,29.299999,29.360001,75000,29.19485
2016-07-18,29.66,29.84,29.450001,29.459999,24300,29.294286
2016-07-15,29.629999,29.85,29.48,29.85,20500,29.682094
2016-07-14,29.27,29.73,29.200001,29.35,20300,29.184906
2016-07-13,29.139999,29.34,29.01,29.120001,35000,28.956201
2016-07-12,28.48,29.209999,28.48,28.99,39400,28.826931
2016-07-11,28.23,28.57,27.98,28.41,38100,28.250193
2016-07-08,27.790001,28.25,27.790001,28.02,44600,27.862388
2016-07-07,27.73,27.83,27.379999,27.57,42000,27.414918
2016-07-06,27.389999,27.90,27.379999,27.549999,37300,27.39503
2016-07-05,27.84,28.01,27.50,27.52,53700,27.3652
2016-07-01,28.17,28.200001,27.75,27.940001,43600,27.782838
2016-06-30,27.84,28.25,27.469999,28.23,52700,28.071206
2016-06-29,27.709999,27.950001,27.35,27.700001,55800,27.544188
2016-06-28,27.469999,27.50,27.049999,27.33,60200,27.176268
2016-06-27,27.639999,27.639999,26.530001,27.16,99200,27.007225
2016-06-24,27.50,28.290001,27.33,28.10,243500,27.941938
2016-06-23,28.379999,28.74,28.379999,28.719999,65500,28.558449
2016-06-22,28.139999,28.440001,28.02,28.18,74000,28.021488
2016-06-21,28.190001,28.280001,27.799999,28.18,38400,28.021488
2016-06-20,27.76,28.32,27.76,28.110001,43800,27.951882
2016-06-17,27.93,28.040001,27.440001,27.51,86000,27.355256
2016-06-16,27.860001,27.92,27.530001,27.83,21700,27.673456
2016-06-15,28.02,28.43,27.860001,27.959999,37500,27.802724
2016-06-14,28.280001,28.299999,27.799999,28.16,43700,28.0016
2016-06-13,27.700001,28.35,27.52,28.02,83300,27.862388
2016-06-10,27.90,27.90,27.379999,27.700001,44700,27.544188
2016-06-09,28.389999,28.389999,27.84,27.99,47300,27.832556
2016-06-08,28.40,28.799999,28.190001,28.68,37500,28.339688
2016-06-07,28.860001,28.879999,28.40,28.459999,30200,28.122297
2016-06-06,28.57,28.959999,28.57,28.719999,35400,28.379212
2016-06-03,28.83,28.83,28.09,28.57,56300,28.230992
2016-06-02,28.90,29.110001,28.49,28.799999,43800,28.458263
2016-06-01,28.90,29.120001,28.42,28.77,59600,28.42862
2016-05-31,29.52,29.860001,28.790001,29.030001,70200,28.685535
2016-05-27,42.729999,43.650001,41.939999,43.250001,102900,28.491202
2016-05-26,42.289999,42.890001,42.289999,42.689999,13900,28.122297
2016-05-25,42.83,43.22,42.220001,42.689999,37500,28.122297
2016-05-24,41.990001,42.660001,41.84,42.599999,47700,28.063009
2016-05-23,41.41,41.659999,41.350001,41.53,13300,27.358141
2016-05-20,41.390001,41.77,41.350001,41.550001,34900,27.371317
2016-05-19,41.849999,41.849999,40.690001,41.149999,36100,27.107813
2016-05-18,39.970001,42.129999,39.970001,41.750001,130200,27.503068
2016-05-17,40.19,40.70,39.40,39.63,63100,26.106504
2016-05-16,39.649999,40.640001,39.649999,40.370001,28500,26.593984
2016-05-13,40.74,40.74,39.40,39.540001,21400,26.047217
2016-05-12,40.250001,40.560001,39.740001,40.199999,27100,26.481994
2016-05-11,40.399999,40.589999,40.119999,40.210001,25500,26.488583
2016-05-10,40.370001,40.66,40.10,40.399999,22200,26.449054
2016-05-09,39.930001,40.22,39.689999,39.930001,33900,26.141356
2016-05-06,39.489999,39.850001,39.329999,39.780001,28600,26.043154
2016-05-05,39.83,40.410001,39.569999,39.599999,36100,25.925311
2016-05-04,39.75,40.290001,39.300001,39.689999,33100,25.984231
2016-05-03,41.45,41.45,39.770001,39.87,40500,26.102075
2016-05-02,40.749999,44.979999,39.860001,41.379999,45300,27.09064
2016-04-29,40.479999,40.66,40.119999,40.439999,39000,26.475241
2016-04-28,39.43,40.600001,39.43,40.450001,40900,26.481789
2016-04-27,40.039999,40.680001,39.420001,39.700001,34000,25.99078
2016-04-26,39.48,39.999999,39.48,39.91,31200,26.128262
2016-04-25,39.71,39.71,39.190001,39.260001,22800,25.702721
2016-04-22,39.08,39.799999,39.049999,39.799999,31800,26.056247
2016-04-21,39.91,39.99,38.979999,39.08,45400,25.584878
2016-04-20,39.289999,40.170001,39.260001,40.02,36700,26.200277
2016-04-19,38.990001,39.51,38.990001,39.380001,41500,25.781282
2016-04-18,38.77,39.249999,38.77,39.030001,25300,25.552144
2016-04-15,38.699999,39.190001,38.699999,39.04,32100,25.558691
2016-04-14,38.76,39.190001,38.52,38.859999,34800,25.440847
2016-04-13,38.270001,39.00,37.98,38.750001,49800,25.368834
2016-04-12,37.589999,38.299999,37.30,38.139999,45700,24.969479
2016-04-11,37.22,37.840001,37.11,37.34,26100,24.445735
2016-04-08,36.99,37.30,36.67,37.02,49000,24.236238
2016-04-07,37.880001,37.90,36.799999,36.83,54300,24.111849
2016-04-06,37.589999,38.310001,36.729999,38.21,26500,25.015307
2016-04-05,38.33,38.710001,37.73,37.749999,36600,24.714153
2016-04-04,38.990001,39.00,38.339999,38.630001,28300,25.290273
2016-04-01,38.440001,39.00,38.21,38.80,52500,25.401568
2016-03-31,38.889999,38.889999,38.25,38.53,33900,25.224804
2016-03-30,38.92,39.030001,38.579999,38.69,37200,25.329553
2016-03-29,37.909999,39.00,37.629999,38.859999,65400,25.440847
2016-03-28,38.419999,38.539999,38.05,38.17,17100,24.989119
2016-03-24,38.37,38.430001,37.840001,38.419999,39900,25.152789
2016-03-23,38.48,38.699999,38.29,38.390001,55000,25.13315
2016-03-22,38.750001,39.00,38.57,38.68,18900,25.323006
2016-03-21,39.110001,39.329999,38.13,38.790001,31000,25.395021
2016-03-18,38.979999,39.719999,38.29,39.070001,98200,25.578331
2016-03-17,38.219999,38.979999,37.85,38.659999,52500,25.309912
2016-03-16,38.619999,38.619999,38.02,38.259999,24000,25.04804
2016-03-15,38.739999,38.859999,38.499999,38.630001,59800,25.290273
2016-03-14,38.459999,38.64,38.139999,38.49,33600,25.198617
2016-03-11,38.499999,38.630001,38.17,38.56,36600,25.244445
2016-03-10,38.05,38.390001,37.760001,38.139999,20700,24.969479
2016-03-09,38.270001,38.60,38.01,38.219999,46600,24.85818
2016-03-08,38.57,38.710001,37.70,38.21,48700,24.851676
2016-03-07,38.969999,39.110001,37.960001,38.889999,40300,25.293946
2016-03-04,38.88,39.329999,38.379999,39.049999,40000,25.398009
2016-03-03,38.68,39.260001,38.68,38.950001,51900,25.332971
2016-03-02,38.48,38.92,38.240001,38.92,40500,25.313458
2016-03-01,37.800001,39.070001,37.650001,38.64,45000,25.131347
2016-02-29,37.97,38.33,37.349999,37.349999,45300,24.292334
2016-02-26,37.669999,38.60,37.669999,38.099999,45700,24.780132
2016-02-25,37.530001,37.600001,37.370001,37.589999,47700,24.44843
2016-02-24,36.689999,37.399999,36.030001,37.359999,47700,24.298838
2016-02-23,36.900001,36.95,36.449999,36.810001,50100,23.941121
2016-02-22,37.669999,37.669999,36.890001,36.900001,42700,23.999656
2016-02-19,37.10,37.70,36.95,37.330001,42400,24.279327
2016-02-18,37.290001,37.410001,36.799999,37.03,30100,24.084207
2016-02-17,36.67,37.909999,36.67,37.330001,57600,24.279327
2016-02-16,37.880001,38.37,37.349999,37.880001,58800,24.637046
2016-02-12,37.119999,37.680001,37.119999,37.309999,37600,24.266318
2016-02-11,36.40,36.999999,36.20,36.719999,45600,23.882584
2016-02-10,37.23,37.74,36.940001,36.970001,42300,24.045185
2016-02-09,36.879999,37.34,36.700001,36.999999,39100,24.064695
2016-02-08,36.48,37.170001,36.150001,37.14,54100,24.155752
2016-02-05,37.090001,37.429999,36.44,36.799999,95700,23.934616
2016-02-04,37.349999,37.90,36.43,37.06,47800,24.10372
2016-02-03,38.219999,38.219999,37.15,37.370001,66300,24.305343
2016-02-02,38.739999,38.76,37.73,37.949999,49300,24.682572
