Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,25.35,25.370001,25.139999,25.209999,4135300,25.209999
2016-10-06,25.299999,25.389999,25.200001,25.299999,5872400,25.299999
2016-10-05,25.719999,25.719999,25.24,25.389999,7580700,25.389999
2016-10-04,25.08,25.280001,24.959999,25.25,7202000,25.25
2016-10-03,25.08,25.18,25.040001,25.110001,5224000,25.110001
2016-09-30,25.09,25.200001,24.98,25.10,10888100,25.10
2016-09-29,25.32,25.32,24.860001,25.01,10029700,25.01
2016-09-28,25.209999,25.309999,25.059999,25.27,6164500,25.27
2016-09-27,24.879999,25.17,24.809999,25.16,6917400,25.16
2016-09-26,24.950001,25.049999,24.77,24.959999,5737900,24.959999
2016-09-23,25.139999,25.25,24.91,25.040001,6764300,25.040001
2016-09-22,25.27,25.34,24.959999,25.08,4599800,25.08
2016-09-21,24.889999,25.110001,24.75,25.08,7489900,25.08
2016-09-20,24.969999,25.08,24.52,24.709999,12872600,24.709999
2016-09-19,25.209999,25.370001,24.83,24.84,9480800,24.84
2016-09-16,24.879999,25.35,24.879999,25.209999,15881500,25.209999
2016-09-15,24.74,25.030001,24.610001,24.870001,12576400,24.870001
2016-09-14,24.77,25.360001,24.48,24.58,5861800,24.58
2016-09-13,25.10,25.10,24.540001,24.690001,8780400,24.690001
2016-09-12,24.27,24.85,24.120001,24.85,9883400,24.85
2016-09-09,24.75,24.860001,24.370001,24.49,7107400,24.49
2016-09-08,24.83,25.190001,24.75,24.950001,9480800,24.950001
2016-09-07,24.709999,24.92,24.709999,24.92,8123100,24.92
2016-09-06,24.299999,24.90,24.280001,24.809999,11780500,24.809999
2016-09-02,24.16,24.42,24.15,24.280001,4337900,24.280001
2016-09-01,24.139999,24.17,23.889999,24.15,6159500,24.15
2016-08-31,23.90,24.17,23.77,24.129999,9406300,24.129999
2016-08-30,24.08,24.15,23.85,23.98,5266700,23.98
2016-08-29,24.00,24.219999,23.91,24.129999,8469200,24.129999
2016-08-26,23.799999,23.950001,23.620001,23.719999,6717700,23.719999
2016-08-25,23.790001,23.85,23.68,23.73,4449400,23.73
2016-08-24,23.83,23.870001,23.559999,23.76,8966700,23.76
