Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,25.43,25.52,25.34,25.51,5100,25.51
2016-10-06,25.440001,25.49,25.35,25.35,4100,25.35
2016-10-05,25.370001,25.59,25.360001,25.360001,8000,25.360001
2016-10-04,25.530001,25.530001,25.35,25.469999,12800,25.469999
2016-10-03,25.58,25.58,25.41,25.51,1600,25.51
2016-09-30,25.65,25.68,25.370001,25.68,3600,25.68
2016-09-29,25.52,25.690001,25.32,25.690001,16200,25.690001
2016-09-28,25.559999,26.00,25.50,25.50,15600,25.50
2016-09-27,25.98,26.280001,25.870001,26.24,6100,25.723999
2016-09-26,25.959999,25.98,25.879999,25.879999,5100,25.371078
2016-09-23,25.889999,25.959999,25.879999,25.959999,3200,25.449505
2016-09-22,25.98,25.98,25.879999,25.959999,2800,25.449505
2016-09-21,26.049999,26.049999,25.879999,25.969999,7800,25.459308
2016-09-20,26.040001,26.049999,25.879999,25.879999,1300,25.371078
2016-09-19,25.809999,26.040001,25.809999,25.85,4700,25.341669
2016-09-16,25.809999,25.98,25.809999,25.98,4200,25.469112
2016-09-15,25.809999,26.00,25.809999,26.00,8100,25.488719
2016-09-14,25.67,25.889999,25.67,25.889999,5600,25.380882
2016-09-13,25.75,25.799999,25.67,25.790001,3100,25.28285
2016-09-12,25.719999,25.83,25.700001,25.77,6100,25.263243
2016-09-09,25.77,25.889999,25.700001,25.860001,3400,25.351473
2016-09-08,25.68,25.84,25.68,25.809999,11200,25.302455
2016-09-07,25.67,25.870001,25.67,25.799999,10000,25.292651
2016-09-06,25.58,25.790001,25.559999,25.58,18800,25.076978
2016-09-02,25.77,25.84,25.67,25.709999,4500,25.204421
2016-09-01,25.58,25.65,25.549999,25.60,5400,25.096585
2016-08-31,25.709999,25.73,25.68,25.73,2100,25.224028
2016-08-30,25.610001,25.700001,25.60,25.700001,1300,25.194619
2016-08-29,25.75,25.75,25.65,25.68,4600,25.175012
2016-08-26,25.60,25.76,25.60,25.700001,1200,25.194619
2016-08-25,25.85,25.85,25.58,25.60,5100,25.096585
2016-08-24,25.790001,25.799999,25.66,25.799999,2600,25.292651
2016-08-23,25.76,25.85,25.76,25.84,2900,25.331866
2016-08-22,25.549999,25.889999,25.549999,25.889999,9600,25.380882
2016-08-19,25.60,25.610001,25.549999,25.58,2100,25.076978
2016-08-18,25.60,25.60,25.549999,25.60,2400,25.096585
2016-08-17,25.48,25.60,25.459999,25.59,5900,25.086782
2016-08-16,25.50,25.60,25.450001,25.60,8400,25.096585
2016-08-15,25.540001,25.60,25.32,25.60,6200,25.096585
2016-08-12,25.290001,25.549999,25.290001,25.549999,5600,25.047568
2016-08-11,25.35,25.50,25.35,25.379999,15600,24.88091
2016-08-10,25.450001,25.450001,25.40,25.43,4600,24.929928
2016-08-09,25.51,25.549999,25.40,25.540001,5500,25.037766
2016-08-08,25.450001,25.629999,25.25,25.469999,12300,24.969141
2016-08-05,25.60,25.60,25.299999,25.40,25000,24.900518
2016-08-04,25.66,25.790001,25.65,25.719999,8100,25.214225
2016-08-03,25.76,25.77,25.52,25.629999,7600,25.125994
2016-08-02,25.58,25.790001,25.58,25.780001,2700,25.273046
2016-08-01,25.75,25.77,25.75,25.75,1000,25.243635
2016-07-29,25.719999,25.85,25.709999,25.790001,3900,25.28285
2016-07-28,25.83,25.83,25.65,25.75,6500,25.243635
2016-07-27,25.60,25.93,25.60,25.799999,6900,25.292651
2016-07-26,25.549999,25.93,25.530001,25.60,14400,25.096585
2016-07-25,25.65,25.73,25.469999,25.469999,10600,24.969141
2016-07-22,25.700001,25.75,25.549999,25.67,6100,25.165209
2016-07-21,25.48,25.700001,25.450001,25.67,19200,25.165209
2016-07-20,25.73,25.73,25.48,25.50,4700,24.998552
2016-07-19,25.76,25.870001,25.43,25.68,5500,25.175012
2016-07-18,25.790001,25.950001,25.76,25.860001,6600,25.351473
2016-07-15,25.75,25.75,25.459999,25.75,14000,25.243635
2016-07-14,25.42,25.950001,25.42,25.75,15000,25.243635
2016-07-13,25.51,25.51,25.23,25.469999,7000,24.969141
2016-07-12,25.370001,25.51,25.299999,25.51,17100,25.008355
2016-07-11,25.280001,25.40,25.280001,25.35,10900,24.851502
2016-07-08,25.299999,25.450001,25.299999,25.35,16100,24.851502
2016-07-07,25.219999,25.389999,25.219999,25.35,10600,24.851502
2016-07-06,25.25,25.299999,25.040001,25.200001,9700,24.704452
2016-07-05,25.24,25.450001,25.24,25.299999,1500,24.802484
2016-07-01,26.00,26.00,25.049999,25.200001,3100,24.704452
2016-06-30,25.129999,25.379999,25.110001,25.24,12400,24.743664
2016-06-29,25.10,25.42,25.10,25.15,20700,24.655434
2016-06-28,25.34,25.52,25.34,25.48,15700,24.473092
2016-06-27,25.110001,25.559999,25.110001,25.309999,15600,24.30981
2016-06-24,25.01,25.75,25.01,25.559999,28700,24.54993
2016-06-23,25.51,25.60,25.40,25.50,9200,24.492302
2016-06-22,25.610001,25.690001,25.50,25.50,5600,24.492302
2016-06-21,25.52,25.77,25.52,25.709999,18800,24.694002
2016-06-20,25.85,25.85,25.360001,25.559999,1500,24.54993
2016-06-17,25.610001,25.799999,25.549999,25.799999,4900,24.780446
2016-06-16,25.540001,25.68,25.440001,25.60,19500,24.58835
2016-06-15,25.52,25.75,25.52,25.75,3500,24.732422
2016-06-14,25.799999,25.799999,25.51,25.620001,2900,24.60756
2016-06-13,25.459999,25.799999,25.459999,25.620001,4400,24.60756
2016-06-10,25.790001,25.790001,25.49,25.73,2900,24.713212
2016-06-09,25.700001,25.799999,25.549999,25.790001,28600,24.770842
2016-06-08,25.42,25.639999,25.40,25.469999,8100,24.463487
2016-06-07,25.610001,25.700001,25.549999,25.549999,12300,24.540325
2016-06-06,25.629999,25.690001,25.549999,25.60,6400,24.58835
2016-06-03,25.58,25.700001,25.549999,25.700001,8000,24.684399
2016-06-02,25.629999,25.629999,25.58,25.58,2300,24.56914
2016-06-01,25.65,25.700001,25.57,25.610001,4200,24.597955
2016-05-31,25.450001,25.700001,25.450001,25.65,6900,24.636374
2016-05-27,25.559999,25.68,25.450001,25.549999,4300,24.540325
2016-05-26,25.639999,25.66,25.450001,25.60,5700,24.58835
2016-05-25,25.67,25.67,25.40,25.639999,11800,24.626769
2016-05-24,25.52,25.68,25.389999,25.540001,5200,24.530722
2016-05-23,25.43,25.68,25.389999,25.67,10800,24.655584
2016-05-20,25.299999,25.60,25.299999,25.58,4900,24.56914
2016-05-19,25.370001,25.41,25.15,25.41,4800,24.405858
2016-05-18,25.50,25.50,25.24,25.41,8500,24.405858
2016-05-17,25.50,25.690001,25.50,25.60,3800,24.58835
2016-05-16,25.190001,25.58,25.190001,25.52,6100,24.511512
2016-05-13,25.68,25.700001,25.60,25.67,11900,24.655584
2016-05-12,25.65,25.700001,25.290001,25.700001,11800,24.684399
2016-05-11,25.25,25.65,25.200001,25.49,14500,24.482697
2016-05-10,25.030001,25.52,25.030001,25.43,13700,24.425068
2016-05-09,25.030001,25.25,25.02,25.059999,6400,24.069689
2016-05-06,25.15,25.25,25.02,25.09,10800,24.098504
2016-05-05,25.540001,25.540001,25.16,25.25,20700,24.252181
2016-05-04,25.40,25.41,25.15,25.25,7900,24.252181
2016-05-03,25.309999,25.43,25.309999,25.43,4800,24.425068
2016-05-02,25.35,25.530001,25.309999,25.52,6700,24.511512
2016-04-29,25.50,25.66,25.459999,25.540001,19600,24.530722
2016-04-28,25.25,25.440001,25.200001,25.440001,1600,24.434673
2016-04-27,25.00,25.25,25.00,25.25,2000,24.252181
2016-04-26,25.40,25.48,25.299999,25.32,5000,24.319415
2016-04-25,25.18,25.360001,25.17,25.299999,10000,24.300204
