Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,75.290001,75.760002,75.220001,75.440002,1268700,75.440002
2017-02-10,75.459999,75.769997,74.889999,75.110001,1913200,75.110001
2017-02-09,75.209999,75.690002,75.139999,75.309998,2247200,75.309998
2017-02-08,75.410004,75.610001,74.730003,74.879997,1653700,74.879997
2017-02-07,75.949997,76.489998,75.620003,75.709999,2225700,75.709999
2017-02-06,75.290001,75.699997,74.940002,75.510002,1846900,75.510002
2017-02-03,74.650002,75.480003,74.650002,75.379997,1637000,75.379997
2017-02-02,74.300003,74.68,73.900002,74.510002,1333100,74.510002
2017-02-01,74.910004,75.129997,73.650002,74.620003,1612500,74.620003
2017-01-31,74.260002,74.440002,73.440002,74.349998,1434200,74.349998
2017-01-30,74.120003,74.290001,72.720001,74.260002,1307800,74.260002
2017-01-27,74.129997,74.93,74.010002,74.50,1379900,74.50
2017-01-26,75.290001,75.550003,74.589996,74.730003,2554200,74.730003
2017-01-25,74.18,76.459999,74.18,75.169998,2853500,75.169998
2017-01-24,70.779999,72.709999,70.580002,71.68,3665900,71.68
2017-01-23,69.720001,70.68,69.43,70.519997,2788400,70.519997
2017-01-20,69.839996,70.260002,69.410004,69.919998,1497300,69.919998
2017-01-19,69.82,70.330002,69.300003,69.599998,1048100,69.599998
2017-01-18,69.410004,69.970001,69.220001,69.82,1129800,69.82
2017-01-17,69.099998,69.779999,68.82,69.129997,1223700,69.129997
2017-01-13,69.129997,69.849998,69.129997,69.610001,931300,69.610001
2017-01-12,68.660004,69.209999,67.800003,69.150002,1582300,69.150002
2017-01-11,67.510002,68.529999,67.470001,68.519997,2436400,68.519997
2017-01-10,67.470001,68.00,67.459999,67.599998,1258800,67.599998
2017-01-09,68.260002,68.389999,66.199997,67.309998,2795500,67.309998
2017-01-06,68.110001,68.610001,67.720001,68.300003,1178500,68.300003
2017-01-05,68.720001,68.970001,67.760002,67.839996,1491300,67.839996
2017-01-04,67.800003,69.139999,67.709999,68.669998,2205600,68.669998
2017-01-03,69.599998,69.900002,68.459999,68.959999,1941400,68.959999
2016-12-30,70.269997,70.519997,69.00,69.279999,1145800,69.279999
2016-12-29,69.989998,70.440002,69.690002,70.050003,566300,70.050003
2016-12-28,70.75,70.779999,69.889999,70.00,875000,70.00
2016-12-27,70.839996,71.029999,70.379997,70.550003,886600,70.550003
2016-12-23,70.720001,70.790001,70.32,70.620003,506200,70.620003
2016-12-22,70.589996,70.760002,69.970001,70.599998,979500,70.599998
2016-12-21,70.870003,71.209999,70.650002,70.660004,633600,70.660004
2016-12-20,70.739998,70.970001,70.120003,70.830002,754900,70.830002
2016-12-19,69.980003,70.580002,69.82,70.440002,1095900,70.440002
2016-12-16,70.860001,70.889999,69.660004,69.739998,1864300,69.739998
