Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.172,0.18,0.156,0.17,72800,0.17
2016-10-06,0.162,0.179,0.16,0.171,143400,0.171
2016-10-05,0.17,0.18,0.16,0.162,305700,0.162
2016-10-04,0.164,0.17,0.157,0.168,245700,0.168
2016-10-03,0.157,0.17,0.157,0.162,116100,0.162
2016-09-30,0.165,0.165,0.157,0.158,118800,0.158
2016-09-29,0.165,0.165,0.156,0.16,55600,0.16
2016-09-28,0.16,0.165,0.155,0.164,180200,0.164
2016-09-27,0.17,0.172,0.153,0.155,244500,0.155
2016-09-26,0.17,0.175,0.16,0.162,203200,0.162
2016-09-23,0.16,0.175,0.16,0.17,271100,0.17
2016-09-22,0.163,0.17,0.155,0.165,216200,0.165
2016-09-21,0.16,0.17,0.14,0.161,285500,0.161
2016-09-20,0.161,0.175,0.15,0.161,763700,0.161
2016-09-19,0.20,0.20,0.102,0.164,1479500,0.164
2016-09-16,0.20,0.208,0.18,0.193,336700,0.193
2016-09-15,0.208,0.208,0.20,0.20,234100,0.20
2016-09-14,0.20,0.21,0.20,0.204,225000,0.204
2016-09-13,0.20,0.205,0.20,0.201,70700,0.201
2016-09-12,0.20,0.209,0.20,0.20,85200,0.20
2016-09-09,0.20,0.215,0.20,0.20,196500,0.20
2016-09-08,0.209,0.21,0.20,0.21,221200,0.21
2016-09-07,0.206,0.21,0.20,0.20,305500,0.20
2016-09-06,0.21,0.224,0.21,0.21,196100,0.21
2016-09-02,0.215,0.23,0.21,0.213,268800,0.213
2016-09-01,0.229,0.232,0.215,0.22,270300,0.22
2016-08-31,0.218,0.232,0.218,0.222,219700,0.222
2016-08-30,0.22,0.23,0.215,0.218,302200,0.218
2016-08-29,0.23,0.23,0.21,0.216,280100,0.216
2016-08-26,0.23,0.245,0.22,0.224,472600,0.224
2016-08-25,0.255,0.259,0.22,0.237,417100,0.237
2016-08-24,0.23,0.28,0.203,0.242,1683400,0.242
2016-08-23,0.186,0.298,0.181,0.238,5525400,0.238
2016-08-22,0.195,0.196,0.179,0.186,181400,0.186
2016-08-19,0.20,0.20,0.185,0.195,294200,0.195
2016-08-18,0.196,0.20,0.196,0.20,200200,0.20
2016-08-17,0.209,0.215,0.195,0.20,652900,0.20
2016-08-16,0.20,0.22,0.18,0.199,1633100,0.199
2016-08-15,0.211,0.221,0.163,0.20,791000,0.20
2016-08-12,0.23,0.234,0.213,0.213,127700,0.213
2016-08-11,0.23,0.239,0.212,0.23,173600,0.23
2016-08-10,0.239,0.24,0.223,0.223,101700,0.223
2016-08-09,0.24,0.25,0.23,0.23,150200,0.23
2016-08-08,0.23,0.25,0.23,0.24,237800,0.24
2016-08-05,0.22,0.226,0.21,0.224,213200,0.224
2016-08-04,0.215,0.224,0.21,0.211,285100,0.211
2016-08-03,0.221,0.225,0.21,0.216,244000,0.216
2016-08-02,0.221,0.23,0.211,0.221,338700,0.221
2016-08-01,0.225,0.235,0.202,0.228,202600,0.228
2016-07-29,0.24,0.24,0.22,0.23,280800,0.23
2016-07-28,0.23,0.24,0.222,0.233,388200,0.233
2016-07-27,0.23,0.23,0.215,0.221,339700,0.221
2016-07-26,0.235,0.247,0.21,0.22,757400,0.22
2016-07-25,0.25,0.26,0.221,0.23,790500,0.23
2016-07-22,0.324,0.324,0.22,0.245,2558800,0.245
2016-07-21,0.33,0.333,0.31,0.316,615500,0.316
2016-07-20,0.32,0.35,0.31,0.334,874100,0.334
2016-07-19,0.335,0.335,0.315,0.323,217200,0.323
2016-07-18,0.33,0.35,0.32,0.325,540700,0.325
2016-07-15,0.315,0.335,0.315,0.325,229800,0.325
2016-07-14,0.33,0.35,0.319,0.321,225300,0.321
2016-07-13,0.33,0.34,0.311,0.317,162300,0.317
2016-07-12,0.33,0.345,0.31,0.322,420700,0.322
2016-07-11,0.347,0.35,0.306,0.33,443300,0.33
2016-07-08,0.36,0.37,0.304,0.33,813900,0.33
2016-07-07,0.31,0.38,0.301,0.36,3707000,0.36
2016-07-06,0.31,0.31,0.291,0.304,189500,0.304
2016-07-05,0.32,0.32,0.30,0.304,181900,0.304
2016-07-01,0.309,0.319,0.30,0.31,201500,0.31
2016-06-30,0.32,0.32,0.29,0.306,311600,0.306
2016-06-29,0.30,0.33,0.282,0.301,827600,0.301
2016-06-28,0.315,0.33,0.295,0.32,879700,0.32
2016-06-27,0.33,0.345,0.30,0.31,601700,0.31
2016-06-24,0.30,0.35,0.30,0.32,785900,0.32
2016-06-23,0.332,0.38,0.32,0.32,1010800,0.32
2016-06-22,0.379,0.379,0.321,0.332,1348900,0.332
2016-06-21,0.485,0.485,0.364,0.37,3759100,0.37
2016-06-20,0.32,0.50,0.32,0.50,5164300,0.50
2016-06-17,0.279,0.34,0.275,0.307,1852500,0.307
2016-06-16,0.266,0.289,0.263,0.275,103900,0.275
2016-06-15,0.287,0.299,0.26,0.275,241000,0.275
2016-06-14,0.29,0.295,0.27,0.287,237000,0.287
2016-06-13,0.294,0.31,0.27,0.29,474200,0.29
2016-06-10,0.31,0.32,0.24,0.29,838100,0.29
2016-06-09,0.329,0.33,0.28,0.31,301700,0.31
2016-06-08,0.337,0.34,0.316,0.33,397200,0.33
2016-06-07,0.37,0.375,0.33,0.35,436800,0.35
2016-06-06,0.379,0.389,0.35,0.365,473600,0.365
2016-06-03,0.35,0.395,0.35,0.37,1001800,0.37
2016-06-02,0.329,0.38,0.314,0.356,1322800,0.356
2016-06-01,0.33,0.35,0.30,0.32,352200,0.32
2016-05-31,0.30,0.34,0.281,0.325,358100,0.325
2016-05-27,0.32,0.32,0.275,0.305,318800,0.305
2016-05-26,0.34,0.40,0.29,0.32,1742800,0.32
2016-05-25,0.309,0.355,0.294,0.34,1965100,0.34
2016-05-24,0.27,0.32,0.25,0.28,1270700,0.28
2016-05-23,0.268,0.27,0.25,0.264,294800,0.264
2016-05-20,0.26,0.26,0.214,0.251,196000,0.251
2016-05-19,0.25,0.27,0.25,0.25,195300,0.25
2016-05-18,0.25,0.278,0.25,0.255,604800,0.255
2016-05-17,0.21,0.27,0.21,0.25,719300,0.25
2016-05-16,0.21,0.219,0.201,0.205,195400,0.205
2016-05-13,0.22,0.23,0.20,0.21,218900,0.21
2016-05-12,0.24,0.241,0.215,0.22,204100,0.22
2016-05-11,0.23,0.255,0.211,0.222,236700,0.222
2016-05-10,0.263,0.27,0.24,0.247,186400,0.247
2016-05-09,0.28,0.28,0.23,0.25,448600,0.25
2016-05-06,0.269,0.269,0.256,0.26,340900,0.26
2016-05-05,0.294,0.30,0.26,0.273,672500,0.273
2016-05-04,0.29,0.33,0.28,0.28,857100,0.28
2016-05-03,0.267,0.39,0.251,0.29,1639000,0.29
2016-05-02,0.31,0.332,0.255,0.267,1278500,0.267
2016-04-29,0.34,0.352,0.30,0.305,951000,0.305
2016-04-28,0.40,0.40,0.34,0.355,1066100,0.355
2016-04-27,0.33,0.425,0.31,0.38,2146200,0.38
2016-04-26,0.49,0.49,0.33,0.352,5097200,0.352
2016-04-25,0.336,0.62,0.311,0.49,13393100,0.49
2016-04-22,0.23,0.30,0.23,0.295,2423000,0.295
2016-04-21,0.231,0.231,0.21,0.221,199300,0.221
2016-04-20,0.23,0.25,0.22,0.22,386500,0.22
2016-04-19,0.25,0.25,0.225,0.23,493500,0.23
2016-04-18,0.24,0.25,0.225,0.23,507800,0.23
2016-04-15,0.20,0.289,0.20,0.22,1941500,0.22
2016-04-14,0.175,0.215,0.174,0.215,1039300,0.215
2016-04-13,0.179,0.179,0.162,0.17,55400,0.17
2016-04-12,0.181,0.181,0.17,0.17,308400,0.17
2016-04-11,0.163,0.18,0.16,0.179,47800,0.179
2016-04-08,0.169,0.17,0.161,0.163,129100,0.163
2016-04-07,0.165,0.17,0.152,0.161,87000,0.161
2016-04-06,0.168,0.17,0.152,0.164,96900,0.164
2016-04-05,0.169,0.178,0.152,0.16,453300,0.16
2016-04-04,0.185,0.19,0.16,0.168,288400,0.168
2016-04-01,0.18,0.19,0.178,0.181,153600,0.181
2016-03-31,0.178,0.185,0.178,0.178,200900,0.178
