Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.69,0.70,0.65,0.66,1244300,0.66
2016-10-06,0.75,0.75,0.69,0.69,1705500,0.69
2016-10-05,0.76,0.77,0.71,0.75,732200,0.75
2016-10-04,0.70,0.85,0.70,0.77,3811400,0.77
2016-10-03,0.70,0.71,0.69,0.70,442300,0.70
2016-09-30,0.70,0.71,0.70,0.70,526600,0.70
2016-09-29,0.70,0.71,0.70,0.70,494700,0.70
2016-09-28,0.70,0.72,0.69,0.70,765800,0.70
2016-09-27,0.71,0.72,0.69,0.70,783000,0.70
2016-09-26,0.70,0.72,0.69,0.70,711100,0.70
2016-09-23,0.71,0.72,0.70,0.70,950300,0.70
2016-09-22,0.73,0.74,0.69,0.71,1314900,0.71
2016-09-21,0.71,0.73,0.71,0.72,1085700,0.72
2016-09-20,0.73,0.74,0.69,0.70,1830800,0.70
2016-09-19,0.75,0.75,0.70,0.71,1803300,0.71
2016-09-16,0.75,0.77,0.73,0.74,1258200,0.74
2016-09-15,0.81,0.81,0.75,0.75,1518800,0.75
2016-09-14,0.80,0.81,0.76,0.79,1307000,0.79
2016-09-13,0.80,0.86,0.75,0.77,4600500,0.77
2016-09-12,0.79,0.79,0.75,0.78,822000,0.78
2016-09-09,0.82,0.82,0.76,0.78,1186500,0.78
2016-09-08,0.87,0.88,0.79,0.79,2286000,0.79
2016-09-07,0.94,0.96,0.85,0.87,3551800,0.87
2016-09-06,1.02,1.08,0.90,0.92,9535100,0.92
2016-09-02,2.38,2.38,2.06,2.18,1089900,2.18
2016-09-01,2.30,2.49,2.25,2.36,989100,2.36
2016-08-31,2.45,2.48,2.23,2.28,587600,2.28
2016-08-30,2.51,2.56,2.38,2.47,326600,2.47
2016-08-29,2.75,2.75,2.45,2.49,1454200,2.49
2016-08-26,2.45,2.51,2.35,2.44,286800,2.44
2016-08-25,2.51,2.60,2.35,2.45,480000,2.45
2016-08-24,2.74,2.75,2.45,2.51,502400,2.51
2016-08-23,2.71,2.80,2.63,2.69,458200,2.69
2016-08-22,2.49,2.75,2.44,2.72,991200,2.72
2016-08-19,2.46,2.50,2.45,2.47,166100,2.47
2016-08-18,2.59,2.64,2.43,2.50,352400,2.50
2016-08-17,2.51,2.58,2.46,2.57,243000,2.57
2016-08-16,2.52,2.54,2.41,2.51,298600,2.51
2016-08-15,2.65,2.75,2.41,2.50,632300,2.50
2016-08-12,2.23,2.58,2.20,2.56,932200,2.56
2016-08-11,2.25,2.26,2.17,2.25,173000,2.25
2016-08-10,2.27,2.30,2.18,2.26,386700,2.26
2016-08-09,2.24,2.29,2.17,2.27,371100,2.27
2016-08-08,2.10,2.30,2.08,2.28,1231500,2.28
2016-08-05,2.02,2.09,2.01,2.07,209300,2.07
2016-08-04,2.10,2.10,1.98,2.03,251200,2.03
2016-08-03,2.02,2.13,1.99,2.07,235600,2.07
2016-08-02,2.07,2.08,1.95,2.03,232800,2.03
2016-08-01,2.10,2.10,2.02,2.05,161800,2.05
2016-07-29,2.02,2.09,2.00,2.07,170900,2.07
2016-07-28,2.05,2.10,2.02,2.04,106100,2.04
2016-07-27,1.98,2.10,1.97,2.06,213700,2.06
2016-07-26,2.00,2.01,1.92,1.95,204900,1.95
2016-07-25,1.97,2.02,1.92,1.95,137900,1.95
2016-07-22,1.96,2.01,1.92,2.00,149700,2.00
2016-07-21,2.03,2.07,1.96,1.96,246000,1.96
2016-07-20,2.00,2.08,1.96,2.01,128700,2.01
2016-07-19,2.09,2.10,1.96,1.98,209200,1.98
2016-07-18,2.05,2.10,2.01,2.08,155600,2.08
2016-07-15,2.02,2.10,1.98,2.04,172400,2.04
2016-07-14,2.05,2.09,2.00,2.01,243400,2.01
2016-07-13,2.12,2.15,2.00,2.04,377300,2.04
2016-07-12,2.14,2.17,1.95,2.12,238300,2.12
2016-07-11,2.19,2.19,2.12,2.12,189500,2.12
2016-07-08,2.15,2.20,2.12,2.16,345500,2.16
2016-07-07,2.07,2.14,2.07,2.13,160000,2.13
2016-07-06,2.05,2.10,2.04,2.06,135900,2.06
2016-07-05,2.07,2.15,2.03,2.04,660600,2.04
2016-07-01,2.01,2.08,1.99,2.02,668100,2.02
2016-06-30,2.13,2.14,1.96,1.99,716400,1.99
2016-06-29,2.12,2.17,2.02,2.11,285500,2.11
2016-06-28,1.99,2.13,1.99,2.09,302500,2.09
2016-06-27,2.06,2.06,1.90,1.96,423600,1.96
2016-06-24,2.08,2.16,1.97,2.05,493900,2.05
2016-06-23,2.12,2.24,2.02,2.15,913200,2.15
2016-06-22,2.06,2.15,1.96,2.07,800000,2.07
2016-06-21,1.96,2.18,1.87,2.05,1540900,2.05
2016-06-20,1.97,2.03,1.84,1.94,497400,1.94
2016-06-17,2.00,2.00,1.93,1.97,486200,1.97
2016-06-16,2.00,2.06,1.94,1.97,2278600,1.97
2016-06-15,2.55,2.65,2.42,2.46,258200,2.46
2016-06-14,2.49,2.59,2.38,2.53,183100,2.53
2016-06-13,2.43,2.59,2.40,2.49,248100,2.49
2016-06-10,2.53,2.55,2.36,2.40,316400,2.40
2016-06-09,2.75,2.82,2.44,2.56,390600,2.56
2016-06-08,2.74,2.79,2.65,2.76,135300,2.76
2016-06-07,2.92,2.95,2.70,2.84,233000,2.84
2016-06-06,2.61,2.85,2.54,2.83,414000,2.83
2016-06-03,2.53,2.61,2.40,2.54,267400,2.54
2016-06-02,2.60,2.69,2.48,2.55,803000,2.55
2016-06-01,2.43,2.49,2.34,2.44,240000,2.44
2016-05-31,2.34,2.48,2.29,2.44,643200,2.44
2016-05-27,2.35,2.38,2.25,2.29,299100,2.29
2016-05-26,2.34,2.40,2.22,2.35,396100,2.35
2016-05-25,2.29,2.35,2.22,2.25,468400,2.25
2016-05-24,2.40,2.40,2.21,2.26,480300,2.26
2016-05-23,2.34,2.55,2.34,2.37,362100,2.37
2016-05-20,2.70,2.75,2.25,2.33,1169400,2.33
2016-05-19,3.63,3.77,2.40,2.47,5337600,2.47
2016-05-18,2.86,3.13,2.86,2.90,205000,2.90
2016-05-17,2.78,2.91,2.66,2.86,205200,2.86
2016-05-16,2.65,2.75,2.55,2.74,183200,2.74
2016-05-13,2.35,2.68,2.33,2.63,220000,2.63
2016-05-12,2.31,2.37,2.27,2.33,150700,2.33
2016-05-11,2.22,2.27,2.17,2.27,117600,2.27
2016-05-10,2.18,2.32,2.15,2.19,125800,2.19
2016-05-09,1.95,2.23,1.95,2.17,188700,2.17
2016-05-06,2.31,2.35,1.85,1.94,311500,1.94
2016-05-05,2.38,2.48,2.28,2.31,128800,2.31
2016-05-04,2.50,2.51,2.34,2.38,84300,2.38
2016-05-03,2.53,2.64,2.51,2.54,36900,2.54
2016-05-02,2.66,2.68,2.43,2.53,78500,2.53
