Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,6.56,6.76,6.56,6.68,20700,6.68
2016-10-06,6.80,7.04,6.48,6.59,13700,6.59
2016-10-05,7.25,7.41,6.90,6.90,20400,6.90
2016-10-04,7.20,7.69,7.09,7.17,13900,7.17
2016-10-03,7.54,7.54,7.15,7.15,8300,7.15
2016-09-30,7.72,7.96,7.42,7.47,75200,7.47
2016-09-29,7.37,7.74,6.88,7.55,98800,7.55
2016-09-28,7.51,7.69,7.21,7.39,6100,7.39
2016-09-27,7.75,7.75,7.32,7.40,14000,7.40
2016-09-26,8.03,8.03,7.35,7.45,41100,7.45
2016-09-23,7.13,7.90,6.92,7.81,81500,7.81
2016-09-22,7.43,7.48,7.09,7.40,27300,7.40
2016-09-21,7.13,8.04,7.13,7.33,55500,7.33
2016-09-20,7.15,7.25,7.00,7.13,15100,7.13
2016-09-19,7.20,7.52,7.09,7.25,61900,7.25
2016-09-16,7.22,7.39,6.95,7.22,10500,7.22
2016-09-15,7.19,7.40,7.05,7.17,25400,7.17
2016-09-14,7.42,7.70,6.99,7.38,18400,7.38
2016-09-13,7.69,7.90,6.94,7.46,18500,7.46
2016-09-12,7.40,7.80,6.84,7.77,44800,7.77
2016-09-09,7.15,7.86,6.75,7.49,65600,7.49
2016-09-08,8.01,8.28,6.73,7.02,134300,7.02
2016-09-07,9.19,9.50,7.80,7.82,130900,7.82
2016-09-06,7.69,9.48,7.45,9.05,75600,9.05
2016-09-02,7.86,7.89,7.45,7.69,34600,7.69
2016-09-01,6.59,8.15,6.19,7.61,82800,7.61
2016-08-31,6.34,6.80,6.15,6.54,42000,6.54
2016-08-30,6.00,6.50,5.80,6.28,100500,6.28
2016-08-29,6.00,6.15,5.72,5.93,57900,5.93
2016-08-26,5.80,6.16,5.62,5.91,48200,5.91
2016-08-25,5.45,5.75,5.34,5.75,26900,5.75
2016-08-24,5.42,5.59,5.17,5.43,21300,5.43
2016-08-23,5.40,5.75,5.36,5.36,6600,5.36
2016-08-22,5.50,5.58,5.22,5.49,20800,5.49
2016-08-19,5.70,5.75,5.51,5.60,38400,5.60
2016-08-18,5.43,5.73,5.36,5.61,30700,5.61
2016-08-17,5.75,5.75,5.17,5.49,34500,5.49
2016-08-16,5.75,5.82,5.40,5.63,53900,5.63
2016-08-15,5.55,5.85,5.35,5.50,60100,5.50
2016-08-12,5.75,5.75,5.55,5.61,5900,5.61
2016-08-11,5.91,5.99,5.85,5.87,6700,5.87
2016-08-10,5.96,6.14,5.85,5.89,7000,5.89
2016-08-09,6.10,6.30,5.85,5.95,20100,5.95
2016-08-08,5.76,6.20,5.64,6.15,35400,6.15
