Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.35,1.36,1.29,1.32,263500,1.32
2016-10-06,1.39,1.42,1.32,1.33,280700,1.33
2016-10-05,1.37,1.45,1.35,1.38,464400,1.38
2016-10-04,1.34,1.40,1.33,1.35,487400,1.35
2016-10-03,1.28,1.36,1.25,1.34,445000,1.34
2016-09-30,1.33,1.33,1.25,1.28,593400,1.28
2016-09-29,1.36,1.36,1.30,1.31,268200,1.31
2016-09-28,1.38,1.38,1.26,1.33,587800,1.33
2016-09-27,1.40,1.43,1.30,1.32,722800,1.32
2016-09-26,1.40,1.43,1.39,1.41,230900,1.41
2016-09-23,1.45,1.51,1.39,1.43,324200,1.43
2016-09-22,1.56,1.57,1.48,1.49,441900,1.49
2016-09-21,1.42,1.49,1.42,1.46,298200,1.46
2016-09-20,1.45,1.46,1.40,1.41,153400,1.41
2016-09-19,1.44,1.49,1.43,1.46,191000,1.46
2016-09-16,1.42,1.45,1.41,1.45,237400,1.45
2016-09-15,1.39,1.46,1.39,1.44,175300,1.44
2016-09-14,1.41,1.45,1.40,1.41,296700,1.41
2016-09-13,1.50,1.51,1.40,1.44,652400,1.44
2016-09-12,1.53,1.60,1.47,1.53,599200,1.53
2016-09-09,1.66,1.71,1.53,1.53,697900,1.53
2016-09-08,1.67,1.71,1.64,1.68,361700,1.68
2016-09-07,1.86,1.87,1.61,1.68,1218100,1.68
2016-09-06,1.66,1.87,1.63,1.83,2708300,1.83
2016-09-02,1.59,1.63,1.55,1.63,481600,1.63
2016-09-01,1.50,1.62,1.45,1.57,927900,1.57
2016-08-31,1.65,1.65,1.51,1.54,706300,1.54
2016-08-30,1.44,1.68,1.43,1.61,1809700,1.61
2016-08-29,1.46,1.52,1.42,1.44,942300,1.44
2016-08-26,1.57,1.62,1.42,1.46,1416100,1.46
2016-08-25,1.56,1.69,1.52,1.59,1796500,1.59
2016-08-24,2.04,2.13,1.53,1.55,16978800,1.55
2016-08-23,1.34,1.38,1.30,1.32,256400,1.32
2016-08-22,1.43,1.47,1.33,1.34,337800,1.34
2016-08-19,1.39,1.47,1.36,1.43,290100,1.43
2016-08-18,1.34,1.47,1.33,1.39,536700,1.39
2016-08-17,1.36,1.42,1.32,1.35,353800,1.35
2016-08-16,1.41,1.49,1.33,1.38,430200,1.38
2016-08-15,1.55,1.56,1.38,1.41,554700,1.41
2016-08-12,1.85,1.85,1.50,1.56,3550800,1.56
2016-08-11,1.27,1.70,1.26,1.69,3137500,1.69
2016-08-10,1.33,1.33,1.26,1.27,209500,1.27
2016-08-09,1.34,1.34,1.29,1.31,131000,1.31
2016-08-08,1.32,1.36,1.27,1.32,310900,1.32
2016-08-05,1.35,1.37,1.30,1.32,78000,1.32
2016-08-04,1.32,1.36,1.26,1.34,205800,1.34
2016-08-03,1.30,1.37,1.30,1.32,189100,1.32
2016-08-02,1.43,1.46,1.29,1.32,347700,1.32
2016-08-01,1.42,1.53,1.39,1.42,441200,1.42
2016-07-29,1.49,1.55,1.39,1.43,260000,1.43
2016-07-28,1.39,1.51,1.39,1.41,387100,1.41
2016-07-27,1.46,1.47,1.39,1.39,304200,1.39
2016-07-26,1.49,1.55,1.46,1.47,194300,1.47
2016-07-25,1.58,1.58,1.47,1.48,96000,1.48
2016-07-22,1.58,1.58,1.49,1.55,106300,1.55
2016-07-21,1.51,1.61,1.51,1.54,59700,1.54
2016-07-20,1.54,1.57,1.52,1.54,84900,1.54
2016-07-19,1.58,1.62,1.50,1.56,289500,1.56
2016-07-18,1.64,1.67,1.50,1.58,258700,1.58
2016-07-15,1.70,1.70,1.62,1.67,49600,1.67
2016-07-14,1.66,1.67,1.59,1.66,120700,1.66
2016-07-13,1.68,1.75,1.61,1.64,139400,1.64
2016-07-12,1.63,1.72,1.58,1.70,185900,1.70
2016-07-11,1.59,1.67,1.59,1.63,170800,1.63
2016-07-08,1.66,1.69,1.62,1.67,47600,1.67
2016-07-07,1.67,1.72,1.59,1.63,104700,1.63
2016-07-06,1.60,1.67,1.58,1.66,138600,1.66
2016-07-05,1.70,1.81,1.60,1.62,198100,1.62
2016-07-01,1.61,1.73,1.61,1.70,171800,1.70
2016-06-30,1.57,1.62,1.54,1.60,88900,1.60
2016-06-29,1.56,1.78,1.53,1.56,293700,1.56
2016-06-28,1.50,1.59,1.50,1.55,136600,1.55
2016-06-27,1.59,1.60,1.45,1.46,156300,1.46
2016-06-24,1.65,1.69,1.60,1.61,218000,1.61
2016-06-23,1.74,1.80,1.69,1.74,119000,1.74
