Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,7.38,7.43,7.24,7.25,810900,7.25
2016-10-06,7.35,7.43,7.32,7.38,1264300,7.38
2016-10-05,7.29,7.46,7.18,7.38,1282800,7.38
2016-10-04,7.35,7.38,7.22,7.25,747200,7.25
2016-10-03,7.33,7.36,7.23,7.31,1110000,7.31
2016-09-30,7.29,7.40,7.24,7.39,1539100,7.39
2016-09-29,7.38,7.42,7.26,7.26,769900,7.26
2016-09-28,7.36,7.45,7.32,7.37,990400,7.37
2016-09-27,7.27,7.41,7.24,7.36,1349500,7.36
2016-09-26,7.41,7.46,7.26,7.26,1064900,7.26
2016-09-23,7.40,7.45,7.38,7.43,1365700,7.43
2016-09-22,7.40,7.51,7.38,7.50,2352400,7.50
2016-09-21,7.35,7.41,7.26,7.37,1490600,7.37
2016-09-20,7.47,7.47,7.30,7.31,1261200,7.31
2016-09-19,7.37,7.50,7.34,7.42,1606200,7.42
2016-09-16,7.42,7.52,7.31,7.34,3374000,7.34
2016-09-15,7.55,7.61,7.42,7.47,3134600,7.47
2016-09-14,7.54,7.61,7.49,7.51,1491300,7.51
2016-09-13,7.59,7.69,7.45,7.51,1119300,7.51
2016-09-12,7.46,7.68,7.41,7.68,1621900,7.68
2016-09-09,7.72,7.81,7.50,7.53,1347800,7.53
2016-09-08,7.84,7.87,7.75,7.77,1050100,7.77
2016-09-07,7.85,7.90,7.74,7.87,1439700,7.87
2016-09-06,7.87,7.87,7.77,7.83,2313500,7.83
2016-09-02,7.85,7.94,7.83,7.84,1291700,7.84
2016-09-01,7.79,7.90,7.77,7.85,2007400,7.85
2016-08-31,7.79,7.86,7.70,7.78,1877500,7.78
2016-08-30,7.81,7.89,7.77,7.83,1070100,7.83
2016-08-29,7.75,7.85,7.75,7.78,835100,7.78
2016-08-26,7.73,7.84,7.70,7.77,1319700,7.77
2016-08-25,7.72,7.86,7.70,7.73,1925100,7.73
2016-08-24,7.79,7.87,7.74,7.75,1114600,7.75
2016-08-23,7.73,7.89,7.72,7.83,1574500,7.83
2016-08-22,7.69,7.82,7.65,7.77,1461400,7.77
2016-08-19,7.81,7.83,7.73,7.77,1814100,7.77
2016-08-18,7.69,7.82,7.65,7.81,1317200,7.81
2016-08-17,7.57,7.69,7.52,7.66,1635900,7.66
2016-08-16,7.55,7.65,7.47,7.60,1862500,7.60
2016-08-15,7.28,7.65,7.28,7.54,4594600,7.54
2016-08-12,7.01,7.33,6.96,7.30,4550600,7.30
2016-08-11,7.33,7.38,7.30,7.33,1690900,7.33
2016-08-10,7.35,7.39,7.23,7.28,1444800,7.28
2016-08-09,7.24,7.37,7.18,7.33,1518000,7.33
2016-08-08,7.25,7.32,7.21,7.25,1220200,7.25
2016-08-05,7.18,7.25,7.15,7.25,2499500,7.25
2016-08-04,7.13,7.22,7.10,7.14,1578800,7.14
2016-08-03,7.00,7.18,7.00,7.15,3400200,7.15
2016-08-02,7.11,7.15,7.01,7.01,1584900,7.01
