Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,3.44,3.48,3.38,3.38,4288800,3.38
2016-10-06,3.49,3.49,3.42,3.44,3541000,3.44
2016-10-05,3.50,3.52,3.41,3.44,2268300,3.44
2016-10-04,3.52,3.52,3.48,3.48,2845400,3.48
2016-10-03,3.50,3.53,3.46,3.51,1971600,3.51
2016-09-30,3.53,3.55,3.48,3.48,4662900,3.48
2016-09-29,3.56,3.59,3.46,3.49,7537700,3.49
2016-09-28,3.53,3.57,3.46,3.57,8089200,3.57
2016-09-27,3.57,3.57,3.50,3.51,3507300,3.51
2016-09-26,3.55,3.58,3.50,3.57,4066800,3.57
2016-09-23,3.57,3.59,3.53,3.54,4962200,3.54
2016-09-22,3.55,3.60,3.52,3.57,11662000,3.57
2016-09-21,3.45,3.54,3.44,3.53,11636700,3.53
2016-09-20,3.40,3.45,3.38,3.41,8698800,3.41
2016-09-19,3.48,3.49,3.39,3.40,17095500,3.40
2016-09-16,3.41,3.53,3.32,3.40,95732700,3.40
2016-09-15,3.35,3.68,3.32,3.63,10797600,3.63
2016-09-14,3.43,3.45,3.32,3.33,7048100,3.33
2016-09-13,3.56,3.61,3.36,3.41,9132400,3.41
2016-09-12,3.75,3.77,3.57,3.63,6581200,3.63
2016-09-09,4.14,4.15,3.88,3.90,1477800,3.90
2016-09-08,4.15,4.27,4.14,4.19,686600,4.19
2016-09-07,4.25,4.34,4.18,4.18,715500,4.18
2016-09-06,4.16,4.30,4.15,4.25,753900,4.25
2016-09-02,4.24,4.45,4.17,4.35,1426100,4.35
2016-09-01,4.31,4.31,4.10,4.17,686300,4.17
2016-08-31,4.28,4.32,4.22,4.27,615000,4.27
2016-08-30,4.30,4.36,4.28,4.32,776300,4.32
2016-08-29,4.21,4.38,4.17,4.34,668800,4.34
2016-08-26,4.22,4.36,4.13,4.18,695400,4.18
2016-08-25,4.24,4.33,4.16,4.17,534400,4.17
2016-08-24,4.21,4.30,4.18,4.25,508200,4.25
2016-08-23,4.37,4.37,4.24,4.26,834700,4.26
2016-08-22,4.34,4.37,4.26,4.31,554300,4.31
2016-08-19,4.33,4.37,4.30,4.35,524300,4.35
2016-08-18,4.33,4.43,4.30,4.35,314700,4.35
2016-08-17,4.42,4.49,4.31,4.34,566400,4.34
2016-08-16,4.41,4.49,4.37,4.42,447300,4.42
2016-08-15,4.43,4.48,4.34,4.45,718300,4.45
2016-08-12,4.45,4.51,4.41,4.41,587600,4.41
2016-08-11,4.41,4.49,4.35,4.48,497500,4.48
2016-08-10,4.44,4.49,4.31,4.39,487000,4.39
2016-08-09,4.41,4.51,4.39,4.44,594800,4.44
2016-08-08,4.45,4.51,4.34,4.37,954500,4.37
2016-08-05,4.30,4.46,4.28,4.45,1842300,4.45
2016-08-04,4.14,4.30,4.10,4.24,1349800,4.24
2016-08-03,4.06,4.12,4.01,4.09,528000,4.09
2016-08-02,4.16,4.18,4.01,4.08,538400,4.08
2016-08-01,4.05,4.25,4.01,4.14,1157300,4.14
2016-07-29,4.08,4.14,4.04,4.08,502300,4.08
