Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,16.790001,16.940001,16.450001,16.83,646700,16.83
2016-10-06,16.42,17.200001,16.35,16.83,1128000,16.83
2016-10-05,16.219999,16.559999,16.139999,16.25,427800,16.25
2016-10-04,16.450001,16.52,16.07,16.23,459400,16.23
2016-10-03,16.620001,16.629999,16.200001,16.360001,551100,16.360001
2016-09-30,16.40,17.26,16.200001,16.639999,1226100,16.639999
2016-09-29,16.709999,16.879999,15.62,16.26,1501700,16.26
2016-09-28,16.780001,16.860001,16.209999,16.700001,946800,16.700001
2016-09-27,16.98,17.209999,16.57,16.83,876000,16.83
2016-09-26,16.77,17.10,16.440001,17.049999,1115100,17.049999
2016-09-23,16.889999,17.23,16.200001,16.809999,2475400,16.809999
2016-09-22,15.52,18.00,15.15,16.620001,3198600,16.620001
2016-09-21,15.32,15.60,15.04,15.56,633700,15.56
2016-09-20,15.41,15.48,15.05,15.29,897100,15.29
2016-09-19,15.55,15.66,15.19,15.20,626800,15.20
2016-09-16,15.70,15.90,15.49,15.55,1091900,15.55
2016-09-15,15.82,16.00,15.65,15.73,1455400,15.73
2016-09-14,15.71,16.25,15.38,15.92,1046400,15.92
2016-09-13,15.99,16.209999,15.53,15.72,689700,15.72
2016-09-12,15.75,16.25,15.75,16.10,638900,16.10
2016-09-09,16.00,16.10,15.83,15.84,473600,15.84
2016-09-08,16.139999,16.219999,15.77,16.08,519700,16.08
2016-09-07,16.00,16.50,12.93,16.27,1310100,16.27
2016-09-06,15.70,16.280001,15.63,16.08,1156200,16.08
2016-09-02,15.26,15.63,15.08,15.55,443000,15.55
2016-09-01,15.36,15.48,15.05,15.29,561600,15.29
2016-08-31,15.45,15.67,15.35,15.38,612800,15.38
2016-08-30,15.32,16.030001,15.24,15.72,1008700,15.72
2016-08-29,15.30,15.64,15.08,15.26,1211700,15.26
2016-08-26,14.50,15.38,14.18,15.33,2664300,15.33
2016-08-25,11.76,15.24,11.58,14.17,5552500,14.17
2016-08-24,12.32,12.54,11.66,11.75,538600,11.75
2016-08-23,12.49,12.69,12.18,12.25,586500,12.25
