Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.16,1.16,1.05,1.16,51000,1.16
2016-10-06,1.27,1.27,1.17,1.19,25600,1.19
2016-10-05,1.22,1.25,1.18,1.22,68100,1.22
2016-10-04,1.25,1.25,1.20,1.24,14900,1.24
2016-10-03,1.26,1.28,1.23,1.24,28100,1.24
2016-09-30,1.28,1.30,1.25,1.30,27400,1.30
2016-09-29,1.40,1.40,1.24,1.29,61100,1.29
2016-09-28,1.33,1.40,1.29,1.33,69400,1.33
2016-09-27,1.35,1.38,1.30,1.38,8500,1.38
2016-09-26,1.38,1.38,1.32,1.36,11100,1.36
2016-09-23,1.37,1.37,1.30,1.36,18400,1.36
2016-09-22,1.37,1.37,1.31,1.32,21600,1.32
2016-09-21,1.37,1.40,1.34,1.38,20300,1.38
2016-09-20,1.40,1.40,1.35,1.39,19700,1.39
2016-09-19,1.25,1.44,1.25,1.40,168700,1.40
2016-09-16,1.33,1.36,1.25,1.25,83000,1.25
2016-09-15,1.33,1.37,1.31,1.34,25600,1.34
2016-09-14,1.37,1.37,1.31,1.35,36200,1.35
2016-09-13,1.37,1.39,1.29,1.38,27300,1.38
2016-09-12,1.41,1.42,1.35,1.39,31600,1.39
2016-09-09,1.36,1.40,1.36,1.40,32200,1.40
2016-09-08,1.32,1.37,1.32,1.37,12000,1.37
2016-09-07,1.40,1.42,1.26,1.31,77000,1.31
2016-09-06,1.32,1.41,1.32,1.39,23400,1.39
2016-09-02,1.41,1.41,1.30,1.35,13700,1.35
2016-09-01,1.39,1.47,1.33,1.37,36000,1.37
2016-08-31,1.38,1.42,1.37,1.41,10700,1.41
2016-08-30,1.40,1.41,1.33,1.38,21800,1.38
2016-08-29,1.33,1.42,1.30,1.42,41100,1.42
2016-08-26,1.31,1.35,1.26,1.33,5000,1.33
2016-08-25,1.26,1.36,1.21,1.32,29200,1.32
2016-08-24,1.31,1.33,1.25,1.26,7400,1.26
2016-08-23,1.29,1.32,1.29,1.29,16000,1.29
2016-08-22,1.28,1.30,1.27,1.27,7300,1.27
2016-08-19,1.27,1.29,1.27,1.29,3500,1.29
2016-08-18,1.31,1.31,1.24,1.28,3800,1.28
2016-08-17,1.22,1.27,1.22,1.23,9100,1.23
2016-08-16,1.30,1.32,1.21,1.22,39000,1.22
2016-08-15,1.33,1.36,1.28,1.31,15600,1.31
2016-08-12,1.31,1.36,1.27,1.36,7800,1.36
2016-08-11,1.30,1.34,1.26,1.34,13300,1.34
2016-08-10,1.40,1.40,1.28,1.30,21800,1.30
2016-08-09,1.37,1.37,1.24,1.34,29500,1.34
2016-08-08,1.41,1.41,1.33,1.39,9300,1.39
2016-08-05,1.40,1.41,1.32,1.41,10400,1.41
2016-08-04,1.31,1.39,1.31,1.37,18100,1.37
2016-08-03,1.34,1.40,1.26,1.30,43100,1.30
2016-08-02,1.40,1.40,1.26,1.28,47500,1.28
2016-08-01,1.40,1.41,1.37,1.38,7100,1.38
