Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.10,1.17,1.10,1.15,42500,1.15
2016-10-06,1.12,1.15,1.11,1.11,15200,1.11
2016-10-05,1.13,1.17,1.10,1.12,39300,1.12
2016-10-04,1.12,1.14,1.11,1.14,4900,1.14
2016-10-03,1.10,1.15,1.10,1.11,66300,1.11
2016-09-30,1.15,1.15,1.13,1.15,27500,1.15
2016-09-29,1.12,1.15,1.11,1.15,49100,1.15
2016-09-28,1.14,1.15,1.10,1.13,38800,1.13
2016-09-27,1.10,1.18,1.10,1.14,49300,1.14
2016-09-26,1.16,1.16,1.10,1.14,16400,1.14
2016-09-23,1.18,1.18,1.11,1.13,48100,1.13
2016-09-22,1.14,1.20,1.14,1.16,20800,1.16
2016-09-21,1.20,1.20,1.16,1.18,46600,1.18
2016-09-20,1.162,1.20,1.15,1.20,14000,1.20
2016-09-19,1.14,1.18,1.12,1.18,34600,1.18
2016-09-16,1.25,1.25,1.10,1.10,37200,1.10
2016-09-15,1.24,1.29,1.15,1.18,65900,1.18
2016-09-14,1.21,1.25,1.21,1.23,30300,1.23
2016-09-13,1.29,1.29,1.19,1.25,41700,1.25
2016-09-12,1.27,1.30,1.20,1.29,23500,1.29
2016-09-09,1.27,1.295,1.24,1.29,16000,1.29
2016-09-08,1.25,1.30,1.24,1.28,27000,1.28
2016-09-07,1.23,1.30,1.23,1.25,26300,1.25
2016-09-06,1.24,1.29,1.22,1.24,37100,1.24
2016-09-02,1.25,1.28,1.22,1.22,11700,1.22
2016-09-01,1.23,1.28,1.23,1.25,3600,1.25
2016-08-31,1.28,1.29,1.23,1.28,65100,1.28
2016-08-30,1.27,1.32,1.26,1.30,19000,1.30
2016-08-29,1.26,1.30,1.243,1.26,21700,1.26
2016-08-26,1.30,1.31,1.22,1.25,59500,1.25
2016-08-25,1.30,1.306,1.26,1.27,61200,1.27
2016-08-24,1.30,1.33,1.28,1.29,22300,1.29
2016-08-23,1.31,1.324,1.28,1.31,82700,1.31
2016-08-22,1.32,1.355,1.29,1.32,14600,1.32
2016-08-19,1.36,1.38,1.34,1.37,105400,1.37
2016-08-18,1.32,1.45,1.32,1.39,29400,1.39
2016-08-17,1.31,1.35,1.29,1.32,15100,1.32
2016-08-16,1.35,1.36,1.30,1.30,27900,1.30
2016-08-15,1.34,1.39,1.30,1.33,33000,1.33
2016-08-12,1.356,1.38,1.28,1.34,19200,1.34
2016-08-11,1.50,1.55,1.35,1.38,202000,1.38
2016-08-10,1.29,1.291,1.27,1.27,45100,1.27
2016-08-09,1.45,1.49,1.27,1.30,42700,1.30
2016-08-08,1.27,1.47,1.27,1.37,232600,1.37
2016-08-05,1.25,1.27,1.25,1.27,42200,1.27
2016-08-04,1.30,1.30,1.25,1.27,9500,1.27
2016-08-03,1.26,1.30,1.26,1.30,39800,1.30
2016-08-02,1.25,1.25,1.221,1.24,3800,1.24
2016-08-01,1.28,1.30,1.17,1.25,34000,1.25
2016-07-29,1.25,1.28,1.25,1.28,13000,1.28
2016-07-28,1.24,1.29,1.21,1.23,9900,1.23
2016-07-27,1.23,1.28,1.23,1.26,27900,1.26
2016-07-26,1.25,1.28,1.25,1.255,6400,1.255
2016-07-25,1.28,1.36,1.26,1.27,30500,1.27
2016-07-22,1.27,1.30,1.27,1.28,16600,1.28
2016-07-21,1.30,1.36,1.25,1.29,138500,1.29
2016-07-20,1.299,1.30,1.20,1.25,20100,1.25
2016-07-19,1.20,1.241,1.20,1.20,22300,1.20
2016-07-18,1.22,1.29,1.20,1.22,39800,1.22
2016-07-15,1.28,1.305,1.22,1.22,21800,1.22
2016-07-14,1.25,1.312,1.23,1.28,11600,1.28
2016-07-13,1.31,1.315,1.25,1.26,24700,1.26
2016-07-12,1.34,1.34,1.30,1.33,18700,1.33
2016-07-11,1.36,1.40,1.31,1.34,10900,1.34
2016-07-08,1.30,1.43,1.30,1.39,21800,1.39
2016-07-07,1.33,1.37,1.29,1.30,18500,1.30
2016-07-06,1.30,1.37,1.30,1.37,15200,1.37
2016-07-05,1.30,1.32,1.29,1.32,4800,1.32
2016-07-01,1.32,1.32,1.29,1.30,26800,1.30
2016-06-30,1.325,1.37,1.28,1.33,14000,1.33
2016-06-29,1.39,1.49,1.34,1.36,49600,1.36
2016-06-28,1.39,1.39,1.254,1.37,27400,1.37
2016-06-27,1.21,1.27,1.19,1.19,18900,1.19
2016-06-24,1.30,1.31,1.24,1.26,25200,1.26
2016-06-23,1.37,1.37,1.30,1.32,15400,1.32
2016-06-22,1.36,1.36,1.34,1.36,12100,1.36
2016-06-21,1.32,1.40,1.31,1.37,26800,1.37
2016-06-20,1.31,1.40,1.309,1.38,32400,1.38
2016-06-17,1.37,1.40,1.31,1.32,20000,1.32
2016-06-16,1.16,1.35,1.16,1.31,23700,1.31
2016-06-15,1.30,1.37,1.12,1.12,21600,1.12
