Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,56.470001,56.470001,55.792999,56.209999,13800,56.209999
2016-10-06,56.630001,56.630001,56.314999,56.48,23100,56.48
2016-10-05,56.709999,56.75,56.43,56.73,13600,56.73
2016-10-04,56.68,56.700001,56.040001,56.150002,56800,56.150002
2016-10-03,56.259998,56.400002,56.155998,56.389999,17200,56.389999
2016-09-30,56.049999,56.509998,55.974998,56.41,10000,56.41
2016-09-29,56.720001,56.720001,55.799999,55.990002,25200,55.990002
2016-09-28,56.200001,56.619999,55.889999,56.619999,10900,56.619999
2016-09-27,55.75,56.00,55.549999,55.939999,16400,55.939999
2016-09-26,55.970001,55.990002,55.764999,55.799999,12300,55.799999
2016-09-23,56.57,56.59,56.349998,56.349998,10100,56.349998
2016-09-22,57.349998,57.349998,56.849998,56.990002,23600,56.990002
2016-09-21,55.950001,56.540001,55.754002,56.50,36400,56.50
2016-09-20,55.869999,55.869999,55.404999,55.439999,10200,55.439999
2016-09-19,55.34,55.529999,55.169998,55.279999,19000,55.279999
2016-09-16,55.32,55.32,54.75,54.860001,32200,54.860001
2016-09-15,54.900002,55.66,54.900002,55.52,4600,55.52
2016-09-14,55.299999,55.398998,54.959999,55.014999,15800,55.014999
2016-09-13,55.740002,55.740002,54.849998,54.990002,26400,54.990002
2016-09-12,56.119999,56.889999,55.900002,56.853001,18400,56.479
2016-09-09,57.50,57.50,56.396999,56.419998,33500,56.048846
2016-09-08,57.66,57.849998,57.50,57.68,11600,57.300559
2016-09-07,58.00,58.00,57.515999,57.66,18200,57.28069
2016-09-06,57.41,57.689999,57.275002,57.689999,16700,57.310492
2016-09-02,57.099998,57.200001,56.970001,57.110001,19400,56.734309
2016-09-01,56.419998,56.419998,56.00,56.419998,12600,56.048846
2016-08-31,56.32,56.32,55.799999,56.07,23400,55.70115
2016-08-30,56.331001,56.331001,56.150002,56.279999,12600,55.909767
2016-08-29,56.080002,56.361,55.91,56.241001,25100,55.871026
2016-08-26,56.564999,57.025002,55.757,55.950001,24300,55.58194
2016-08-25,56.400002,56.479,56.34,56.369999,17200,55.999175
2016-08-24,56.740002,56.740002,56.459999,56.509998,22400,56.138254
2016-08-23,56.73,56.939999,56.57,56.630001,30700,56.257467
2016-08-22,56.380001,56.389999,56.09,56.349998,30000,55.979306
2016-08-19,56.59,56.59,56.195,56.470001,11800,56.09852
2016-08-18,56.740002,56.939999,56.686001,56.939999,3400,56.565425
2016-08-17,56.59,56.717999,56.235001,56.650002,11600,56.277336
2016-08-16,56.830002,56.854,56.674999,56.689999,27800,56.31707
2016-08-15,57.00,57.00,56.779999,56.869999,245500,56.495886
2016-08-12,56.84,56.84,56.48,56.560001,37800,56.187928
2016-08-11,56.549999,56.827999,56.493,56.827999,7200,56.454163
2016-08-10,56.610001,56.610001,56.276001,56.310001,13400,55.939572
2016-08-09,55.919998,56.303001,55.919998,56.165001,21800,55.795526
2016-08-08,55.799999,55.799999,55.672001,55.75,19000,55.383255
2016-08-05,55.259998,55.493,55.189999,55.439999,11700,55.075293
2016-08-04,54.939999,55.09,54.810001,55.02,12700,54.658058
2016-08-03,54.450001,54.709999,54.415001,54.639999,20300,54.280556
2016-08-02,55.00,55.00,54.529999,54.676998,13600,54.317312
2016-08-01,55.509998,55.509998,55.00,55.080002,26600,54.717664
2016-07-29,55.130001,55.499001,55.049999,55.438999,4800,55.0743
2016-07-28,54.990002,54.990002,54.709999,54.883999,17100,54.522951
2016-07-27,55.119999,55.119999,54.66,54.93,19000,54.56865
2016-07-26,54.830002,54.970001,54.528999,54.82,18000,54.459373
2016-07-25,54.830002,54.830002,54.549999,54.618999,12400,54.259695
2016-07-22,54.610001,54.842999,54.610001,54.790001,26100,54.429571
2016-07-21,54.779999,54.918999,54.549999,54.790001,15600,54.429571
2016-07-20,54.73,54.898998,54.632,54.880001,20100,54.518979
2016-07-19,54.529999,54.599998,54.380001,54.470001,28400,54.111677
2016-07-18,54.849998,55.078999,54.573002,55.009998,22900,54.648121
2016-07-15,55.025002,55.028999,54.710999,54.900002,107500,54.538848
2016-07-14,55.00,55.099998,54.943001,54.98,15500,54.61832
2016-07-13,54.259998,54.68,54.259998,54.41,46500,54.05207
2016-07-12,54.439999,54.625999,54.099998,54.400002,18700,54.042137
2016-07-11,53.52,53.639999,53.400002,53.57,26100,53.217596
2016-07-08,52.799999,52.970001,52.615002,52.880001,19500,52.532136
2016-07-07,52.540001,52.589001,51.811001,52.02,24400,51.677793
2016-07-06,51.779999,52.25,51.426998,52.139999,95000,51.797002
2016-07-05,52.900002,52.900002,52.262001,52.369999,46000,52.025489
2016-07-01,53.700001,53.700001,53.459999,53.540001,41400,53.187794
2016-06-30,52.860001,53.43,52.661999,53.299999,110800,52.949371
2016-06-29,52.189999,52.749001,52.189999,52.639999,35300,52.293713
2016-06-28,51.43,51.549999,51.07,51.527,105000,51.188036
2016-06-27,50.740002,50.740002,49.747002,50.179001,59300,49.848904
2016-06-24,52.00,52.73,51.279999,51.279999,113800,50.942659
2016-06-23,55.470001,56.080002,55.470001,56.00,17000,55.63161
2016-06-22,55.00,55.09,54.759998,54.84,6800,54.479241
2016-06-21,54.52,54.950001,54.279999,54.75,20100,54.389833
2016-06-20,54.59,54.59,54.16,54.16,11700,53.803714
2016-06-17,52.82,52.98,52.459999,52.944,11800,52.595714
2016-06-16,51.68,52.290001,50.990002,52.27,24700,51.926148
2016-06-15,52.459999,52.560001,52.187,52.187,15800,51.843694
2016-06-14,52.349998,52.400002,51.700001,51.849998,25900,51.508909
2016-06-13,53.529999,53.73,53.119999,53.119999,28600,52.215232
2016-06-10,55.259998,55.259998,53.787998,54.009998,22000,53.090073
2016-06-09,56.00,56.00,55.419998,55.66,21400,54.711971
2016-06-08,56.580002,56.580002,56.228001,56.349998,22200,55.390217
2016-06-07,56.00,56.330002,55.991001,56.162998,36900,55.206402
2016-06-06,55.650002,55.790001,55.43,55.75,31400,54.800438
2016-06-03,55.00,55.369999,54.82,55.279999,19400,54.338442
2016-06-02,54.700001,54.869999,54.540001,54.84,12500,53.905938
2016-06-01,54.709999,54.775002,54.376999,54.775002,8000,53.842046
2016-05-31,55.450001,55.450001,54.708,54.889999,16900,53.955085
2016-05-27,55.389999,55.389999,55.07,55.169998,32200,54.230315
2016-05-26,55.290001,55.360001,55.200001,55.200001,12700,54.259807
2016-05-25,55.07,55.18,54.990002,55.110001,22500,54.171339
2016-05-24,54.02,54.470001,54.02,54.43,9800,53.502921
2016-05-23,53.779999,53.779999,53.529999,53.720001,6700,52.805015
2016-05-20,53.698002,53.869999,53.639,53.740002,5900,52.824675
2016-05-19,53.68,53.68,53.110001,53.389999,22900,52.480634
2016-05-18,53.73,54.119999,53.50,53.668999,24100,52.754881
2016-05-17,53.950001,54.139999,53.639999,53.789001,14300,52.87284
2016-05-16,53.790001,54.139999,53.685001,53.990002,29200,53.070417
2016-05-13,53.849998,53.849998,53.303001,53.400002,18800,52.490466
2016-05-12,54.720001,54.720001,54.00,54.220001,6400,53.296499
2016-05-11,54.299999,54.439999,54.060001,54.060001,22700,53.139224
2016-05-10,54.240002,54.490002,54.050999,54.490002,23500,53.561901
2016-05-09,54.150002,54.150002,53.68,53.720001,10300,52.805015
2016-05-06,53.669998,54.035999,53.618,54.009998,23300,53.090073
2016-05-05,54.119999,54.169998,53.82,53.880001,10600,52.96229
2016-05-04,54.50,54.50,54.00,54.139999,22000,53.21786
2016-05-03,55.599998,55.599998,54.75,54.75,26600,53.81747
2016-05-02,55.950001,56.073002,55.77,55.880001,24400,54.928225
