Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,10.85,11.06,10.75,10.82,21900,10.82
2016-10-06,10.84,10.96,10.83,10.85,16000,10.85
2016-10-05,11.01,11.01,10.71,10.82,15100,10.82
2016-10-04,11.02,11.18,10.83,11.04,27900,11.04
2016-10-03,11.01,11.15,10.83,10.99,21600,10.99
2016-09-30,10.89,11.14,10.89,10.93,32300,10.93
2016-09-29,10.96,11.06,10.85,10.89,27200,10.89
2016-09-28,11.01,11.17,10.92,10.99,18500,10.99
2016-09-27,11.00,11.10,10.95,11.03,39400,11.03
2016-09-26,11.05,11.16,11.01,11.09,17400,11.09
2016-09-23,11.25,11.42,11.12,11.15,36900,11.15
2016-09-22,11.19,11.40,11.19,11.26,18800,11.26
2016-09-21,11.15,11.35,11.11,11.27,17000,11.27
2016-09-20,11.22,11.45,11.08,11.16,43500,11.16
2016-09-19,11.28,11.43,11.17,11.35,9900,11.35
2016-09-16,11.00,11.41,10.93,11.25,22200,11.25
2016-09-15,11.19,11.32,11.02,11.02,59900,11.02
2016-09-14,11.52,11.70,11.44,11.58,48000,11.225
2016-09-13,11.48,11.61,11.48,11.60,66600,11.244388
2016-09-12,11.60,11.68,11.49,11.60,53200,11.244388
2016-09-09,11.58,11.69,11.51,11.62,31000,11.263774
2016-09-08,11.58,11.71,11.45,11.59,62000,11.234694
2016-09-07,11.70,11.80,11.55,11.66,35300,11.302548
2016-09-06,11.59,11.80,11.51,11.65,40300,11.292854
2016-09-02,11.61,11.61,11.50,11.57,15800,11.215307
2016-09-01,11.57,11.64,11.48,11.56,29200,11.205614
2016-08-31,11.51,11.65,11.47,11.56,56500,11.205614
2016-08-30,11.58,11.64,11.54,11.60,14300,11.244388
2016-08-29,11.65,11.70,11.57,11.60,23500,11.244388
2016-08-26,11.51,11.79,11.51,11.66,11700,11.302548
2016-08-25,11.00,11.63,11.00,11.54,71000,11.186227
2016-08-24,11.78,11.78,11.59,11.67,17200,11.312241
2016-08-23,11.74,11.89,11.61,11.73,16200,11.370401
2016-08-22,11.62,11.88,11.50,11.67,9100,11.312241
2016-08-19,11.65,11.79,11.65,11.66,23600,11.302548
