Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,105.260002,105.260002,104.040001,104.970001,1600,104.970001
2016-10-06,104.940002,106.959999,104.589996,105.800003,1400,105.800003
2016-10-05,106.800003,106.800003,105.199997,106.440002,2600,106.440002
2016-10-04,104.540001,108.269997,104.449997,105.510002,5200,105.510002
2016-10-03,104.050003,105.050003,104.050003,104.629997,1800,104.629997
2016-09-30,105.879997,106.050003,104.199997,105.519997,5100,105.519997
2016-09-29,106.50,106.50,105.860001,105.860001,3000,105.860001
2016-09-28,105.00,107.00,105.00,105.629997,6600,105.629997
2016-09-27,104.160004,106.00,104.110001,105.529999,3300,105.529999
2016-09-26,105.599998,106.75,105.599998,105.849998,4000,105.849998
2016-09-23,105.00,105.949997,103.370003,105.589996,4900,105.589996
2016-09-22,108.099998,108.099998,105.870003,106.00,5500,106.00
2016-09-21,106.559998,106.559998,106.559998,106.559998,800,106.559998
2016-09-20,107.050003,107.050003,106.120003,106.480003,5000,106.480003
2016-09-19,105.370003,106.739998,104.739998,106.43,4900,106.43
2016-09-16,106.690002,109.029999,104.309998,104.360001,19500,104.360001
2016-09-15,106.00,106.50,105.910004,106.419998,2100,106.419998
2016-09-14,104.00,106.900002,103.919998,105.900002,2300,105.900002
2016-09-13,104.959999,105.559998,104.029999,104.50,4400,104.50
2016-09-12,106.50,106.50,103.669998,105.720001,10200,105.720001
2016-09-09,106.449997,108.00,106.449997,106.540001,2700,106.540001
2016-09-08,106.889999,109.489998,106.580002,108.260002,3000,108.260002
2016-09-07,107.050003,109.279999,104.309998,106.459999,8500,106.459999
2016-09-06,103.110001,108.00,103.110001,107.419998,4300,107.419998
2016-09-02,104.129997,104.949997,103.809998,104.800003,3100,104.800003
2016-09-01,103.919998,104.00,102.139999,103.989998,2100,103.989998
2016-08-31,102.059998,104.25,101.260002,103.599998,4200,103.599998
2016-08-30,100.529999,103.400002,99.75,102.110001,3200,102.110001
2016-08-29,102.449997,102.449997,102.00,102.230003,1200,102.230003
2016-08-26,103.50,104.459999,102.019997,102.099998,5100,102.099998
2016-08-25,101.949997,103.540001,101.800003,103.540001,9800,103.540001
2016-08-24,99.760002,102.160004,99.760002,101.650002,4400,101.650002
2016-08-23,99.879997,102.00,99.879997,101.349998,3000,101.349998
2016-08-22,98.580002,100.220001,98.00,99.760002,1400,99.760002
2016-08-19,98.290001,102.010002,97.660004,98.660004,9800,98.660004
2016-08-18,98.629997,98.68,98.00,98.50,2600,98.50
2016-08-17,99.959999,99.959999,98.050003,98.379997,4400,98.379997
2016-08-16,100.00,100.199997,98.589996,99.730003,5000,99.730003
2016-08-15,100.580002,100.900002,100.00,100.900002,5900,100.900002
2016-08-12,100.010002,100.099998,99.800003,100.099998,3000,100.099998
2016-08-11,100.18,100.199997,99.480003,99.800003,7800,99.800003
2016-08-10,101.139999,101.800003,99.629997,99.650002,7400,99.650002
2016-08-09,99.809998,102.00,99.669998,100.57,4800,100.57
2016-08-08,97.900002,100.00,97.900002,99.50,4700,99.50
2016-08-05,97.650002,99.00,97.50,97.900002,5000,97.800002
2016-08-04,96.580002,98.790001,96.580002,97.480003,4200,97.380433
2016-08-03,96.220001,99.00,94.599998,98.309998,6000,98.209579
2016-08-02,97.75,99.300003,95.910004,97.019997,43100,96.920896
2016-08-01,100.370003,100.370003,99.50,99.910004,12900,99.807951
2016-07-29,99.599998,100.57,99.599998,100.57,2400,100.467273
2016-07-28,100.349998,101.50,98.779999,100.389999,9600,100.287457
2016-07-27,99.099998,101.50,98.080002,101.50,2600,101.396323
2016-07-26,98.800003,101.989998,98.800003,100.00,3100,99.897856
2016-07-25,101.269997,101.269997,99.099998,99.709999,1200,99.608151
2016-07-22,98.400002,99.790001,98.400002,99.790001,1700,99.688071
2016-07-21,98.849998,99.019997,98.849998,99.019997,2400,98.918853
2016-07-20,98.449997,100.029999,97.669998,99.860001,5000,99.757999
2016-07-19,98.43,98.669998,98.43,98.669998,800,98.569212
2016-07-18,99.860001,100.00,99.860001,99.989998,1200,99.887864
2016-07-15,99.690002,100.889999,99.690002,99.949997,1300,99.847904
2016-07-14,99.300003,100.00,98.75,99.00,3300,98.898877
2016-07-13,98.160004,98.489998,97.309998,97.309998,2000,97.210601
2016-07-12,97.919998,99.959999,97.919998,98.839996,6900,98.739037
2016-07-11,98.099998,98.099998,98.089996,98.089996,1400,97.989803
2016-07-08,99.239998,99.540001,99.00,99.00,2500,98.898877
2016-07-07,97.120003,99.300003,97.120003,98.110001,1200,98.009787
2016-07-06,100.00,105.220001,98.900002,99.540001,2600,99.438326
2016-07-05,95.519997,99.699997,93.610001,97.25,1400,97.150664
2016-07-01,101.129997,101.419998,98.739998,99.209999,3300,99.108662
2016-06-30,100.690002,100.690002,97.410004,99.669998,5000,99.568191
2016-06-29,98.839996,99.989998,97.190002,98.699997,5400,98.59918
2016-06-28,95.360001,99.00,95.360001,98.709999,3100,98.609172
2016-06-27,92.120003,96.279999,92.120003,94.989998,3800,94.892971
2016-06-24,94.110001,97.800003,93.68,97.800003,13800,97.700106
2016-06-23,96.110001,96.110001,95.739998,95.739998,1900,95.642205
2016-06-22,100.989998,100.989998,96.480003,96.480003,1200,96.381454
2016-06-21,97.00,97.00,96.18,96.18,3400,96.081758
2016-06-20,100.529999,100.529999,95.660004,97.00,3400,96.90092
2016-06-17,97.279999,100.550003,97.279999,98.029999,7600,97.929867
2016-06-16,95.870003,97.099998,95.870003,97.099998,2100,97.000816
2016-06-15,96.650002,96.650002,95.43,95.43,1200,95.332524
2016-06-14,97.00,97.00,96.099998,96.099998,1300,96.001838
2016-06-13,96.379997,97.169998,96.379997,96.790001,3200,96.691135
2016-06-10,100.449997,100.75,98.809998,99.120003,5400,99.018757
2016-06-09,99.849998,102.00,98.370003,98.370003,2900,98.269523
2016-06-08,99.50,100.75,99.389999,99.949997,2500,99.847904
2016-06-07,100.860001,101.00,98.110001,100.599998,8500,100.497241
2016-06-06,99.290001,101.139999,98.010002,101.139999,5400,101.03669
2016-06-03,97.699997,99.199997,97.699997,98.110001,1700,98.009787
2016-06-02,97.639999,98.370003,95.300003,97.099998,3500,97.000816
2016-06-01,97.080002,97.959999,96.00,97.699997,4100,97.600202
2016-05-31,98.300003,98.779999,98.010002,98.25,1900,98.149643
2016-05-27,99.089996,99.089996,97.129997,98.230003,3000,98.129667
2016-05-26,95.440002,97.279999,95.440002,97.279999,1800,97.180633
2016-05-25,96.599998,98.220001,96.599998,97.040001,900,96.94088
2016-05-24,98.00,98.00,97.50,97.50,1400,97.400409
2016-05-23,93.50,95.860001,93.50,95.860001,6400,95.762085
2016-05-20,92.139999,92.410004,92.139999,92.410004,1300,92.315612
2016-05-19,91.769997,92.00,91.260002,92.00,4000,91.906027
2016-05-18,92.269997,92.470001,91.989998,92.019997,5300,91.926003
2016-05-17,92.900002,92.980003,92.07,92.260002,5600,92.165764
2016-05-16,93.00,93.00,92.25,92.25,2400,92.155772
2016-05-13,91.290001,91.410004,91.279999,91.330002,1900,91.236713
2016-05-12,93.099998,93.099998,91.599998,91.599998,2100,91.506434
2016-05-11,93.529999,94.720001,93.50,93.50,2100,93.404495
2016-05-10,93.300003,94.239998,93.300003,94.00,700,93.903984
2016-05-09,93.860001,94.709999,93.639999,94.709999,1600,94.613258
2016-05-06,94.860001,94.860001,93.970001,93.970001,1000,93.774116
2016-05-05,92.910004,92.910004,92.910004,92.910004,500,92.716328
2016-05-04,92.50,93.900002,92.00,93.900002,2800,93.704262
2016-05-03,95.00,95.00,93.93,93.93,2300,93.734198
2016-05-02,95.199997,95.690002,95.00,95.00,1500,94.801967
2016-04-29,98.540001,98.559998,94.410004,95.199997,7100,95.001547
2016-04-28,98.089996,99.629997,98.00,98.099998,6000,97.895504
2016-04-27,101.389999,101.389999,99.809998,100.00,4600,99.791545
2016-04-26,99.900002,101.290001,99.879997,100.279999,4800,100.07096
2016-04-25,99.75,99.900002,99.75,99.900002,1300,99.691755
2016-04-22,100.050003,101.00,100.010002,100.010002,4200,99.801526
2016-04-21,99.68,100.50,99.68,100.50,4100,100.290502
2016-04-20,100.480003,100.480003,100.480003,100.480003,500,100.270547
2016-04-19,99.50,101.00,99.50,100.360001,9000,100.150795
2016-04-18,101.279999,101.389999,100.849998,101.389999,2400,101.178647
2016-04-15,101.160004,101.199997,101.099998,101.199997,1600,100.98904
2016-04-14,99.50,101.599998,99.50,101.160004,8200,100.94913
2016-04-13,98.43,100.849998,98.43,100.849998,4100,100.639771
2016-04-12,100.629997,101.599998,100.620003,101.550003,3100,101.338317
2016-04-11,99.370003,100.900002,99.370003,100.900002,1600,100.68967
2016-04-08,101.099998,101.599998,101.099998,101.50,2200,101.288418
2016-04-07,100.50,101.25,100.25,100.910004,5300,100.699651
2016-04-06,100.110001,101.50,99.68,100.25,1600,100.041024
2016-04-05,99.379997,101.00,99.370003,100.900002,12700,100.68967
2016-04-04,99.00,100.220001,98.940002,98.940002,2100,98.733757
2016-04-01,97.059998,99.50,97.059998,98.339996,2200,98.135001
2016-03-31,100.110001,100.900002,97.980003,97.980003,4400,97.775759
2016-03-30,100.769997,100.860001,98.260002,100.860001,4100,100.649753
2016-03-29,99.480003,100.699997,97.970001,100.699997,3500,100.490082
2016-03-28,99.00,100.160004,99.00,99.529999,1300,99.322523
2016-03-24,98.239998,98.239998,98.239998,98.239998,500,98.035211
2016-03-23,97.370003,98.32,97.370003,98.32,3400,98.115046
2016-03-22,95.57,96.400002,95.57,96.400002,1000,96.199051
2016-03-21,99.099998,99.349998,97.550003,97.949997,2400,97.745815
2016-03-18,100.739998,100.940002,99.110001,99.110001,4700,98.903401
2016-03-17,98.449997,100.690002,95.32,100.230003,5900,100.021069
2016-03-16,98.900002,98.900002,98.199997,98.199997,1400,97.995294
2016-03-15,100.940002,100.940002,99.00,99.110001,2300,98.903401
2016-03-14,96.82,100.50,96.82,99.150002,8600,98.943318
2016-03-11,97.010002,99.00,97.010002,98.68,1800,98.474297
2016-03-10,98.459999,99.00,98.449997,98.699997,1500,98.494252
2016-03-09,100.00,100.00,95.360001,97.470001,1500,97.26682
2016-03-08,97.300003,99.279999,97.300003,98.50,8000,98.294672
2016-03-07,97.199997,98.110001,97.199997,97.980003,4500,97.775759
2016-03-04,101.599998,101.599998,95.730003,97.489998,6300,97.286775
2016-03-03,98.059998,98.980003,95.010002,97.940002,3000,97.735841
2016-03-02,98.00,99.00,96.540001,97.099998,1700,96.897588
2016-03-01,98.800003,99.690002,98.800003,99.25,3500,99.043108
2016-02-29,95.00,97.019997,94.00,96.900002,6600,96.698008
2016-02-26,98.089996,98.089996,96.150002,97.25,3800,97.047277
2016-02-25,98.260002,99.00,95.230003,99.00,3200,98.793629
2016-02-24,98.199997,101.610001,98.199997,99.50,6200,99.292587
2016-02-23,98.790001,99.00,97.449997,97.449997,2700,97.246857
