Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,37.799999,37.799999,36.310001,36.330002,96400,36.330002
2016-10-06,37.389999,37.860001,37.00,37.75,44800,37.75
2016-10-05,37.130001,37.639999,36.849998,37.389999,53400,37.389999
2016-10-04,37.09,37.41,36.900002,37.07,65400,37.049999
2016-10-03,36.689999,37.209999,36.580002,37.119999,83900,37.099971
2016-09-30,36.299999,36.939999,36.07,36.77,83800,36.750162
2016-09-29,35.91,36.50,35.790001,36.049999,88400,36.030549
2016-09-28,35.73,36.23,35.540001,35.959999,83900,35.940597
2016-09-27,35.18,35.740002,35.00,35.66,158400,35.64076
2016-09-26,35.529999,35.529999,34.34,35.16,68600,35.14103
2016-09-23,36.330002,36.330002,35.43,35.810001,92900,35.79068
2016-09-22,35.939999,36.310001,35.490002,36.310001,87700,36.290411
2016-09-21,35.150002,35.580002,35.029999,35.48,141400,35.460857
2016-09-20,35.310001,35.310001,34.669998,34.900002,92900,34.881172
2016-09-19,35.540001,35.91,35.00,35.240002,121800,35.220988
2016-09-16,35.830002,35.950001,35.119999,35.34,194500,35.320933
2016-09-15,34.209999,36.18,34.209999,36.009998,206800,35.990569
2016-09-14,35.18,36.110001,34.029999,34.139999,253700,34.121579
2016-09-13,35.75,36.040001,35.009998,35.09,179400,35.071068
2016-09-12,36.549999,37.00,35.490002,36.080002,244200,36.060535
2016-09-09,38.23,38.23,36.700001,36.709999,61500,36.690193
2016-09-08,38.919998,38.919998,38.43,38.709999,52200,38.689113
2016-09-07,38.790001,39.060001,38.599998,38.98,91300,38.958968
2016-09-06,38.939999,38.98,38.66,38.98,48900,38.958968
2016-09-02,38.900002,39.150002,38.66,39.00,82600,38.978958
2016-09-01,38.849998,38.91,38.060001,38.790001,104200,38.769072
2016-08-31,38.950001,39.259998,38.560001,38.720001,80500,38.69911
2016-08-30,39.25,39.529999,38.869999,39.00,95300,38.978958
2016-08-29,39.549999,39.830002,39.189999,39.200001,58000,39.178851
2016-08-26,39.470001,40.43,39.139999,39.549999,58800,39.52866
2016-08-25,39.169998,39.59,38.939999,39.439999,54300,39.418719
2016-08-24,39.68,39.799999,39.009998,39.189999,76100,39.168854
2016-08-23,39.470001,39.98,39.369999,39.810001,66900,39.788522
2016-08-22,38.040001,39.330002,38.040001,39.330002,58000,39.308782
2016-08-19,38.18,38.349998,37.68,38.27,114700,38.249352
2016-08-18,37.599998,38.25,36.700001,38.25,77400,38.229363
2016-08-17,37.860001,38.09,37.330002,37.57,111700,37.549729
2016-08-16,38.450001,38.459999,37.880001,37.959999,73400,37.939518
2016-08-15,37.720001,38.889999,37.720001,38.509998,67800,38.489221
2016-08-12,38.169998,38.34,37.450001,37.790001,43800,37.769612
2016-08-11,37.360001,38.189999,37.150002,38.049999,87000,38.02947
2016-08-10,37.32,37.459999,37.049999,37.299999,70800,37.279874
2016-08-09,37.23,37.509998,36.939999,37.25,91500,37.229902
2016-08-08,37.450001,37.740002,36.900002,37.23,76600,37.209912
2016-08-05,37.599998,37.639999,36.650002,37.360001,81400,37.339843
2016-08-04,36.990002,37.279999,36.650002,37.130001,102800,37.109968
2016-08-03,36.450001,36.93,35.880001,36.91,121700,36.890085
2016-08-02,36.880001,37.049999,36.400002,36.419998,100700,36.400348
2016-08-01,37.529999,37.57,36.330002,36.990002,128300,36.970044
2016-07-29,38.549999,38.549999,36.580002,37.529999,283200,37.50975
2016-07-28,42.490002,42.490002,38.049999,38.540001,645400,38.519207
2016-07-27,42.540001,43.779999,42.470001,43.48,133600,43.45654
2016-07-26,42.130001,42.91,42.130001,42.619999,61600,42.597004
2016-07-25,42.23,42.389999,41.490002,42.240002,104400,42.217211
2016-07-22,42.299999,42.330002,41.84,42.290001,41900,42.267184
2016-07-21,42.23,42.799999,41.91,42.389999,96100,42.367128
2016-07-20,42.450001,42.73,41.68,42.259998,74500,42.237197
2016-07-19,41.91,42.400002,41.529999,42.23,103300,42.207215
2016-07-18,41.169998,42.189999,40.880001,42.119999,99000,42.097273
2016-07-15,41.25,41.68,40.82,41.16,157600,41.137792
2016-07-14,41.099998,41.349998,39.610001,40.91,123100,40.887927
2016-07-13,40.41,40.919998,39.849998,40.610001,158000,40.58809
2016-07-12,39.880001,40.549999,39.740002,40.110001,74100,40.08836
2016-07-11,39.380001,39.919998,39.23,39.50,76800,39.478688
2016-07-08,37.619999,39.139999,37.619999,39.119999,89000,39.098892
2016-07-07,37.23,37.43,36.880001,37.18,45300,37.15994
2016-07-06,36.59,37.540001,36.389999,36.990002,103200,36.970044
2016-07-05,37.610001,37.610001,36.43,36.919998,47600,36.900078
2016-07-01,37.16,37.889999,37.00,37.889999,47000,37.869556
2016-06-30,36.52,37.41,36.220001,37.279999,91400,37.259885
2016-06-29,36.57,37.009998,36.150002,36.529999,51500,36.510289
2016-06-28,36.689999,36.950001,35.959999,36.009998,61900,35.97058
2016-06-27,36.220001,36.709999,35.950001,36.23,105300,36.190341
2016-06-24,37.419998,38.369999,36.740002,36.84,487500,36.799674
2016-06-23,38.830002,39.57,37.810001,39.330002,49900,39.28695
2016-06-22,38.669998,39.110001,38.259998,38.32,76700,38.278053
2016-06-21,38.509998,38.93,38.00,38.470001,56200,38.42789
2016-06-20,38.799999,39.48,37.990002,38.529999,75700,38.487822
2016-06-17,38.029999,39.049999,37.759998,38.299999,138000,38.258075
2016-06-16,37.130001,38.049999,36.799999,37.900002,126900,37.858515
2016-06-15,38.049999,38.099998,37.450001,37.52,79600,37.47893
2016-06-14,38.009998,39.02,37.360001,37.82,65500,37.7786
2016-06-13,38.299999,38.810001,37.84,38.240002,76200,38.198143
2016-06-10,38.91,39.32,38.360001,38.450001,79700,38.407912
2016-06-09,39.900002,39.93,39.209999,39.41,55300,39.36686
2016-06-08,39.709999,40.599998,39.580002,40.259998,182400,40.215928
2016-06-07,39.549999,39.939999,39.470001,39.52,125900,39.47674
2016-06-06,39.080002,40.02,39.080002,39.66,218900,39.616586
2016-06-03,39.529999,39.740002,38.849998,39.130001,90900,39.087168
2016-06-02,39.27,39.790001,38.91,39.48,74500,39.436783
2016-06-01,38.810001,39.779999,38.279999,39.48,131100,39.436783
2016-05-31,38.990002,39.349998,38.580002,38.990002,81600,38.947322
2016-05-27,38.25,38.900002,37.93,38.610001,50400,38.567737
2016-05-26,38.830002,39.139999,38.02,38.099998,60600,38.058293
2016-05-25,38.610001,39.00,38.48,38.720001,104400,38.677617
2016-05-24,37.439999,38.669998,37.439999,38.299999,74200,38.258075
2016-05-23,37.130001,37.57,36.75,37.150002,70600,37.109336
2016-05-20,36.02,38.369999,35.830002,37.209999,138400,37.169268
2016-05-19,36.16,36.509998,35.400002,35.73,87700,35.690888
2016-05-18,36.139999,36.950001,36.110001,36.400002,39000,36.360157
2016-05-17,37.200001,37.639999,35.98,36.25,73000,36.210319
2016-05-16,37.330002,37.889999,37.209999,37.259998,58600,37.219212
2016-05-13,37.34,37.939999,37.110001,37.16,52200,37.119323
2016-05-12,37.490002,37.709999,37.189999,37.59,57600,37.548853
2016-05-11,38.110001,38.200001,37.400002,37.400002,75400,37.359062
2016-05-10,37.099998,38.110001,36.98,38.040001,66400,37.998361
2016-05-09,38.25,38.50,36.93,36.950001,115700,36.909554
2016-05-06,37.860001,38.610001,37.52,38.509998,86200,38.467844
2016-05-05,37.91,38.389999,37.650002,37.860001,64900,37.818558
2016-05-04,38.32,38.549999,37.529999,37.599998,80500,37.55884
2016-05-03,38.689999,39.110001,38.130001,38.50,130900,38.457856
2016-05-02,38.509998,39.25,37.919998,39.189999,130600,39.1471
2016-04-29,39.459999,39.549999,38.009998,38.25,102600,38.20813
2016-04-28,39.02,40.689999,38.91,39.48,188500,39.436783
2016-04-27,40.810001,40.84,39.330002,39.490002,84000,39.446774
2016-04-26,39.560001,40.830002,39.560001,40.720001,85600,40.675428
2016-04-25,40.91,40.950001,38.869999,39.509998,124700,39.466749
2016-04-22,40.139999,41.459999,40.139999,41.150002,133700,41.104957
2016-04-21,39.48,40.400002,39.48,40.049999,102900,40.006159
2016-04-20,40.68,40.68,39.52,39.57,54700,39.526685
2016-04-19,40.290001,40.709999,39.939999,40.709999,56900,40.665436
2016-04-18,39.810001,40.27,39.580002,40.07,60800,40.026137
2016-04-15,40.220001,40.389999,39.950001,40.07,47900,40.026137
2016-04-14,40.00,40.669998,39.740002,40.439999,75700,40.395731
2016-04-13,38.619999,40.290001,38.619999,40.099998,79900,40.056103
2016-04-12,37.41,38.389999,37.119999,38.330002,77200,38.288044
2016-04-11,38.59,39.59,37.25,37.330002,105000,37.289139
2016-04-08,38.150002,38.669998,37.880001,38.27,42600,38.228109
2016-04-07,37.91,38.50,37.509998,37.720001,86300,37.678711
