Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,112.900002,113.269997,111.68,112.519997,137000,112.519997
2016-10-06,113.93,114.540001,113.919998,114.300003,56000,114.300003
2016-10-05,114.550003,114.949997,114.489998,114.68,67300,114.68
2016-10-04,118.260002,118.940002,117.160004,117.550003,87400,116.260003
2016-10-03,117.639999,117.769997,117.00,117.470001,54800,116.18088
2016-09-30,117.669998,118.110001,116.470001,117.720001,95800,116.428136
2016-09-29,118.639999,118.879997,116.93,117.349998,67100,116.062194
2016-09-28,118.339996,118.989998,117.550003,118.860001,118600,117.555625
2016-09-27,114.800003,116.550003,114.68,116.370003,83700,115.092953
2016-09-26,115.779999,115.870003,115.139999,115.279999,98100,114.01491
2016-09-23,118.190002,118.300003,117.639999,117.660004,57100,116.368797
2016-09-22,120.470001,121.059998,119.519997,119.75,128500,118.435858
2016-09-21,117.349998,118.449997,116.900002,118.290001,121400,116.991881
2016-09-20,117.57,117.849998,116.830002,116.839996,55100,115.557788
2016-09-19,117.110001,117.580002,116.360001,116.519997,91900,115.2413
2016-09-16,116.059998,116.080002,114.410004,114.879997,136300,113.619298
2016-09-15,116.730003,118.00,116.43,117.68,168700,116.388574
2016-09-14,116.279999,116.639999,115.75,116.040001,75700,114.766572
2016-09-13,116.839996,116.870003,115.550003,116.110001,71700,114.835804
2016-09-12,115.760002,117.800003,115.589996,117.730003,76000,116.438028
2016-09-09,118.519997,118.529999,116.309998,116.410004,95300,115.132515
2016-09-08,119.360001,119.860001,118.650002,118.809998,107100,117.506171
2016-09-07,121.059998,121.550003,120.040001,120.099998,228100,118.782015
2016-09-06,120.260002,120.739998,119.400002,120.339996,254200,119.019379
2016-09-02,117.459999,118.93,117.449997,118.410004,362200,117.110566
2016-09-01,117.32,117.610001,116.739998,117.410004,220600,116.12154
2016-08-31,116.330002,116.480003,114.610001,115.870003,342300,114.59844
2016-08-30,117.349998,117.699997,117.010002,117.57,310600,116.279781
2016-08-29,116.610001,117.279999,116.529999,116.940002,104600,115.656697
2016-08-26,119.199997,119.669998,116.790001,117.239998,494600,115.9534
2016-08-25,117.959999,118.790001,117.519997,118.290001,190400,116.991881
2016-08-24,120.949997,121.370003,116.959999,117.080002,266800,115.79516
2016-08-23,115.32,115.389999,114.849998,115.010002,55200,113.747877
2016-08-22,113.839996,114.690002,113.550003,114.650002,62800,113.391827
2016-08-19,114.970001,115.529999,114.57,115.43,44000,114.163266
2016-08-18,116.660004,116.730003,115.800003,116.309998,61200,115.033606
2016-08-17,114.720001,115.559998,114.190002,115.330002,48100,114.064365
2016-08-16,114.800003,115.220001,114.559998,114.879997,51600,113.619298
2016-08-15,115.160004,115.25,114.660004,115.010002,173300,113.747877
2016-08-12,114.959999,115.410004,114.480003,114.889999,92500,113.629191
2016-08-11,115.489998,115.690002,115.099998,115.139999,46500,113.876447
2016-08-10,115.019997,115.089996,114.620003,114.690002,83800,113.431389
2016-08-09,112.519997,113.93,112.389999,113.529999,60600,112.284115
2016-08-08,113.580002,113.650002,112.75,113.080002,52200,111.839056
2016-08-05,112.400002,113.959999,112.300003,113.760002,80000,112.511594
2016-08-04,111.300003,111.790001,111.059998,111.769997,54800,110.543427
2016-08-03,111.650002,112.080002,111.459999,111.879997,81600,110.652221
2016-08-02,112.379997,112.489998,111.690002,112.230003,113200,110.998386
2016-08-01,111.980003,112.330002,111.419998,111.690002,126100,110.464311
2016-07-29,112.099998,113.199997,111.529999,112.07,105500,110.840138
2016-07-28,111.790001,112.349998,111.25,112.110001,127200,110.8797
2016-07-27,111.620003,112.010002,110.779999,111.559998,109800,110.335733
2016-07-26,111.300003,111.540001,110.580002,111.360001,74800,110.13793
2016-07-25,110.610001,111.239998,110.550003,111.019997,69500,109.801658
2016-07-22,110.93,110.989998,110.339996,110.790001,71000,109.574186
2016-07-21,111.699997,112.099998,110.720001,111.07,112600,109.851112
2016-07-20,110.879997,112.220001,110.739998,111.599998,146700,110.375295
2016-07-19,109.239998,109.379997,107.860001,108.330002,248400,107.141183
2016-07-18,109.699997,110.720001,109.410004,109.419998,75300,108.219218
2016-07-15,110.440002,110.629997,109.260002,109.75,109800,108.545598
2016-07-14,111.010002,111.07,109.849998,110.019997,102400,108.812632
2016-07-13,111.900002,112.169998,110.360001,110.730003,334300,109.514847
2016-07-12,110.260002,111.57,110.099998,110.150002,220700,108.94121
2016-07-11,108.019997,108.75,107.75,108.43,64700,107.240084
2016-07-08,107.82,107.82,107.080002,107.260002,66600,106.082926
2016-07-07,107.18,107.190002,105.110001,105.769997,77500,104.609271
2016-07-06,103.93,105.349998,103.18,105.330002,173800,104.174105
2016-07-05,105.790001,106.339996,104.860001,105.239998,104100,104.085089
2016-07-01,107.910004,108.50,107.720001,108.07,159700,106.884034
2016-06-30,103.440002,104.559998,102.660004,104.519997,144000,103.372989
2016-06-29,103.239998,105.089996,103.139999,104.290001,154200,103.145517
2016-06-28,101.18,102.580002,100.860001,102.349998,139900,101.226805
2016-06-27,98.800003,99.139999,96.940002,98.120003,210700,97.043229
2016-06-24,104.309998,106.900002,103.669998,103.870003,345200,102.730128
2016-06-23,117.860001,118.00,116.279999,117.830002,136600,116.53693
2016-06-22,115.839996,116.709999,114.980003,115.199997,120400,113.935786
2016-06-21,113.830002,115.110001,113.580002,114.120003,174200,112.867644
2016-06-20,113.449997,113.519997,112.339996,112.449997,219800,111.215965
2016-06-17,107.50,108.349998,106.900002,108.160004,146500,106.97305
2016-06-16,105.220001,107.389999,104.43,107.139999,104700,105.96424
2016-06-15,106.620003,107.160004,105.629997,106.019997,143500,104.856528
