Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,26.35,26.58,26.35,26.50,900,26.50
2016-10-06,26.299999,26.34,26.10,26.10,2100,26.10
2016-10-05,26.35,26.35,26.35,26.35,000,26.35
2016-10-04,26.35,26.35,26.35,26.35,300,26.35
2016-10-03,26.110001,26.110001,26.110001,26.110001,000,26.110001
2016-09-30,26.040001,26.110001,26.040001,26.110001,300,26.110001
2016-09-29,26.35,26.35,26.25,26.35,3900,26.35
2016-09-28,26.32,26.33,26.01,26.01,1700,26.01
2016-09-27,26.25,26.290001,26.01,26.01,13400,26.01
2016-09-26,26.26,26.26,26.26,26.26,1100,26.26
2016-09-23,26.299999,26.299999,26.26,26.26,600,26.26
2016-09-22,26.34,26.34,26.32,26.32,700,26.32
2016-09-21,26.049999,26.049999,26.049999,26.049999,300,26.049999
2016-09-20,26.35,26.35,26.34,26.34,400,26.34
2016-09-19,26.34,26.34,26.34,26.34,000,26.34
2016-09-16,26.34,26.34,26.16,26.34,1500,26.34
2016-09-15,26.25,26.25,26.25,26.25,1500,26.25
2016-09-14,26.25,26.25,26.25,26.25,200,26.25
2016-09-13,26.35,26.35,26.35,26.35,000,26.35
2016-09-12,26.35,26.35,26.35,26.35,800,26.35
2016-09-09,26.360001,26.360001,26.02,26.120001,3300,26.120001
2016-09-08,26.01,26.360001,26.01,26.360001,1600,26.360001
2016-09-07,26.190001,26.200001,26.08,26.200001,1100,26.200001
2016-09-06,26.26,26.26,26.26,26.26,000,26.26
2016-09-02,26.030001,26.280001,26.00,26.26,6000,26.26
2016-09-01,26.35,26.35,26.15,26.15,1200,26.15
2016-08-31,26.209999,26.25,26.209999,26.25,500,26.25
2016-08-30,26.25,26.25,26.02,26.25,4600,26.25
2016-08-29,26.02,26.049999,26.02,26.02,1500,26.02
2016-08-26,26.450001,26.690001,26.02,26.43,5600,26.43
2016-08-25,26.68,26.68,26.15,26.33,5600,26.33
2016-08-24,26.18,26.25,26.15,26.15,1600,26.15
2016-08-23,26.690001,26.690001,26.690001,26.690001,300,26.690001
2016-08-22,26.25,26.25,26.209999,26.209999,1000,26.209999
2016-08-19,26.690001,26.690001,26.690001,26.690001,000,26.690001
2016-08-18,26.690001,26.690001,26.690001,26.690001,000,26.690001
2016-08-17,26.690001,26.690001,26.690001,26.690001,000,26.690001
2016-08-16,26.17,26.690001,26.17,26.690001,800,26.690001
2016-08-15,26.459999,26.459999,26.459999,26.459999,000,26.459999
2016-08-12,26.459999,26.459999,26.459999,26.459999,200,26.459999
2016-08-11,26.75,26.75,26.75,26.75,000,26.75
2016-08-10,26.75,26.75,26.75,26.75,600,26.358999
2016-08-09,26.51,26.51,26.51,26.51,000,26.122508
2016-08-08,26.51,26.51,26.51,26.51,000,26.122508
2016-08-05,26.50,26.51,26.50,26.51,600,26.122508
2016-08-04,26.84,26.84,26.84,26.84,000,26.447684
2016-08-03,26.540001,26.84,26.540001,26.84,500,26.447684
2016-08-02,26.75,26.75,26.75,26.75,000,26.358999
2016-08-01,26.75,26.75,26.75,26.75,000,26.358999
2016-07-29,26.75,26.75,26.75,26.75,000,26.358999
2016-07-28,26.75,26.75,26.75,26.75,000,26.358999
2016-07-27,26.75,26.75,26.75,26.75,000,26.358999
2016-07-26,26.75,26.75,26.75,26.75,000,26.358999
2016-07-25,26.75,26.75,26.75,26.75,000,26.358999
2016-07-22,26.75,26.75,26.75,26.75,000,26.358999
2016-07-21,26.75,26.75,26.75,26.75,000,26.358999
2016-07-20,26.75,26.75,26.75,26.75,000,26.358999
2016-07-19,26.75,26.75,26.75,26.75,000,26.358999
2016-07-18,26.75,26.75,26.75,26.75,000,26.358999
2016-07-15,26.75,26.75,26.75,26.75,000,26.358999
2016-07-14,26.75,26.75,26.75,26.75,000,26.358999
2016-07-13,26.35,26.75,26.309999,26.75,700,26.358999
2016-07-12,27.00,27.200001,26.950001,27.200001,1500,26.802423
2016-07-11,26.50,28.299999,26.299999,27.00,6600,26.605345
2016-07-08,26.40,26.48,26.40,26.48,1000,26.092945
2016-07-07,26.40,26.40,26.02,26.40,6300,26.014115
2016-07-06,26.40,26.40,26.299999,26.40,6100,26.014115
2016-07-05,26.01,26.40,26.01,26.389999,2700,26.004261
2016-07-01,26.40,26.68,26.40,26.50,6900,26.112654
2016-06-30,26.02,26.40,26.02,26.209999,11600,25.826892
2016-06-29,26.00,26.40,26.00,26.40,500,26.014115
2016-06-28,25.90,26.49,25.90,26.49,400,26.102799
2016-06-27,26.49,26.49,26.49,26.49,000,26.102799
2016-06-24,26.49,26.49,26.49,26.49,400,26.102799
2016-06-23,26.50,26.50,26.50,26.50,400,26.112654
2016-06-22,26.40,26.40,26.40,26.40,000,26.014115
2016-06-21,26.40,26.40,26.40,26.40,000,26.014115
2016-06-20,26.50,26.50,26.40,26.40,2200,26.014115
2016-06-17,26.40,26.59,26.40,26.50,1600,26.112654
2016-06-16,26.00,26.40,26.00,26.40,2900,26.014115
2016-06-15,25.959999,26.50,25.959999,26.50,1200,26.112654
2016-06-14,26.25,26.25,26.25,26.25,000,25.866308
2016-06-13,26.25,26.25,26.25,26.25,000,25.866308
2016-06-10,26.25,26.25,26.25,26.25,000,25.866308
2016-06-09,26.360001,26.360001,26.25,26.25,1800,25.866308
2016-06-08,26.50,26.50,26.50,26.50,700,26.112654
2016-06-07,26.219999,26.219999,26.219999,26.219999,000,25.836746
2016-06-06,26.219999,26.219999,26.219999,26.219999,000,25.836746
2016-06-03,26.219999,26.219999,26.219999,26.219999,200,25.836746
2016-06-02,26.49,26.50,26.309999,26.370001,800,25.984555
2016-06-01,26.280001,26.60,26.280001,26.60,1000,26.211192
2016-05-31,26.309999,26.639999,26.24,26.639999,2000,26.250607
2016-05-27,26.33,26.639999,26.33,26.49,2400,26.102799
2016-05-26,26.280001,26.280001,26.280001,26.280001,000,25.89587
2016-05-25,26.280001,26.280001,26.280001,26.280001,000,25.89587
2016-05-24,26.280001,26.48,26.280001,26.280001,2200,25.89587
2016-05-23,26.65,26.65,26.65,26.65,100,26.260461
2016-05-20,26.690001,26.690001,26.690001,26.690001,400,26.299877
2016-05-19,26.60,26.60,26.60,26.60,000,26.211192
2016-05-18,26.60,26.60,26.60,26.60,1200,26.211192
2016-05-17,26.60,26.60,26.60,26.60,1000,26.211192
2016-05-16,26.60,26.60,26.60,26.60,1000,26.211192
2016-05-13,26.620001,26.700001,26.620001,26.700001,500,26.309731
2016-05-12,26.700001,26.700001,26.700001,26.700001,000,26.309731
2016-05-11,26.700001,26.700001,26.700001,26.700001,000,26.309731
2016-05-10,26.700001,26.700001,26.700001,26.700001,000,25.924447
2016-05-09,26.700001,26.700001,26.700001,26.700001,200,25.924447
2016-05-06,26.700001,26.700001,26.700001,26.700001,200,25.924447
2016-05-05,26.700001,26.700001,26.26,26.68,1900,25.905028
2016-05-04,26.700001,26.700001,26.700001,26.700001,000,25.924447
2016-05-03,26.700001,26.700001,26.700001,26.700001,200,25.924447
2016-05-02,26.690001,26.690001,26.690001,26.690001,000,25.914737
2016-04-29,26.700001,26.700001,26.65,26.690001,3300,25.914737
2016-04-28,26.459999,26.459999,26.40,26.40,81600,25.63316
2016-04-27,26.50,26.50,26.50,26.50,100,25.730256
2016-04-26,26.459999,26.459999,26.459999,26.459999,000,25.691417
2016-04-25,26.450001,26.459999,26.450001,26.459999,200,25.691417
2016-04-22,26.469999,26.469999,26.40,26.40,400,25.63316
2016-04-21,26.40,26.40,26.40,26.40,000,25.63316
2016-04-20,26.700001,26.99,26.299999,26.40,6500,25.63316
2016-04-19,26.700001,26.700001,26.700001,26.700001,000,25.924447
2016-04-18,26.700001,26.700001,26.700001,26.700001,000,25.924447
2016-04-15,26.700001,26.700001,26.700001,26.700001,000,25.924447
2016-04-14,26.700001,26.700001,26.700001,26.700001,000,25.924447
2016-04-13,26.700001,26.700001,26.700001,26.700001,300,25.924447
2016-04-12,26.450001,26.459999,26.42,26.42,2000,25.65258
2016-04-11,26.610001,26.610001,26.610001,26.610001,000,25.837061
2016-04-08,26.610001,26.610001,26.610001,26.610001,400,25.837061
2016-04-07,26.99,26.99,26.99,26.99,000,26.206023
2016-04-06,26.49,26.99,26.49,26.99,600,26.206023
2016-04-05,26.99,26.99,26.99,26.99,000,26.206023
2016-04-04,26.99,26.99,26.99,26.99,000,26.206023
2016-04-01,26.99,26.99,26.99,26.99,000,26.206023
2016-03-31,26.99,26.99,26.99,26.99,000,26.206023
2016-03-30,26.99,26.99,26.99,26.99,100,26.206023
2016-03-29,26.99,26.99,26.99,26.99,000,26.206023
2016-03-28,26.98,26.99,26.98,26.99,900,26.206023
2016-03-24,26.99,26.99,26.799999,26.99,2200,26.206023
2016-03-23,26.90,27.10,26.299999,27.049999,2600,26.264279
