Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,10.021,10.021,10.021,10.021,000,10.021
2016-10-06,10.021,10.021,10.021,10.021,000,10.021
2016-10-05,10.021,10.021,10.021,10.021,000,10.021
2016-10-04,9.98,10.023,9.98,10.021,2000,10.021
2016-10-03,9.95,9.961,9.95,9.95,2000,9.95
2016-09-30,9.97,9.98,9.97,9.98,5200,9.98
2016-09-29,9.959,9.959,9.959,9.959,000,9.959
2016-09-28,9.96,9.96,9.959,9.959,2400,9.959
2016-09-27,9.93,9.93,9.93,9.93,000,9.93
2016-09-26,9.93,9.93,9.93,9.93,000,9.93
2016-09-23,9.93,9.93,9.93,9.93,000,9.93
2016-09-22,9.93,9.93,9.93,9.93,000,9.93
2016-09-21,9.93,9.93,9.93,9.93,000,9.93
2016-09-20,9.93,9.93,9.93,9.93,000,9.93
2016-09-19,9.93,9.93,9.93,9.93,000,9.93
2016-09-16,9.93,9.93,9.93,9.93,000,9.93
2016-09-15,9.93,9.93,9.93,9.93,000,9.93
2016-09-14,9.93,9.93,9.93,9.93,1000,9.93
2016-09-13,9.95,9.95,9.95,9.95,000,9.95
2016-09-12,9.95,9.95,9.95,9.95,000,9.95
2016-09-09,9.95,9.95,9.95,9.95,000,9.95
2016-09-08,9.95,9.95,9.95,9.95,2100,9.95
2016-09-07,9.96,9.96,9.96,9.96,2000,9.96
2016-09-06,9.93,9.93,9.93,9.93,000,9.93
2016-09-02,9.93,9.93,9.93,9.93,000,9.93
2016-09-01,9.93,9.93,9.93,9.93,000,9.93
2016-08-31,9.93,9.93,9.93,9.93,000,9.93
2016-08-30,9.93,9.93,9.93,9.93,000,9.93
2016-08-29,9.93,9.93,9.93,9.93,000,9.93
2016-08-26,9.93,9.93,9.93,9.93,500,9.93
2016-08-25,9.967,9.967,9.967,9.967,000,9.967
2016-08-24,9.967,9.967,9.967,9.967,000,9.967
2016-08-23,9.967,9.967,9.967,9.967,000,9.967
2016-08-22,9.967,9.967,9.967,9.967,000,9.967
2016-08-19,9.96,9.967,9.96,9.967,1000,9.967
2016-08-18,9.97,9.97,9.97,9.97,000,9.97
2016-08-17,9.97,9.97,9.97,9.97,000,9.97
2016-08-16,9.97,9.97,9.97,9.97,000,9.97
2016-08-15,9.97,9.97,9.97,9.97,000,9.97
2016-08-12,9.97,9.97,9.97,9.97,300,9.97
2016-08-11,9.98,9.98,9.98,9.98,000,9.98
2016-08-10,9.98,9.98,9.98,9.98,000,9.98
2016-08-09,9.98,9.98,9.98,9.98,000,9.98
2016-08-08,9.98,9.98,9.98,9.98,000,9.98
2016-08-05,9.98,9.98,9.98,9.98,000,9.98
2016-08-04,9.98,9.98,9.98,9.98,000,9.98
2016-08-03,9.98,9.98,9.98,9.98,000,9.98
2016-08-02,9.98,9.98,9.98,9.98,100,9.98
2016-08-01,10.00,10.00,10.00,10.00,100,10.00
2016-07-29,9.90,9.98,9.90,9.98,2500,9.98
2016-07-28,9.90,9.90,9.90,9.90,1600,9.90
2016-07-27,9.93,9.93,9.93,9.93,000,9.93
2016-07-26,9.93,9.93,9.93,9.93,000,9.93
2016-07-25,9.94,9.94,9.93,9.93,1400,9.93
2016-07-22,9.85,9.95,9.85,9.90,4400,9.90
2016-07-21,9.88,9.88,9.87,9.87,4300,9.87
2016-07-20,9.899,9.899,9.899,9.899,000,9.899
2016-07-19,9.85,9.899,9.85,9.899,300,9.899
2016-07-18,9.895,9.895,9.895,9.895,000,9.895
2016-07-15,9.895,9.895,9.895,9.895,000,9.895
2016-07-14,9.895,9.895,9.895,9.895,000,9.895
2016-07-13,9.895,9.895,9.895,9.895,000,9.895
2016-07-12,9.895,9.895,9.895,9.895,000,9.895
2016-07-11,9.895,9.895,9.895,9.895,000,9.895
2016-07-08,9.895,9.895,9.895,9.895,1200,9.895
2016-07-07,9.899,9.899,9.899,9.899,000,9.899
2016-07-06,9.899,9.899,9.899,9.899,000,9.899
2016-07-05,9.897,9.899,9.897,9.899,1200,9.899
2016-07-01,9.892,9.892,9.892,9.892,000,9.892
2016-06-30,9.89,9.892,9.808,9.892,600,9.892
2016-06-29,9.89,9.90,9.89,9.899,3200,9.899
2016-06-28,9.89,9.89,9.89,9.89,000,9.89
2016-06-27,9.89,9.89,9.89,9.89,000,9.89
2016-06-24,9.89,9.89,9.89,9.89,100,9.89
2016-06-23,9.827,9.827,9.827,9.827,000,9.827
2016-06-22,9.827,9.827,9.827,9.827,000,9.827
2016-06-21,9.827,9.827,9.827,9.827,000,9.827
2016-06-20,9.827,9.827,9.827,9.827,000,9.827
2016-06-17,9.827,9.827,9.827,9.827,000,9.827
2016-06-16,9.827,9.827,9.827,9.827,000,9.827
