Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,5.94,5.94,5.84,5.89,67600,5.89
2016-10-06,6.01,6.06,5.88,5.96,119500,5.96
2016-10-05,5.93,6.07,5.81,6.04,76200,6.04
2016-10-04,5.94,6.03,5.85,5.88,107200,5.88
2016-10-03,6.01,6.08,5.92,5.94,88400,5.94
2016-09-30,5.97,6.13,5.93,6.06,185500,6.06
2016-09-29,6.02,6.06,5.91,5.93,64000,5.93
2016-09-28,5.98,6.10,5.96,6.06,88100,6.06
2016-09-27,5.82,5.96,5.82,5.94,75000,5.94
2016-09-26,5.82,5.92,5.80,5.85,98200,5.85
2016-09-23,5.94,5.97,5.89,5.89,94200,5.89
2016-09-22,5.90,5.96,5.79,5.95,154900,5.95
2016-09-21,5.76,5.87,5.73,5.85,123400,5.85
2016-09-20,5.67,5.83,5.66,5.73,195800,5.73
2016-09-19,5.65,5.78,5.62,5.70,145700,5.70
2016-09-16,5.70,5.80,5.58,5.61,186300,5.61
2016-09-15,5.55,5.70,5.43,5.68,189800,5.68
2016-09-14,5.53,5.59,5.45,5.57,194000,5.57
2016-09-13,5.54,5.61,5.45,5.56,372900,5.56
2016-09-12,5.52,5.62,5.47,5.60,308800,5.60
2016-09-09,5.55,5.61,5.50,5.55,453100,5.55
2016-09-08,5.69,5.74,5.59,5.61,175200,5.61
2016-09-07,5.70,5.77,5.65,5.72,253900,5.72
2016-09-06,5.82,5.82,5.62,5.68,301400,5.68
2016-09-02,5.61,5.86,5.45,5.83,358000,5.83
2016-09-01,5.30,5.49,5.14,5.47,409800,5.47
2016-08-31,5.77,6.10,5.77,5.86,183900,5.86
2016-08-30,5.93,5.94,5.78,5.81,149800,5.81
2016-08-29,6.13,6.15,5.93,5.95,284300,5.95
2016-08-26,6.15,6.22,6.09,6.15,150800,6.15
2016-08-25,6.10,6.18,6.09,6.13,134400,6.13
2016-08-24,6.09,6.13,6.06,6.11,136400,6.11
2016-08-23,6.07,6.12,6.01,6.11,231800,6.11
2016-08-22,6.10,6.11,6.02,6.03,286500,6.03
2016-08-19,5.97,6.16,5.94,6.08,243900,6.08
2016-08-18,5.96,6.01,5.94,5.97,47800,5.97
2016-08-17,5.94,6.02,5.89,5.99,333400,5.99
2016-08-16,5.99,6.03,5.80,5.96,144700,5.96
2016-08-15,5.75,6.01,5.75,6.00,287900,6.00
2016-08-12,5.67,5.78,5.67,5.75,56500,5.75
2016-08-11,5.54,5.71,5.54,5.70,121500,5.70
2016-08-10,5.69,5.69,5.52,5.54,74200,5.54
2016-08-09,5.70,5.72,5.64,5.70,175900,5.70
2016-08-08,5.51,5.70,5.50,5.69,1405200,5.69
2016-08-05,5.56,5.67,5.50,5.56,217500,5.56
2016-08-04,5.67,5.67,5.47,5.49,166900,5.49
2016-08-03,5.79,5.80,5.59,5.67,74700,5.67
2016-08-02,6.15,6.18,5.78,5.79,128100,5.79
2016-08-01,6.12,6.21,6.01,6.17,89500,6.17
2016-07-29,6.16,6.17,6.05,6.10,80300,6.10
2016-07-28,6.22,6.22,6.11,6.17,38800,6.17
2016-07-27,6.24,6.29,6.16,6.23,54700,6.23
2016-07-26,6.16,6.25,6.12,6.23,86800,6.23
2016-07-25,6.22,6.23,6.09,6.16,65400,6.16
2016-07-22,6.15,6.26,6.12,6.22,130800,6.22
2016-07-21,6.23,6.25,6.12,6.16,76000,6.16
2016-07-20,6.08,6.29,6.07,6.26,78800,6.26
2016-07-19,6.10,6.10,6.02,6.08,82400,6.08
2016-07-18,6.03,6.19,6.03,6.09,125400,6.09
2016-07-15,6.04,6.04,5.95,6.01,108400,6.01
2016-07-14,6.14,6.14,5.99,5.99,79300,5.99
2016-07-13,6.13,6.15,6.04,6.08,65700,6.08
2016-07-12,6.11,6.22,6.08,6.08,106300,6.08
2016-07-11,5.96,6.11,5.95,6.09,72100,6.09
2016-07-08,5.69,5.94,5.69,5.93,120300,5.93
2016-07-07,5.67,5.74,5.59,5.63,35800,5.63
2016-07-06,5.67,5.72,5.63,5.68,48100,5.68
2016-07-05,5.91,5.91,5.70,5.71,58400,5.71
2016-07-01,5.73,5.80,5.70,5.77,91200,5.77
2016-06-30,5.76,5.91,5.51,5.75,177300,5.75
2016-06-29,5.85,6.01,5.76,5.78,79700,5.78
2016-06-28,5.71,5.95,5.71,5.78,136100,5.78
2016-06-27,5.82,5.97,5.67,5.67,175100,5.67
2016-06-24,6.05,6.23,5.88,5.90,898100,5.90
2016-06-23,6.31,6.55,6.25,6.35,148200,6.35
2016-06-22,6.25,6.34,6.07,6.25,106500,6.25
2016-06-21,6.30,6.33,6.20,6.26,114000,6.26
2016-06-20,6.23,6.36,6.19,6.30,110800,6.30
2016-06-17,6.29,6.29,6.10,6.15,271300,6.15
2016-06-16,6.22,6.32,6.10,6.29,73900,6.29
2016-06-15,6.44,6.44,6.29,6.29,73900,6.29
2016-06-14,6.34,6.46,6.33,6.44,67400,6.44
2016-06-13,6.47,6.54,6.32,6.38,84800,6.38
2016-06-10,6.50,6.63,6.39,6.49,119200,6.49
2016-06-09,6.66,6.69,6.58,6.59,135100,6.59
2016-06-08,6.72,6.73,6.56,6.70,165100,6.70
2016-06-07,6.74,6.88,6.69,6.73,166600,6.73
2016-06-06,7.54,7.60,6.56,6.77,499800,6.77
2016-06-03,6.73,7.05,6.71,7.00,196500,7.00
2016-06-02,6.66,6.72,6.59,6.71,60900,6.71
2016-06-01,6.48,6.72,6.48,6.70,102000,6.70
2016-05-31,6.49,6.62,6.46,6.53,93500,6.53
2016-05-27,6.47,6.68,6.47,6.51,53100,6.51
2016-05-26,6.42,6.64,6.42,6.48,37200,6.48
2016-05-25,6.40,6.55,6.39,6.43,88300,6.43
2016-05-24,6.10,6.46,6.10,6.40,108500,6.40
2016-05-23,6.01,6.20,6.01,6.05,190900,6.05
2016-05-20,5.88,6.10,5.71,6.01,107200,6.01
2016-05-19,5.82,5.90,5.80,5.84,67700,5.84
2016-05-18,5.85,5.89,5.75,5.87,65100,5.87
2016-05-17,5.83,5.95,5.78,5.85,125600,5.85
2016-05-16,5.87,5.90,5.82,5.87,216600,5.87
2016-05-13,5.86,5.97,5.82,5.85,81600,5.85
2016-05-12,6.01,6.06,5.86,5.86,64900,5.86
2016-05-11,5.98,6.06,5.92,6.00,49300,6.00
2016-05-10,5.91,6.08,5.87,6.01,86700,6.01
2016-05-09,5.90,6.00,5.86,5.89,116700,5.89
2016-05-06,5.90,5.96,5.86,5.92,78800,5.92
2016-05-05,5.98,6.06,5.87,5.94,90100,5.94
2016-05-04,5.96,6.07,5.91,5.92,108200,5.92
2016-05-03,5.92,6.15,5.86,6.01,126400,6.01
2016-05-02,5.96,6.20,5.90,5.98,136800,5.98
2016-04-29,5.96,6.00,5.85,5.90,136100,5.90
2016-04-28,6.17,6.25,6.00,6.01,71500,6.01
2016-04-27,6.26,6.30,6.15,6.21,114900,6.21
2016-04-26,5.97,6.26,5.91,6.26,113400,6.26
2016-04-25,6.03,6.05,5.91,5.94,119300,5.94
2016-04-22,6.03,6.13,6.00,6.07,93700,6.07
2016-04-21,6.02,6.07,5.95,6.05,134600,6.05
2016-04-20,6.02,6.10,6.00,6.05,63800,6.05
2016-04-19,6.03,6.08,6.00,6.05,70600,6.05
2016-04-18,6.00,6.12,6.00,6.05,83200,6.05
2016-04-15,5.98,6.07,5.98,6.02,76000,6.02
2016-04-14,5.88,6.08,5.81,6.02,89900,6.02
2016-04-13,5.81,5.97,5.81,5.91,151900,5.91
2016-04-12,5.85,5.86,5.75,5.80,221900,5.80
2016-04-11,5.81,5.94,5.79,5.83,150500,5.83
2016-04-08,5.90,5.95,5.71,5.81,204100,5.81
2016-04-07,5.82,5.93,5.81,5.83,158800,5.83
2016-04-06,5.86,5.99,5.82,5.89,186800,5.89
2016-04-05,6.06,6.08,5.86,5.88,134000,5.88
2016-04-04,6.31,6.31,6.11,6.13,79500,6.13
2016-04-01,6.42,6.52,6.30,6.33,161300,6.33
2016-03-31,6.39,6.53,6.35,6.52,503700,6.52
2016-03-30,6.12,6.55,6.04,6.41,282500,6.41
2016-03-29,5.73,6.12,5.66,6.11,178400,6.11
2016-03-28,5.80,5.84,5.71,5.76,78100,5.76
2016-03-24,5.74,5.84,5.65,5.81,125700,5.81
2016-03-23,6.11,6.16,5.76,5.78,189400,5.78
2016-03-22,6.18,6.21,6.10,6.16,121500,6.16
2016-03-21,6.05,6.24,6.04,6.19,131000,6.19
2016-03-18,5.94,6.13,5.87,6.08,275000,6.08
2016-03-17,5.77,5.97,5.77,5.90,237600,5.90
