Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.75,0.75,0.72,0.75,34700,0.75
2016-10-06,0.72,0.74,0.71,0.72,25200,0.72
2016-10-05,0.70,0.75,0.70,0.75,68300,0.75
2016-10-04,0.73,0.77,0.71,0.717,27200,0.717
2016-10-03,0.75,0.75,0.73,0.745,21400,0.745
2016-09-30,0.752,0.79,0.75,0.79,18000,0.79
2016-09-29,0.83,0.83,0.749,0.79,33700,0.79
2016-09-28,0.87,0.893,0.82,0.824,20200,0.824
2016-09-27,0.82,0.92,0.79,0.84,62000,0.84
2016-09-26,0.76,0.82,0.75,0.819,16900,0.819
2016-09-23,0.798,0.80,0.78,0.80,24300,0.80
2016-09-22,0.745,0.808,0.74,0.775,20900,0.775
2016-09-21,0.738,0.775,0.725,0.775,36100,0.775
2016-09-20,0.74,0.754,0.72,0.738,17100,0.738
2016-09-19,0.765,0.78,0.75,0.75,23200,0.75
2016-09-16,0.723,0.765,0.72,0.75,37500,0.75
2016-09-15,0.76,0.76,0.72,0.757,17400,0.757
2016-09-14,0.747,0.768,0.72,0.724,15500,0.724
2016-09-13,0.78,0.78,0.72,0.725,49200,0.725
2016-09-12,0.73,0.78,0.661,0.78,72500,0.78
2016-09-09,0.78,0.78,0.721,0.77,15300,0.77
2016-09-08,0.809,0.809,0.702,0.76,28300,0.76
2016-09-07,0.801,0.838,0.733,0.77,32100,0.77
2016-09-06,0.774,0.847,0.774,0.80,47700,0.80
2016-09-02,0.77,0.84,0.713,0.815,54300,0.815
2016-09-01,0.701,0.80,0.701,0.773,103000,0.773
2016-08-31,0.91,0.91,0.778,0.80,114800,0.80
2016-08-30,1.03,1.03,0.832,0.924,351400,0.924
2016-08-29,1.07,1.07,0.98,1.01,434600,1.01
2016-08-26,1.17,1.17,0.963,0.98,373700,0.98
2016-08-25,1.18,1.24,1.14,1.15,98600,1.15
2016-08-24,1.16,1.22,1.15,1.19,123900,1.19
2016-08-23,1.25,1.25,1.14,1.14,146600,1.14
2016-08-22,1.22,1.22,1.12,1.15,44500,1.15
2016-08-19,1.30,1.42,1.12,1.25,179700,1.25
2016-08-18,1.31,1.40,1.26,1.27,83400,1.27
2016-08-17,1.35,1.45,1.31,1.32,12100,1.32
2016-08-16,1.52,1.52,1.30,1.35,37800,1.35
2016-08-15,1.36,1.36,1.26,1.32,5200,1.32
2016-08-12,1.49,1.513,1.36,1.36,5500,1.36
2016-08-11,1.26,1.51,1.26,1.48,5800,1.48
2016-08-10,1.40,1.40,1.33,1.39,4500,1.39
2016-08-09,1.43,1.43,1.40,1.40,4700,1.40
2016-08-08,1.54,1.54,1.45,1.48,4200,1.48
2016-08-05,1.55,1.63,1.43,1.51,28200,1.51
2016-08-04,1.56,1.71,1.451,1.58,29000,1.58
